,,,,,,,,,,
mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,
675.218182,831.463636,841.618182,1029.281818,513.918182,897.854545,194.700000,535.972727,824.627273,1392.790909,
783.081081,963.716216,951.027027,963.743243,584.837838,969.675676,191.797297,612.810811,990.864865,1549.689189,
1561.812500,1880.541667,1858.645833,1867.229167,1137.145833,1854.729167,362.958333,1230.666667,1933.770833,2785.604167,
2785.576923,3021.461538,3023.115385,3046.615385,1851.692308,2972.153846,604.884615,2026.653846,3081.384615,4652.423077,
3681.913043,3777.173913,3821.304348,3761.000000,2381.869565,3816.956522,765.739130,2527.695652,3941.173913,5724.391304,
4816.222222,5031.277778,5003.111111,4991.444444,3092.277778,4918.055556,1001.055556,3361.666667,5399.944444,7437.500000,
6298.461538,6452.153846,6225.230769,6855.692308,3918.153846,6225.461538,1285.153846,4397.846154,6536.076923,9761.230769,
6193.727273,6404.363636,6859.090909,6363.818182,3962.727273,6307.000000,1263.090909,4208.454545,6605.454545,9479.454545,
9751.714286,9916.142857,9853.285714,9877.571429,6859.285714,10897.000000,2006.714286,6599.142857,10077.000000,14919.857143,
13038.333333,13053.000000,13427.333333,13184.666667,8061.666667,13020.333333,2649.833333,8708.833333,13255.500000,19516.666667,
10995.333333,11625.166667,11630.333333,11599.166667,7022.333333,11837.833333,2310.333333,7583.666667,11511.000000,16939.666667,
14889.200000,14964.600000,24552.000000,14983.600000,9295.800000,18441.200000,2997.000000,11295.000000,15001.800000,22478.600000,
20114.250000,20860.000000,21714.500000,20254.000000,12151.250000,19782.500000,3922.750000,13788.000000,19715.500000,29813.500000,
19746.750000,20983.000000,20582.250000,20908.750000,13220.500000,20663.250000,4162.750000,16425.000000,20297.000000,31534.000000,
22654.250000,19237.750000,19201.500000,19184.750000,12407.750000,19340.250000,3806.750000,12360.500000,19655.750000,29682.000000,
20340.500000,20685.500000,20250.750000,20360.000000,13374.000000,20306.000000,4041.500000,12687.000000,19895.250000,29766.750000,
21814.000000,22847.000000,22458.333333,22379.666667,14977.000000,22030.000000,4607.000000,14142.333333,21980.666667,34170.666667,
19628.000000,19488.000000,21434.666667,19668.333333,12770.000000,19366.666667,3910.000000,12042.666667,19358.666667,30242.000000,
19344.666667,19678.333333,20192.000000,19825.000000,13104.333333,19938.333333,3965.333333,12119.333333,19818.666667,30923.000000,
24168.666667,26236.666667,25948.000000,24456.000000,16559.333333,25696.333333,5264.000000,15428.000000,25269.666667,39259.000000,
56421.500000,52696.500000,62594.500000,53029.500000,37125.000000,56508.500000,11707.000000,34572.500000,60293.000000,89242.000000,
54727.000000,55558.500000,56444.000000,54382.500000,35969.000000,54671.500000,10837.000000,35512.500000,55567.500000,87206.000000,
41715.500000,42329.000000,42971.000000,41635.500000,26613.500000,42207.000000,8425.500000,26712.500000,41553.000000,67749.500000,
38442.000000,38287.500000,40572.000000,37996.000000,24676.500000,38938.500000,7687.000000,24862.000000,39255.500000,63956.500000,
36968.000000,37035.000000,38146.500000,36701.500000,23248.500000,36782.500000,7493.500000,24099.000000,37845.000000,62408.500000,
36735.000000,36900.000000,37675.500000,37410.000000,23557.000000,36638.500000,7375.500000,23920.500000,37706.000000,62453.000000,
35147.500000,42921.500000,35760.000000,34846.500000,23301.500000,34338.500000,6908.500000,22732.500000,35355.000000,58906.000000,
32328.500000,72198.500000,33996.500000,32477.000000,20921.500000,32273.500000,6433.500000,21603.500000,33973.500000,61183.500000,
34414.000000,41306.500000,34055.000000,34591.500000,24000.000000,34135.000000,6721.000000,22875.000000,34364.000000,129112.000000,
27664.000000,28318.000000,24107.000000,27583.500000,17810.500000,27336.500000,5443.500000,18101.500000,27075.500000,34869.500000,
24420.000000,23991.000000,21085.500000,23314.000000,15108.000000,23654.500000,4644.000000,15616.000000,29329.500000,24808.000000,
21038.500000,21078.000000,19156.000000,20929.500000,13191.000000,20827.000000,4217.500000,13720.500000,22122.500000,21960.500000,
20456.500000,19469.000000,18352.000000,20032.500000,12573.000000,19334.500000,3970.000000,13429.500000,20156.500000,19519.500000,
20006.500000,18392.000000,17296.000000,18829.000000,11756.500000,18715.500000,3735.000000,12915.500000,19070.500000,18599.500000,
32722.500000,32022.500000,29958.000000,33079.500000,21012.500000,32150.000000,6528.500000,21228.000000,32381.500000,32296.500000,
25831.000000,25986.500000,23915.000000,25929.000000,16789.500000,25860.000000,5333.500000,16974.000000,26184.500000,25944.000000,
26065.500000,28687.000000,22987.500000,25565.500000,17269.000000,25558.500000,5111.000000,16308.500000,25505.000000,25027.500000,
24646.000000,23634.500000,21877.000000,24235.500000,16517.500000,23923.500000,4808.000000,15227.000000,23840.500000,23689.500000,
22367.500000,22367.500000,20811.500000,23928.500000,15383.500000,22207.000000,4506.000000,14592.500000,22709.000000,22267.000000,
22219.500000,21748.500000,20124.500000,22539.500000,15333.500000,21967.500000,4333.000000,14040.500000,22494.000000,21881.500000,
21077.500000,20973.000000,19182.000000,21444.500000,14554.000000,21580.500000,4232.000000,13079.500000,21178.000000,21014.000000,
20092.500000,19748.500000,18158.000000,20079.000000,14234.500000,20051.000000,3963.000000,12024.500000,19827.000000,19809.500000,
,,,,,,,,,,
nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,nds_n0=1,
18651,18781,17178,18572,12738,18714,3756,11547,18888,18755,
15147,14621,13525,15191,10488,15065,2969,9394,14949,14690,
13806,13241,12145,13157,9192,13052,2721,8179,13701,13510,
12613,12101,11209,12391,8447,12362,2452,7431,12303,11988,
17392,17475,15472,16963,11852,17535,3455,10431,17450,16971,
14106,13581,12693,13939,9584,13877,2767,8604,14251,13773,
13108,12777,11883,12751,8893,13033,2703,7862,13185,12942,
12375,11841,10880,12040,8551,12291,2557,7359,12563,12110,
12359,11969,10834,12025,8307,12196,2426,7279,12418,12011,
11719,11537,10653,11384,7948,11717,2302,6865,11750,11327,
11283,11284,10286,11349,7734,11191,2258,6770,11541,11236,
10956,10885,9867,11345,7419,10780,2178,6495,11166,10798,
10928,10731,9572,10710,7146,10725,2139,6325,11178,10521,
10517,10168,9218,10277,6906,10295,2024,6245,10607,10152,
45412,46541,42051,46476,32638,46494,9415,28301,46326,48272,
42090,51954,38735,41866,28890,42008,8825,25893,42534,52783,
30289,31129,27916,30839,21328,31054,6135,18748,31125,30853,
29509,29661,26872,30005,20791,30100,5884,17967,29857,34286,
28589,28848,26133,28403,22166,28420,5724,17597,28717,34462,
27633,28424,29856,27934,24014,27790,5483,16926,27852,33369,
26899,31302,30108,31312,23215,27006,5384,16452,27345,32619,
26558,28872,28839,32253,22407,26497,5214,15958,26319,27177,
25659,26108,28640,30852,21681,25914,5100,15432,25892,25294,
25170,24919,27598,30187,21062,28167,4980,15045,25261,24483,
24560,24767,27164,30243,20491,30107,4796,17190,24608,23796,
24075,23939,24878,29756,20306,24013,4776,17637,23721,23089,
23585,23323,23283,27547,19439,23553,4595,14146,23437,22461,
22738,22556,18735,23042,17038,22780,4423,13975,22957,23190,
22192,22325,18498,22211,15274,21954,4368,13624,22591,22244,
21462,21510,18378,21983,15052,21363,4231,12961,22189,20954,
20639,21064,17373,20956,14706,21057,4157,13178,20932,20586,
20365,20401,17542,20805,13717,20793,3995,12196,20912,20221,
21034,19840,16943,19713,13777,20366,3878,11800,20500,19832,
26821,18933,15997,19403,13086,19902,3702,11414,19772,18792,
22422,19285,15604,19200,12855,18988,3667,11100,19207,18506,
23986,18444,15151,18563,12684,18097,4096,10825,18551,17937,
21017,18419,14964,17604,12332,17552,4035,10530,17758,17950,
17334,17820,14875,17474,12137,16888,3938,10207,17321,16890,
16393,17324,13910,16618,11455,16756,4126,9964,17188,16759,
16212,16565,13442,18205,11542,16382,3822,9694,16507,16391,
15505,15595,13400,15356,11181,16080,3680,9420,16089,15915,
15415,15442,12722,15137,10625,15428,3618,9127,15858,15355,
14661,15052,12578,14544,10338,15458,3426,8700,15078,14804,
14240,14343,11877,13985,10170,14048,3338,8488,14688,14301,
13784,14133,11976,13612,9693,13866,3216,8243,14374,13782,
20029,19290,16209,19538,13006,19614,4582,11944,19818,19366,
15933,15587,13359,15430,10899,16345,3744,9724,15967,15664,
14938,15079,12770,14756,10235,15164,3474,8924,15390,15529,
14481,14419,12152,13872,10340,14351,4236,8659,14582,14861,
23804,23891,20343,23627,17393,23119,4774,14322,23878,23442,
18220,18742,15404,18369,13416,18294,3667,10890,18113,18106,
17687,16941,14041,16949,12142,17081,3364,10096,16635,16442,
16422,15987,13620,23991,11701,16118,3238,9632,16110,15836,
15792,15636,13460,15588,11276,15511,3180,9375,15739,15373,
15130,14857,12794,15616,10900,14844,3034,9079,15160,14827,
14761,14482,12194,15123,10336,14300,2906,8855,14588,14152,
14254,13840,11644,14522,10001,13915,2799,8369,14810,13853,
13471,13517,11494,13800,9869,13743,2671,8035,14242,13287,
13099,13012,10939,13144,9591,13263,2609,7819,13231,13126,
12538,12387,10492,12607,9212,12698,2527,7458,12859,12191,
12159,12088,10139,12058,8807,12275,2437,7165,12510,12068,
11834,12686,11080,11608,8435,11497,2361,6978,12479,11988,
11392,11812,10118,11010,8235,11247,2282,6769,11948,11370,
11152,11256,9024,10762,7818,10735,2165,6476,11559,11557,
10632,10853,8866,10432,7614,10773,2082,6286,10949,10839,
11069,10651,9029,9907,7469,10170,2048,5998,10608,10128,
10586,9782,8672,9588,7193,10157,1942,5864,9909,9701,
9719,9479,8091,9443,6872,9535,1897,5663,9786,9084,
9503,9066,7821,8763,6620,9256,1885,5505,9370,8820,
9197,8632,7459,8767,6352,8989,1809,5298,9059,8536,
8478,8387,6902,8300,6038,8386,1688,5108,8662,8252,
7979,8067,6603,7920,5796,8054,1587,4885,8206,7876,
7946,7829,6243,7396,5526,7746,1642,4556,8077,7509,
7549,7396,6115,7210,5338,7348,1503,4415,7522,7174,
7318,6953,5790,6915,5114,7083,1457,4414,7214,6790,
6840,6554,5424,6734,4708,6502,1368,4327,6743,6475,
6292,6274,5215,6225,4365,6143,1330,3905,6793,6195,
