,,,,,,,,,,
mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,
483.420930,469.418605,451.190698,459.723256,487.832558,486.293023,471.911628,447.323256,482.386047,462.581395,
725.893471,730.807560,707.089347,763.690722,727.704467,723.718213,719.745704,692.240550,722.508591,719.903780,
1573.555556,1587.411111,1565.727778,1684.127778,1599.283333,1578.605556,1553.127778,1510.050000,1597.505556,1548.172222,
2950.234783,2977.260870,3927.208696,2918.817391,3376.730435,2986.747826,2987.191304,2825.373913,2942.252174,2906.408696,
3916.162791,3861.883721,4517.034884,3825.767442,3920.360465,3879.569767,4490.593023,3762.372093,4033.953488,3919.430233,
5258.484375,5249.296875,5709.890625,5137.109375,5291.109375,5360.093750,5279.718750,5148.031250,5250.843750,5336.000000,
7041.775510,6864.469388,7416.448980,6856.551020,7159.285714,6913.877551,7025.551020,7263.857143,6918.979592,7000.489796,
7741.659091,7760.477273,7708.386364,7440.795455,7567.227273,7549.977273,7398.181818,7360.772727,7544.022727,8170.068182,
10694.176471,10448.823529,11131.558824,10447.735294,10771.529412,10596.852941,10588.529412,10422.852941,10594.323529,10750.000000,
10943.645161,10912.225806,11249.677419,10921.032258,11212.064516,10811.290323,11016.354839,10679.612903,11206.483871,10937.774194,
13523.280000,13448.320000,13481.000000,13898.120000,13523.840000,14071.920000,13411.360000,13169.080000,13812.040000,13362.200000,
14705.454545,15077.545455,15459.727273,15102.000000,15400.500000,15049.818182,15285.909091,14804.772727,15261.727273,14952.772727,
20454.058824,22036.588235,22478.647059,22342.411765,22623.588235,20338.705882,22416.411765,21828.235294,22557.529412,21962.294118,
24170.000000,26320.866667,26204.800000,25127.333333,26408.133333,24051.600000,26081.466667,25382.200000,26620.666667,26099.066667,
22465.230769,26653.461538,27343.461538,23852.000000,26340.615385,24122.769231,24905.538462,25886.384615,26379.230769,26268.846154,
28628.333333,33970.250000,34051.916667,29956.250000,34988.333333,29463.750000,30470.166667,32531.666667,34433.416667,32883.250000,
35756.777778,42809.111111,41734.666667,36566.666667,42675.666667,35310.111111,37389.777778,40595.222222,42325.111111,41182.444444,
24922.500000,29125.500000,29242.900000,24804.900000,29984.800000,24799.900000,25046.800000,29132.400000,29761.100000,29463.600000,
25454.300000,31542.000000,31832.400000,26715.700000,32135.300000,25387.400000,26828.600000,32957.000000,31799.600000,33572.400000,
32352.666667,40376.000000,41655.000000,33907.777778,41304.000000,32599.444444,35680.000000,42387.000000,41716.777778,41132.111111,
34775.375000,44679.500000,46627.500000,35626.750000,45516.250000,36305.875000,37026.875000,45205.500000,45713.375000,46250.375000,
31151.625000,38245.875000,42226.500000,33471.875000,42558.125000,31657.375000,33167.125000,42068.500000,42525.375000,42675.625000,
37738.857143,43493.000000,50889.714286,40425.714286,51067.428571,37983.142857,39614.142857,51174.142857,51884.285714,51153.571429,
35076.285714,40298.571429,46910.571429,35247.857143,46619.857143,36794.857143,36771.428571,46495.428571,47300.285714,46930.285714,
31648.142857,37750.142857,44062.142857,32537.571429,43433.714286,32459.285714,32118.571429,43482.000000,45006.285714,44075.571429,
32882.000000,39375.285714,45690.285714,34071.571429,44699.857143,33360.000000,32294.142857,45914.428571,46263.428571,46682.285714,
41777.500000,50728.500000,61799.666667,44423.333333,61777.000000,41781.333333,41517.666667,60373.833333,60317.166667,60354.333333,
33264.142857,40525.428571,48151.285714,32718.285714,48174.857143,30586.714286,31966.142857,47917.714286,49542.285714,47050.571429,
31072.333333,43982.500000,48520.833333,31463.666667,48308.333333,30710.333333,32794.666667,48066.666667,48134.333333,47417.333333,
30031.166667,41373.166667,45419.500000,29289.166667,42922.666667,28569.166667,29798.166667,43334.500000,43482.166667,41809.166667,
51137.600000,77147.200000,84621.200000,55482.200000,78737.400000,52859.200000,55070.600000,78813.800000,78995.000000,78702.400000,
101276.250000,191888.250000,152872.000000,99905.500000,149070.000000,104085.500000,101138.000000,153377.500000,151141.750000,155742.250000,
47396.250000,77294.250000,72101.000000,49768.250000,68621.500000,50096.500000,49706.500000,68552.500000,67677.250000,69120.750000,
42234.750000,64710.750000,63816.000000,46263.250000,64947.000000,45019.500000,44261.500000,63776.500000,59298.750000,64497.000000,
66757.000000,110016.250000,105958.500000,72050.250000,98784.000000,69473.250000,70904.750000,99374.250000,99275.750000,98721.750000,
77847.750000,113384.000000,119501.250000,78765.750000,112790.000000,78216.750000,80349.000000,110322.000000,104668.500000,108969.250000,
57219.750000,85760.500000,84892.750000,58892.500000,85997.250000,57369.250000,60496.500000,84556.750000,80247.250000,79902.250000,
