
fl_pl=,1
mode1:
set up=, 17924
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
558,1934,376565,9633,8,
215,3434,8231,7565,5,
325,3547,6547,6737,4,
271,5266,0,0,1,-,

mode2; nds_td j iter
329457,129209,60712,7776,7309,7056,6155,41348,6363,7044,6393,

mode3; num_thr=,2
35710,
