
mode1:
38405,430,89.313953
44848,430,104.297674
45266,430,105.269767
45453,430,105.704651
45677,430,106.225581
45915,430,106.779070
46145,430,107.313953
46359,430,107.811628
46579,430,108.323256
46774,430,108.776744
46958,430,109.204651
47188,430,109.739535
47402,430,110.237209
47652,430,110.818605
47836,430,111.246512
48072,430,111.795349
48288,430,112.297674
48533,430,112.867442
48750,430,113.372093
49056,430,114.083721
49273,430,114.588372
49502,430,115.120930
49714,430,115.613953
49917,430,116.086047
50156,430,116.641860
50374,430,117.148837
50569,430,117.602326
50792,430,118.120930
50974,430,118.544186
51377,430,119.481395
51562,430,119.911628
51762,430,120.376744
51959,430,120.834884
52148,430,121.274419
52333,430,121.704651
52554,430,122.218605
52746,430,122.665116
52965,430,123.174419
53150,430,123.604651
53427,430,124.248837
53620,430,124.697674
53801,430,125.118605
53998,430,125.576744
54175,430,125.988372
54377,430,126.458140
54583,430,126.937209
54779,430,127.393023
55002,430,127.911628
55185,430,128.337209
55407,430,128.853488
55603,430,129.309302
55832,430,129.841860
56029,430,130.300000
56290,430,130.906977
56486,430,131.362791
56696,430,131.851163
56884,430,132.288372
57107,430,132.806977
57272,430,133.190698
57503,430,133.727907
57691,430,134.165116
57978,430,134.832558
58152,430,135.237209
58444,430,135.916279
58689,430,136.486047
58888,430,136.948837
59083,430,137.402326
59282,430,137.865116
59461,430,138.281395
59647,430,138.713953
59818,430,139.111628
60020,430,139.581395
60176,430,139.944186
60366,430,140.386047
60561,430,140.839535
60728,430,141.227907
60926,430,141.688372
61106,430,142.106977
61296,430,142.548837
61477,430,142.969767
61630,430,143.325581
61785,430,143.686047
61965,430,144.104651
62153,430,144.541860
62336,430,144.967442
62513,430,145.379070
62700,430,145.813953
62856,430,146.176744
63016,430,146.548837
63198,430,146.972093
63388,430,147.413953
63543,430,147.774419
63723,430,148.193023
63907,430,148.620930
64101,430,149.072093
64293,430,149.518605
64470,430,149.930233
64659,430,150.369767
64840,430,150.790698
65026,430,151.223256
65217,430,151.667442
65392,430,152.074419
65594,430,152.544186
65765,430,152.941860
65954,430,153.381395
66108,430,153.739535
66285,430,154.151163
66476,430,154.595349
66647,430,154.993023
66827,430,155.411628
67013,430,155.844186
67195,430,156.267442
67374,430,156.683721
67561,430,157.118605
67757,430,157.574419
67940,430,158.000000
68174,430,158.544186
68442,430,159.167442
68599,430,159.532558
68770,430,159.930233
68952,430,160.353488
69138,430,160.786047
69321,430,161.211628
69518,430,161.669767
69692,430,162.074419
69882,430,162.516279
70070,430,162.953488
70225,430,163.313953
70404,430,163.730233
70585,430,164.151163
70758,430,164.553488
70938,430,164.972093
71130,430,165.418605
72129,430,167.741860
72417,430,168.411628
72605,430,168.848837
72788,430,169.274419
72965,430,169.686047
73169,430,170.160465
73369,430,170.625581
73655,430,171.290698
73837,430,171.713953
73991,430,172.072093
74192,430,172.539535
74366,430,172.944186
74546,430,173.362791
74771,430,173.886047
74945,430,174.290698
75126,430,174.711628
75308,430,175.134884
75478,430,175.530233
75657,430,175.946512
75880,430,176.465116
76052,430,176.865116
76219,430,177.253488
76368,430,177.600000
76566,430,178.060465
76776,430,178.548837
76986,430,179.037209
77178,430,179.483721
77369,430,179.927907
77540,430,180.325581
77721,430,180.746512
77920,430,181.209302
78157,430,181.760465
78342,430,182.190698
78532,430,182.632558
78689,430,182.997674
78867,430,183.411628
79045,430,183.825581
79309,430,184.439535
79491,430,184.862791
79668,430,185.274419
79856,430,185.711628
80030,430,186.116279
80235,430,186.593023
80440,430,187.069767
80626,430,187.502326
80820,430,187.953488
80975,430,188.313953
81130,430,188.674419
81327,430,189.132558
81512,430,189.562791
81684,430,189.962791
81857,430,190.365116
82051,430,190.816279
82231,430,191.234884
82415,430,191.662791
82843,430,192.658140
83033,430,193.100000
83232,430,193.562791
83405,430,193.965116
83605,430,194.430233
83790,430,194.860465
83978,430,195.297674
84155,430,195.709302
84357,430,196.179070
84575,430,196.686047
84761,430,197.118605
84937,430,197.527907
85128,430,197.972093
85308,430,198.390698
85483,430,198.797674
85662,430,199.213953
85820,430,199.581395
85972,430,199.934884
86192,430,200.446512
86409,430,200.951163
86608,430,201.413953
86782,430,201.818605
86954,430,202.218605
87119,430,202.602326
87335,430,203.104651
87538,430,203.576744
87718,430,203.995349
87882,430,204.376744
88049,430,204.765116
88225,430,205.174419
88443,430,205.681395
88612,430,206.074419
88790,430,206.488372
88962,430,206.888372
89132,430,207.283721
89312,430,207.702326
89525,430,208.197674
89678,430,208.553488
89834,430,208.916279
90015,430,209.337209
90198,430,209.762791
90369,430,210.160465
90586,430,210.665116
90776,430,211.106977
90974,430,211.567442
91153,430,211.983721
91331,430,212.397674
91507,430,212.806977
91726,430,213.316279
91915,430,213.755814
92094,430,214.172093
92271,430,214.583721
92445,430,214.988372
92620,430,215.395349
92820,430,215.860465
93012,430,216.306977
93189,430,216.718605
93359,430,217.113953
93553,430,217.565116
93723,430,217.960465
93923,430,218.425581
94082,430,218.795349
94254,430,219.195349
94433,430,219.611628
94608,430,220.018605
94808,430,220.483721
95048,430,221.041860
95257,430,221.527907
95449,430,221.974419
95624,430,222.381395
95796,430,222.781395
95950,430,223.139535
96126,430,223.548837
96309,430,223.974419
96510,430,224.441860
96700,430,224.883721
96872,430,225.283721
97048,430,225.693023
97229,430,226.113953
97434,430,226.590698
