mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
593083.125,526081.208333,494268.666667,421901.666667,416873,581220.125,631169.583333,523513.910714286,83982.9683976201
468929.25,478688.75,433526.25,388340.916667,375802.958333,537877.041667,409320.208333,441783.625,57248.6492504666
466039.833333,477015,396060.208333,385234.541667,373084.416667,568646.25,405984.666667,438866.416666714,69706.2223652142
471998.818182,504999.045455,408019.318182,405942.227273,431107.772727,625968.272727,400382.772727,464059.746753286,81252.8882919323
456551.681818,501900.272727,409109.136364,384426.045455,377942.909091,511860.636364,398273.454545,434294.876623429,55792.1902715347
445139.5,507539.136364,415913.772727,394365.181818,377204.181818,508011.863636,396601.636364,434967.896103857,54045.8512609369
456735.363636,668461,407115,385013.227273,375534.818182,511533.363636,392981.545455,456767.759740286,104956.246278876
463686.590909,509723.045455,404956.181818,389512.727273,374565.045455,592166.863636,396849.045455,447351.357143,79707.3678494803
540427.333333,557773.047619,422780.238095,428111.666667,414420.190476,536976.47619,403300.238095,471969.884353571,69095.4825702309
509374.904762,566020.095238,426482.238095,451516.142857,425709.666667,533606.238095,406576.190476,474183.639455714,61796.8948557141
589389.857143,601638.714286,461731.047619,471765.571429,417362.380952,590223.285714,397150.238095,504180.156462571,87566.7796687513
706407.142857,686816.190476,554816.238095,467896.380952,465344.190476,689199.809524,451837.571429,574616.789115571,116821.242374362
730369.947368,707432.631579,572611.210526,594442.736842,548566.421053,759849.789474,585250.894737,642646.233082714,86605.5410454057
712006.894737,707216.842105,565776.157895,598282.578947,542900.052632,770185.736842,579915.210526,639469.067669143,88447.3037713166
689943.315789,706804,562788.421053,555774.526316,538392.052632,733068,544275.157895,618720.781955,86594.9427823797
688042.210526,696965.052632,562391.052632,551399.894737,540548.631579,723864.105263,493019.052632,608032.857143,92014.5574916125
743473.473684,726464.684211,588458.052632,592628.842105,565059.947368,762865.210526,578432.578947,651054.684210429,88251.984671731
747165.578947,849804.526316,643926.631579,655957.473684,658128.210526,825585.842105,668027.631579,721227.984962286,86739.8852192111
759726.631579,750399.578947,603662.052632,599069.789474,583613.789474,781169.157895,596702.842105,667763.406015143,90466.747720428
762433.842105,749617.526316,623376.368421,601789.421053,568516.157895,775080.736842,609648.421053,670066.067669286,88216.2359917928
758820.315789,771314.789474,622500,623255.421053,577193.052632,766489.157895,599451.315789,674146.293233143,86962.7337866445
761871.684211,758985.473684,602471.894737,597744,569824.631579,767465.526316,589850.526316,664030.533834714,92959.6015562792
778900.894737,745475.842105,597617.526316,590898.263158,564890.789474,766039.736842,588252.526316,661725.082706857,96200.503926566
762664.368421,731749.736842,591650.736842,592729,569047,766962.157895,586944.052632,657392.436090286,91184.7334124604
766241.315789,736837.736842,591563.210526,586916.473684,564788.105263,760951.631579,598834.368421,658018.977443429,91457.0492158393
645529.2,644006.65,535225.2,517373.35,539208.2,657141.15,511147.7,578518.778571429,66655.6028771954
652104.7,623413.7,567890.7,537431.7,548045.2,659427.35,535526.9,589120.035714286,54418.0987904814
658641.3,642428.85,538365.75,535838.8,530190.45,655387.65,534211.35,585009.164285714,63048.5066716804
723760.894737,697700.210526,544217.894737,552686.947368,541323.210526,701492.736842,534329.894737,613644.541353286,88473.4874021372
743137.578947,693846.210526,548692.736842,551738.894737,547969.842105,694045.526316,533841.210526,616181.714285572,89770.815511527
1166244.789474,921716.894737,763100.526316,950236.684211,766999.263158,1144624.842105,972705.105263,955089.729323429,160309.853899024
939670.736842,911708.789474,725264.894737,649468.736842,685070.526316,843967.894737,752220.894737,786767.496240714,112864.870546441
907694.105263,1060629.210526,898098.894737,687854.526316,842125.736842,863833.157895,864861.631579,875013.894736857,109842.535993961
739217.947368,694825.052632,817019.368421,661094,651352.894737,680631.526316,686408.684211,704364.210526429,57103.8747243873
781732.052632,691890.421053,654486.736842,657012.684211,649284.631579,676369.736842,682946.631579,684817.556391143,45594.1686478175
715691.210526,691511.947368,663657.157895,656505.105263,649765.368421,674274.842105,691400.736842,677543.766917143,23310.0179510383
563505.7,579152.7,582840.3,539950.05,585280.55,598663.4,577655.45,575292.592857143,18759.1377617111
685911.7,849948.8,661538.3,707949.1,842399.75,662822.95,802251.55,744688.878571429,84024.9403693077
662264.1,638091.1,661459.15,699825.15,636755.85,683613.65,625377.15,658198.021428571,26917.1710051697
466352.409091,501145.045455,491580.954545,439238,514380.818182,492866.863636,503224.590909,486969.811688286,25742.1812526872
466980.428571,526096.47619,486827.666667,441128.761905,532651.809524,489739.047619,513404.333333,493832.646258429,32902.6376931675
463875.52381,531429.666667,517164.761905,439543.809524,509483.619048,462620.238095,511399.238095,490788.122449143,34798.2259804314
537217.9,518517.2,507148.3,490554.85,511581.95,484986.55,515048.25,509293.571428571,17558.3295197478
517630.75,536681.35,508758.4,517089.05,523157.6,506168.9,503126.8,516087.55,11529.3232819624
652875,664206.35,525339.85,657048.9,657826.1,539996.45,639849.35,619591.714285714,59989.3652564333
643868.55,642333.9,511787.35,651031.4,654057.25,529946.85,641731.6,610679.557142857,61745.5398253822
645493.8,644213.2,510944.3,646058.3,649996.15,527015.7,645275.4,609856.692857143,62280.122219389
643763.55,643376.6,506231.9,645903.3,648986.9,578615.7,642311.35,615598.471428572,54222.4063237534
685474.263158,711028.315789,553044.315789,680520.842105,688741.473684,617322.315789,684036.263158,660023.969924571,55285.087509032
697075.210526,692445.631579,556469.789474,697639.789474,701643.157895,577264.421053,686545.157895,658440.451128,63020.4955673905
703290.684211,717142.157895,553724,703524.789474,702009.684211,584887.789474,687783.736842,664623.263158143,66278.8011081713
700625.052632,699984.894737,556575.526316,701595.631579,700527.631579,588309.526316,688489.473684,662301.105263286,62226.2035948305
695202.263158,698597.473684,551797.157895,691144.263158,701204.315789,578597.736842,701349.894737,659699.015037571,65115.3952757438
695331.842105,683266,574355.842105,645329.421053,695785.736842,580825.315789,683239.526316,651161.954887143,53044.5431774509
695937.947368,691368.842105,564975.210526,561280.263158,710089.894737,576602.789474,682352.421053,640372.481203,68699.689372286
