
fl_pl=,1
mode1:
set up=, 28282690
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
23654336,4752441865,10854698,11035477,430,
26668159,3221274655,16084844,5606323,291,
21812594,1991442181,6197693,11948570,180,
26842693,1402726660,10719232,14087051,115,
23859111,901536038,10879365,10758295,86,
33169012,487683142,8126913,39967,64,
23663547,261307170,5767675,34564,49,
26596688,252462445,218336,27551,44,
30506302,123249350,5614773,47951,34,
25444120,176781147,5403972,55274,31,
27565628,114481926,5392245,167225,25,
26404906,31096331,5395417,67566,22,
32349201,2477646,4429040,117639,17,
34451803,8260442,4797333,94241,15,
33199071,68305141,5365265,248780,13,
27965741,9098745,192580,87606,12,
22498257,8940322,166541,133499,9,
34301740,9428412,230067,58050,10,
25051911,8542408,1165671,67443,10,
30624483,8240786,4522791,86815,9,
33886324,8508982,2938107,106597,8,
38241075,7966214,1547200,124592,8,
34388753,7578604,989595,94812,7,
31337509,8400180,1112165,100503,7,
37337228,6401931,3996135,114913,7,
35902456,7325869,4691931,96246,7,
36095032,7778441,54604,109388,6,
27482258,8092912,3417,160686,7,
29382467,6984879,457980,73384,6,
27166337,7542480,176473,80131,6,
28430175,7811677,202943,235354,5,
39595971,2575064,5134,543154,4,
28983238,7878615,3380,192676,4,
36148766,3609455,3109,138796,4,
28855130,7867457,3307,384482,4,
34609540,3341815,3320,432752,4,
30673736,9309148,37173,254908,4,
33631773,2991381,2980,174983,4,
30797591,7867431,4636,239608,4,
25318137,7756933,3887,238945,3,
30856867,8003055,4644,696480,3,
27526760,7589445,4858,481479,3,
33027235,10240043,3716,257342,3,
28002404,7858536,4380,252551,3,
26871386,8640295,4027,248623,3,
35157892,9051961,3632,315191,3,
36763254,17971834,7073,742354,3,
35045573,5699567,4253,337679,3,
38331576,11632657,6726,314736,3,
37909882,5691350,19150,210145,3,
36627932,9640406,5308,344580,3,
23358747,9895312,6323,351120,3,
35296484,9712921,5832,220313,3,
26586463,10657011,5227,119587,3,
30709438,3424301,4121,169496,3,
24252416,7623827,6440,163642,3,
37984402,7602582,2573,84954,3,
39871982,262088,4366,194299,2,
43344645,237929,3997,154827,2,
38387516,256991,3497,96346,2,
28405840,5398577,7124,105152,2,
29454938,5424997,4842,156837,2,
35029656,5517486,4288,137106,2,
24891547,5481081,7665,138054,2,
24846385,7832693,5835,356925,2,
32025260,2270337,4270,653017,2,
23694557,9929835,5885,414808,2,
43030318,7956175,4806,500647,2,
25385906,7748895,5595,486706,2,
31777427,2786395,5472,321681,2,
33014112,10384663,5362,413953,2,
37277939,2881263,4618,344858,2,
33534844,2500326,3878,434903,2,
29488831,10627845,5662,327791,2,
38809740,3171226,3840,280356,2,
31461763,8530719,12851,433256,2,
24952857,10419618,3787,494850,2,
30673428,8492874,5782,346783,2,
28783249,8229659,4111,450613,2,
28066721,3076792,4374,314515,2,
23589826,7771347,3371,403089,2,
23908039,7776353,4229,285158,2,
32896745,7457406,3073,266294,2,
24720855,8168528,4518,342320,2,
26495214,7824826,5293,299857,2,
27448834,6398305,3855,320373,2,
31393537,4557800,5040,276078,2,
23974298,12371654,5664,297627,2,
34334413,8353785,4384,287352,2,
26836692,7995112,4012,244555,2,
31343142,7673234,4108,235146,2,
25743775,10446435,5049,214932,2,
32696017,8149964,5413,394000,2,
23994652,8382851,4201,235569,2,
26099995,7370405,3469,198470,2,
30660852,7728314,5190,230414,2,
48349942,4316005,3002,288420,2,
32108117,7704856,3722,216811,2,
26819327,8074727,4218,326773,2,
29042125,7988455,4549,303161,2,
27475178,7884524,4961,441705,2,
26105200,7888698,4504,268619,2,
44141624,17326610,4119,243012,2,
44382856,12274853,3403,215714,2,
41844977,12723863,4683,295353,2,
42650836,10785815,0,0,1,-,

mode2; nds_td j iter
21115286,21098355,11026763,10675029,10636461,10856942,15746280,5595712,10853763,15800321,5775966,10671281,10959642,10898437,15770010,5878359,11173185,10790485,16013697,5640667,15965851,5629651,10914529,15912477,6054082,16012229,5946893,11522529,16270134,6016826,10808571,10864288,11372673,11312028,11480052,13316296,8939992,11291252,11379355,11404158,11621775,16072752,5784591,16165071,11436817,5986496,16468641,6141701,12625668,15869599,5332460,15751506,5647357,15412755,10652346,10611894,15743306,5608767,10569497,10654804,10646625,10683439,10736903,10742705,10826285,10748241,10966770,10687629,10712804,10748826,10975863,10882398,16269337,5514694,10807267,10761083,16375020,5661925,11201118,10816766,12963288,16251004,6727345,20355952,14479006,15934332,10985589,11114217,15874507,5525754,10760997,10735797,10782701,10752566,10692949,10818596,16083902,5597601,10711621,10979276,10897895,10845176,11082773,10756769,10809562,11104974,10735303,10826600,10928246,11876453,11153377,11329983,10876520,11535572,10968076,11008867,11000608,11201716,11605612,11256586,10950476,11343069,16449846,6107190,16474521,5921255,14216777,10578817,10589947,10622031,10651042,10623981,10642317,15984399,5629608,10755976,10726888,16233180,5570866,16365980,5733682,10889896,16384033,5849935,16641428,5926321,11331146,17073525,6019440,16431491,6274405,16742421,6151236,11330472,17970425,10701382,5344366,10631461,10763003,11145957,10914598,11230975,10831620,11291132,11161231,16579467,5796842,11205913,16240039,6141644,16574628,5979336,13516921,10738855,15858529,5407934,10757121,16230130,5559587,16191153,5717737,10825706,10821986,19659657,5553976,10591478,10615862,10624462,15965280,10632483,10805266,5581341,10884744,10785835,10988659,10836456,10785718,16190226,5934441,10978264,16281977,5575516,10868775,11362577,10855403,11190654,11363673,10948088,11373914,11284367,16435608,5965456,11011731,11690097,10761426,10939531,10839808,11161171,11124488,10887438,11091818,11585331,11797386,11600980,12335305,10643141,10538015,10657012,10622551,10667952,10835083,16563736,10753827,5526125,11416976,11336911,16091532,5624673,10656932,10836920,11026903,11436847,15975468,5646313,10952341,10934920,11024720,10808104,11017725,10973646,11050938,11025419,10927239,10941524,10917028,11089981,11038255,11099367,10819409,10886529,10803291,16007608,5374534,10763681,10548606,10455811,10205192,6025319,29297,25751,26462,26066,28003,27088,25050,68303,30032,25229,23942,26181,32969,22575,38909,23714,89734,25506,55251,19872,35774,22194,21607,20406,21225,19992,

mode3; num_thr=,2
596044,
