
fl_pl=,0
mode1:
set up=, 6500318
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
5761,258861,1079,905802,2,
6046,276032,1088,965202,2,
5667,269801,1047,803101,2,
5693,268575,1050,879501,2,
5960,295187,1210,837290,2,
5796,266124,1062,780076,2,
5867,264449,1048,776916,2,
5890,267746,980,771990,2,
5808,262513,1045,764756,2,
5932,270677,1059,805751,2,
5999,268865,1040,826875,2,
6068,294395,1088,861631,2,
5925,265843,1038,774300,2,
5983,264453,1058,773195,2,
5830,262340,1035,779328,2,
5866,261162,1056,762190,2,
5829,260837,1056,763980,2,
5849,261202,1018,759119,2,
5786,294111,1154,841077,2,
5994,289663,992,755884,2,
5921,257072,1021,749632,2,
5595,257352,1007,750822,2,
5794,256553,1020,746354,2,
5742,254968,1014,737014,2,
5837,252784,1020,738178,2,
5732,252793,996,791441,2,
5991,279589,1139,810947,2,
5937,251950,1000,729928,2,
5990,250495,970,730977,2,
5780,250229,976,734287,2,
5777,249038,953,725440,2,
5775,247580,962,722379,2,
5651,247482,976,719788,2,
5630,245855,986,795578,2,
5925,271495,1025,751965,2,
5660,243998,972,706119,2,
5657,242988,989,704287,2,
5502,241817,990,707273,2,
5715,391930,1614,2089802,2,
5467,406077,1126,1523430,2,
5762,337153,1141,992280,2,
5752,310317,1082,939105,2,
5622,339809,1189,1039248,2,
5796,325424,1070,924160,2,
5478,307454,1070,915920,2,
5661,331961,1204,1024460,2,
5963,329616,1065,904804,2,
5655,302600,1023,904535,2,
5667,302522,1034,909183,2,
5458,301341,1066,902287,2,
5628,299876,1089,897432,2,
5479,290303,1009,903479,2,
5584,296974,1074,883453,2,
5567,288504,1043,863788,2,
5442,288091,1012,887636,2,
5404,294358,1164,889892,2,
5385,287416,996,890734,2,
5639,292726,1022,856713,2,
5439,309025,1041,866310,2,
5506,299819,1088,845694,2,
5474,282517,989,840643,2,
5481,282118,1008,872808,2,
5498,286777,1000,859737,2,
5420,279933,1647,832612,2,
5470,277154,945,858640,2,
5403,285407,1013,846193,2,
5603,288159,999,854935,2,
5313,282570,1017,836448,2,
5446,274985,992,853834,2,
5285,279881,993,833821,2,
5387,271951,963,814509,2,
5395,271077,977,826983,2,
5506,277803,989,836845,2,
5363,270400,1075,828867,2,
5498,275792,959,813940,2,
5306,267620,994,832488,2,
5394,273068,1095,806571,2,
5502,266984,2074,790389,2,
5314,265696,920,809090,2,
5317,271852,1013,805559,2,
5265,278620,952,803638,2,
5368,269607,955,801985,2,
5398,261971,921,811653,2,
5430,267285,984,791879,2,
5446,259653,937,769786,2,
5245,258404,941,764880,2,
5316,257801,974,799602,2,
5454,264079,949,779572,2,
5396,256732,937,759832,2,
5454,255870,929,762921,2,
5089,263231,963,775727,2,
5354,270039,901,754353,2,
5269,255033,936,747258,2,
5269,252485,925,769044,2,
5319,257503,920,774820,2,
5345,250398,897,737693,2,
5193,249489,906,735753,2,
5401,248056,912,766501,2,
5377,252726,951,753714,2,
5265,244699,897,731557,2,
5360,244961,907,726938,2,
5186,244191,912,758328,2,
5378,249097,963,738881,2,
5266,246810,979,734199,2,
5272,240187,912,712943,2,
5196,240009,906,746304,2,
5391,245436,901,729623,2,
5243,237949,873,706167,2,
5281,237642,873,704691,2,
5120,237145,912,731759,2,
5322,242216,929,716363,2,
5342,247616,1000,696821,2,
5172,234050,857,691299,2,
5338,234133,884,724331,2,
5161,238162,893,710815,2,
5090,232045,889,687309,2,
5114,231344,884,681005,2,
5162,230648,856,704901,2,
5203,234682,907,692615,2,
5205,234263,884,709749,2,
5144,240470,864,683148,2,
5178,228613,973,697926,2,
5038,269725,975,816114,2,
5108,264862,1650,768111,2,
4957,250712,989,742029,2,
5012,249759,963,771444,2,
5018,254451,1396,755555,2,
4853,247799,977,730890,2,
5017,246539,975,726342,2,
5008,245924,914,760053,2,
5023,251257,941,771156,2,
5105,249780,924,737438,2,
5083,248895,956,729250,2,
4974,247337,962,748968,2,
4937,246088,962,729329,2,
4950,240592,975,720836,2,
5063,239741,916,708892,2,
4934,243713,2244,727419,2,
4962,242701,973,719749,2,
4924,236531,888,698998,2,
4938,235947,904,697025,2,
4954,234721,895,733123,2,
5072,240544,921,732714,2,
4921,238761,930,702393,2,
5004,245748,992,692411,2,
4910,231931,855,731908,2,
4868,236543,885,701118,2,
4936,229545,880,677088,2,
4889,228570,852,673135,2,
4804,228449,847,699635,2,
4875,232398,870,692371,2,
4955,226113,898,684725,2,
4823,231707,878,682469,2,
4995,230297,905,706773,2,
4643,229503,929,679488,2,
4607,236023,978,653676,2,
4852,222924,849,677982,2,
4847,228326,884,670868,2,
4665,266621,1073,738912,2,
5149,244981,848,647974,2,
4741,218757,847,641955,2,
4731,218374,837,645804,2,
4640,240161,880,653837,2,
4740,222255,858,656597,2,
4855,221865,833,647194,2,
4777,215741,811,630484,2,
4625,214764,827,662503,2,
4721,219859,865,647463,2,
4786,226192,1038,625531,2,
4768,212446,846,628864,2,
4609,212078,1106,623689,2,
4716,233778,842,633157,2,
4658,213771,836,633253,2,
4659,209775,821,622234,2,
4593,151538,0,0,1,-,

mode2; nds_td j iter
1067582,727703,637432,579978,608572,558410,630368,574062,644424,561971,638378,561147,617262,1384207,1961639,1221275,927230,885092,864444,849350,863482,835194,846753,810980,808734,830895,835099,838145,819447,788359,815912,804047,799177,777559,776935,801705,789121,783362,786273,782392,786911,777452,774515,760887,760747,774104,783206,765244,745473,740635,736940,772299,762350,755841,749209,748893,755301,741045,741228,760409,732038,754220,731717,728633,709309,704558,701000,732920,713800,705683,693229,689756,705757,701847,709179,679615,678078,675952,698494,689285,691564,666747,665755,663246,686596,677372,678634,655430,653164,652475,678686,664546,665473,642677,641326,637681,660684,650684,648648,646428,644531,625230,645238,639961,649337,617147,615391,613541,614179,640609,623088,656797,623385,617654,614732,659650,685915,653249,610743,605795,606250,628293,668439,660911,599397,593104,594060,588922,649443,653202,614678,581601,578785,576760,578572,655642,645516,569206,566459,565154,561772,598005,627902,618048,558374,557184,551614,549388,589459,613314,596444,544815,540097,538719,535290,570934,594076,592352,529172,527395,524258,522873,524471,611060,576995,532579,516343,512209,509993,509894,558869,563417,547793,501506,500316,498511,495102,494900,562772,547489,517780,490543,484402,482838,481047,484520,549373,531196,501131,472431,469497,469039,465591,466118,466468,462132,459817,458863,455962,455079,456115,451085,476460,500904,496915,469677,446109,440844,439273,438490,436059,476586,484250,481471,446797,427547,426454,424950,423292,422991,424113,418824,415965,414565,412994,417099,409937,407509,406606,405164,407261,402019,400414,398716,397583,396179,394362,393563,391570,389644,391281,386203,384517,383980,381677,379751,381347,378131,375974,374652,379024,371594,370034,368889,371710,365750,370533,362556,360334,359788,358787,361676,358261,353131,355602,351644,348575,348160,346944,345795,343575,342985,344249,340261,336990,336634,334955,334000,332039,330319,328822,328205,326939,325795,324310,325492,323831,319524,318444,317530,318729,314764,313206,312627,310960,310146,1523237,1252232,1318168,984095,954196,944709,934994,935721,932229,928250,924200,923914,920617,912591,909901,907271,908670,902332,897951,897410,896218,891909,889977,884132,882767,885068,876579,874339,868956,871176,890416,975165,951011,858453,959252,980252,935418,848533,912731,944651,841868,838049,832972,940873,878200,826113,822796,826157,819461,815496,812162,809499,866113,906072,802581,799219,796953,798364,791745,788987,786771,784475,852445,866939,775485,772969,770741,837292,854811,762113,760037,759590,760001,752023,751012,747405,744659,778326,826591,768214,736724,731684,733629,726921,726478,722377,720263,716987,775524,795834,730172,707375,705964,707785,701380,697475,695527,693365,689905,734828,764796,713211,680170,678228,676167,677831,670475,667991,676282,663383,662945,735466,737004,654491,650645,650493,646067,726050,716674,640128,638247,635975,632934,636138,628624,626708,623606,620127,620992,673157,688599,687406,681974,677602,689739,677920,651730,599103,596873,595320,592259,617268,655253,639253,583888,581423,577960,575388,580778,573347,570584,568444,566398,564166,562934,607640,620549,597651,554068,550629,548367,546886,548081,542270,539657,537516,536161,533414,531340,553832,587574,593539,522384,521041,518382,516993,513642,519196,515376,511520,508322,505494,503939,501536,499755,566903,552587,521213,490934,488960,487047,485837,496426,480864,479966,478106,475011,473616,471701,470387,468072,528289,518411,508203,459576,457870,456599,454402,452260,483429,499640,497460,462306,442744,440290,439092,436339,434828,437465,431762,428951,427438,424747,423565,421411,419856,417241,442146,461181,459786,430977,408340,406240,405060,403537,402308,399522,401086,395836,394524,391101,391010,388851,387221,383868,383322,381585,384068,377500,375741,393331,372954,370462,368415,366288,365467,363869,362844,365063,358216,356246,355112,353270,351741,349706,347949,346482,344654,342586,346555,339597,338409,335546,334894,333305,331830,329747,328642,326522,325105,322348,327476,320431,318480,317077,316367,313935,313015,310387,308802,307090,306309,304062,303555,306069,299229,298264,295721,294009,292497,291558,290395,288637,287918,285657,283325,283100,280856,285511,313170,307385,305462,304724,306623,270568,268534,266966,265696,264403,263299,261320,259944,262931,257419,255975,254245,252614,250548,249186,248225,246947,245667,244098,242837,242117,239946,374753,395759,354268,336121,325962,324213,322904,320884,319814,317278,316039,313804,312106,315093,309352,307621,305498,304558,302150,300653,299213,298029,295532,294071,292218,291304,289593,287802,285897,283931,283054,281023,280362,277964,276516,275334,273596,271579,270758,269431,267743,271208,264777,262195,261308,259439,258168,256430,255313,253566,252271,250338,249501,247137,246674,244750,243850,244391,240564,238639,237542,235677,234696,232383,231094,230001,228931,226569,225263,223881,222375,220600,219926,217789,221626,214960,214057,211578,211175,209544,208362,205802,205775,204138,203296,200658,200093,198318,197294,195162,194840,192531,191372,189667,194227,186964,186516,184001,184016,182147,181156,178561,178274,176853,176166,174571,173289,171601,171383,168711,168733,166391,165907,163487,163348,161325,163423,159198,158294,156266,155876,153594,153185,152074,151069,149722,148764,147036,146069,144930,143522,141637,141651,139981,139324,137333,136614,135037,134807,133198,132194,131285,130806,128717,131861,127007,125010,124637,122917,121904,120639,119354,118306,117328,116184,114890,114334,112807,112253,111324,110060,109140,108190,106850,106339,105061,104027,103040,102118,100470,100064,99330,98296,96645,96504,95342,94051,93190,92628,90934,89860,94363,88526,86974,85988,85033,84381,83165,82410,81229,80608,79212,78101,77303,75869,75072,73790,72837,71468,69985,69055,67734,66225,65643,64528,63676,62656,61690,60814,60162,59182,58501,57651,56923,56160,55544,54680,53944,53302,52656,51940,51119,50743,49894,49158,48537,49036,47368,46496,45863,45276,44630,44029,43431,42789,42190,41503,40916,40356,39771,39134,38614,38023,

mode3; num_thr=,2
2404131,
