
fl_pl=,1
mode1:
set up=, 12330586
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
17392399,8988624,2285,4235,110,
4543,151329,2088,4113,74,
4190,95619,2273,3746,48,
4101,54629,3467,3237,26,
37766,44264,2344,3507,23,
46259,28351,1869,5150,18,
375675,25098,1838,10157,13,
696999,18947,1651,9339,11,
779950,11259,1535,13924,7,
623744,2539352,1605,10169,6,
784719,7100,1499,10429,6,
449119,11417,357589,11054,5,
200820,255324,7000,15860,4,
2950964,110170,7955,17390,4,
299824,254725,9072,12160,4,
200783,445187,1137,22873,4,
481674,319294,698,5443,3,
209191,175992,558,5049,3,
207620,172744,678,5306,3,
209459,181999,690,10769,3,
213709,185189,843,27072,2,
214801,195393,847,45512,2,
221169,212107,1081,16103,2,
259191,253444,900,14763,2,
255338,197546,656,11662,2,
216777,176901,750,10890,2,
215983,196850,910,10442,2,
216386,211630,624,10309,2,
212153,8813,711,11791,2,
371940,9481,1496,8510,2,
371315,8620,1429,7105,2,
394159,9093,1587,7282,2,
381460,10989,1042,7979,2,
18013487,4474259,722,9292,2,
419652,13249,1371,10308,2,
385431,12006,547,9404,2,
373144,11473,727,7716,2,
338285,9636,681,8532,2,
418220,13476,1598,9334,2,
346997,10662,779,7935,2,
340223,11362,1458,7213,2,
337557,9063,1166,7110,2,
333430,6809,0,0,1,-,

mode2; nds_td j iter
359394,2756,7174,2400,3485,2313,2182,2205,2330,2403,2269,2161,2630,2342,30060,14549,24569,2627,3151,2671,2644,2511,2512,2638,2611,2482,2528,2427,2435,2513,2553,2375,2614,2447,2696,2509,2299,2543,2654,2453,2338,2365,2426,2421,2372,2448,2617,2412,2337,2829,2449,2572,2582,2702,2542,2530,2446,2374,2420,2250,2375,2303,2477,2444,2365,2137,2422,2412,2416,2484,2682,2502,2174,2357,2337,2348,2450,

mode3; num_thr=,2
54210,
