
fl_pl=,0
mode1:
set up=, 19911971
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
220269,1473935,248834,1803444,6714,
57520,911134,131117,1587270,4594,
46195,761488,90443,1556996,2818,
42961,766760,67898,1813165,1781,
40863,779784,61122,2033753,1372,
40072,800830,56491,2124299,1028,
38657,766824,47589,2106165,830,
38195,759323,41930,2149580,678,
37087,762198,38604,2873143,579,
36958,743986,32553,2317374,469,
36202,735379,32190,2378077,415,
36887,723295,27097,2441367,345,
35639,736077,24786,2722048,303,
35937,766414,25073,2814171,270,
35720,745704,23976,2886626,240,
36111,764895,20909,2923062,217,
35174,732991,19853,2937239,180,
35402,742481,20036,2936011,170,
34640,757917,18177,3111316,147,
34837,801620,18018,3274777,135,
35079,805328,18387,3211001,132,
34725,831031,16672,3326086,114,
34512,834307,12729,2525730,108,
24915,622919,11806,2963993,93,
24907,639043,11269,3151403,93,
25422,689601,12190,3253209,89,
28553,772703,10876,3254410,76,
25457,680586,11636,2846605,74,
24827,684253,11849,3019399,65,
24624,717102,10363,3064208,63,
25059,710007,10225,2990455,59,
26876,768504,10756,3117848,58,
25238,834707,11648,3680719,55,
25835,824218,9109,3413039,54,
25037,757798,11072,2908377,51,
25108,794534,10274,2950805,47,
25012,812559,8968,3268371,48,
24890,818974,10042,3329981,47,
25026,893726,11297,3370840,48,
25136,856669,8716,3598394,46,
24903,854103,9390,4093843,43,
25715,842830,10185,3406927,40,
25342,849124,9694,3035934,39,
24839,736249,9542,2627382,39,
24800,774200,8346,2831257,37,
24410,881165,8711,3205736,37,
24915,1045577,8179,4022407,33,
25790,1043816,8641,4549539,32,
25510,1029913,9548,3686771,30,
25573,1004758,8474,3646774,26,
25315,906271,7741,3244576,26,
25162,836800,7302,3568059,26,
25399,856224,7721,3723808,26,
25396,954280,7827,3456133,27,
24666,900824,8790,3751440,25,
24685,887544,6595,3215118,26,
25078,1093703,7243,4520111,25,
26443,1185623,8570,3986984,26,
26040,1224629,8311,4418407,26,
26108,1217028,8145,4045359,23,
25620,1099289,8673,4028171,22,
25951,994429,7064,4729380,21,
26557,1109049,7100,4789271,19,
26628,1055898,7879,4224358,19,
26900,1087521,8685,4612458,17,
26980,1030479,6848,4536927,18,
27034,1023952,7734,3769744,17,
25376,979508,7791,3631414,19,
25449,916217,6627,3857544,18,
25560,926697,6727,3446182,19,
25407,1077686,7290,4069501,18,
25806,1002777,5600,3807107,16,
25493,966285,4920,3513777,16,
25323,984493,6542,3631521,19,
25754,1112912,6210,4146593,16,
25915,1013866,6756,3742393,15,
26156,995371,7815,3478527,17,
25366,912606,6061,3270759,17,
24854,808808,5114,3166124,17,
24649,911635,6061,3756910,16,
25198,1164053,7100,4540174,17,
26057,1146563,6653,4632709,16,
26657,1357104,9644,4223124,22,
26084,1306597,7990,4658891,19,
25133,1425629,6905,4931536,19,
26174,1227347,6480,4072071,19,
26584,1027127,8383,3703950,17,
25030,885977,4783,3499584,16,
25379,937374,4965,4053981,15,
25054,1011725,5991,4699763,15,
26636,1349309,7671,4998743,15,
27912,1301458,6652,4608361,15,
27246,1210201,6521,4734807,15,
26998,1190501,7807,4731290,15,
27067,1250724,7609,4443791,14,
26827,1165992,7779,4333648,14,
27026,1137682,8461,4282008,14,
27511,1102680,6145,4243271,14,
27749,1321319,6456,7222559,14,
32525,1514804,7254,4885569,14,
35451,1531784,6268,7091498,12,
30414,1658964,8305,6685267,12,
30721,1643467,8855,5931033,12,
28875,1618879,7205,6175522,12,
26928,1514178,6410,6330451,12,
28144,1441362,7664,4820716,13,
26376,1555836,7674,5753568,13,
25350,1389586,6989,5556386,13,
26581,1304602,7062,5533848,13,
27244,1351039,7147,5494896,13,
29480,1333873,6764,5394735,13,
28270,1327498,7674,5438184,13,
28668,1217604,7750,4935476,13,
28112,1223733,7294,4848502,13,
27636,1144241,5921,4718277,13,
27317,1288061,6220,4503294,13,
27455,1228626,5957,4261825,12,
26106,1124402,5729,4117945,13,
25368,1054026,5413,3862441,12,
25686,1642941,7450,5829101,11,
27171,1629160,6518,5789202,11,
28447,1562412,5346,5393096,11,
25790,1362212,5193,5197465,11,
25298,1327336,6371,5191083,11,
26009,1299139,5027,5089254,11,
26024,1428568,6897,5562210,11,
26561,1337417,6020,5555514,11,
26731,1351306,5614,5418425,11,
30883,1325018,6646,5412745,11,
26363,1294788,5334,5382263,11,
26696,1375875,7817,5694840,11,
26523,1307011,5621,5032810,11,
25468,1241312,6017,5143189,11,
24701,1205877,5789,4622396,10,
25282,1184599,4882,4804517,10,
25622,1184896,4498,4767691,10,
25168,1129158,4407,4640416,10,
25451,1364964,5763,4684165,12,
25640,1263873,5313,5046012,11,
25273,1579058,5633,8058158,10,
28391,1834974,5057,7829091,9,
29485,1845547,6477,7174832,9,
29527,1762522,5015,6908780,9,
28479,1583408,5463,6652330,10,
27918,1702360,5223,6578222,10,
26014,1595083,5650,5890912,10,
27014,1460281,5081,5764075,10,
26731,2056365,6132,10062194,8,
31673,2364487,5766,9655390,8,
31785,2315079,5586,9458236,8,
32788,1941094,6683,6970577,9,
29289,2386225,6853,9705906,7,
29894,2369854,5908,8925789,7,
30018,2298976,6001,8767698,7,
31109,2288229,5531,8664439,7,
30309,2252296,5631,8717499,7,
30049,2230708,6658,8712821,7,
30433,2122203,5318,8580340,7,
30642,2197263,4439,8502572,7,
30494,2182143,5918,8546024,7,
31120,2068011,5978,8464710,7,
32185,2069861,5560,8442782,7,
31333,1541019,9680,5085520,8,
27768,1621565,4291,5587892,7,
24757,1486400,4195,5554824,7,
25043,1298855,6270,5208711,7,
25961,1291435,5016,5164231,7,
25437,1228471,4302,5093755,7,
27070,1168298,4344,5042515,7,
26051,1130191,4922,4972717,7,
26267,1161967,4511,4943864,7,
26249,1157113,3635,4890581,7,
26479,1163280,3913,4958966,7,
26313,1110281,4276,4899662,7,
27048,1303572,3523,4967546,6,
25669,1228250,4988,4949130,6,
25798,1146138,3666,4930098,6,
26166,1178413,4575,4822718,6,
25731,1136539,3401,4790692,6,
25561,1142313,4242,4805576,6,
26663,1090440,4090,4762098,6,
25809,1085603,3523,4720373,6,
26806,1092925,4434,4727008,6,
