
fl_pl=,0
mode1:
set up=, 5745576
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
105406,327588,80473,676318,6714,
35752,368372,76160,694107,4594,
31614,615374,65981,851968,2818,
32245,584507,45509,1093169,1781,
29511,515630,33214,1085018,1372,
21650,447788,25049,957465,1028,
17926,372755,17761,827097,830,
15543,323449,13307,715294,678,
13291,333401,11961,927212,579,
12964,263759,11904,737297,469,
12743,254246,10946,751489,415,
12534,249158,10343,781286,345,
12262,249448,8947,804268,303,
14431,264341,7959,836590,270,
12140,256532,8029,834326,240,
11683,252237,7458,831956,217,
11262,237150,6676,829655,180,
11817,250794,6251,825609,170,
37874,250879,6232,841028,147,
11817,256293,5894,867039,135,
11771,260365,5758,863089,132,
11036,306560,7065,964435,114,
11581,263753,4773,906883,108,
15362,291240,4830,1129065,93,
11955,283570,4656,1180803,93,
11732,291220,4766,1247453,89,
12054,306569,4663,1259526,76,
12508,300926,4721,1178637,74,
12125,304701,4249,1181008,65,
12014,313554,3981,1146773,63,
12231,299808,3819,1124328,59,
11382,315830,3821,1274625,58,
11854,326702,4085,1459020,55,
12837,369202,4540,1493955,54,
12659,343897,4679,1199918,51,
12461,333712,4077,1313465,47,
12670,366016,4149,1359945,48,
13012,377423,4803,1393866,47,
16586,365874,4969,1411916,48,
12632,380986,4321,1416869,46,
12016,401117,4239,1788747,43,
13688,438181,4787,1500473,40,
13312,395926,4070,1305106,39,
12887,327756,3783,1048098,39,
11682,369422,3957,1260851,37,
13295,400924,4043,1262087,37,
11989,445189,4538,1681032,33,
14374,470193,4507,1794245,32,
13368,464285,3947,1486175,30,
12900,448244,3818,1460831,26,
38821,371497,3426,1249660,26,
11984,364289,2924,1384121,26,
11938,387935,3478,1507460,26,
12716,443008,3569,1455422,27,
12670,392612,6271,1477016,25,
13505,391986,3711,1372374,26,
13722,534313,4207,1830524,25,
13088,557851,4304,1613527,26,
15356,519608,2962,1745360,26,
13417,519726,3733,1615771,23,
13426,470957,3440,1726067,22,
16830,500742,3011,1948253,21,
12885,473469,3857,2046119,19,
13856,471491,2833,1652197,19,
13695,495747,2812,1770351,17,
13496,453352,2952,1768700,18,
12797,466612,2899,1414884,17,
12995,421105,2447,1338444,19,
12675,397521,2443,1478549,18,
12773,423234,2978,1451695,19,
13672,629195,3478,1602825,18,
13404,476559,3161,1536372,16,
16152,492046,3030,1369032,16,
13077,433921,3137,1361396,19,
11688,519746,3016,1603204,16,
12681,451724,2517,1389964,15,
12639,461941,3102,1295975,17,
13244,399624,2264,1195798,17,
11520,374918,2383,1108385,17,
11496,386449,2236,1423523,16,
12245,519280,3222,1716198,17,
13408,533481,2399,1702471,16,
12738,643457,3951,1642886,22,
38938,552603,2878,1782645,19,
13518,618605,3675,1870247,19,
13860,560772,3061,1539153,19,
13093,473843,2522,1342630,17,
12356,380475,2217,1224027,16,
11739,430831,2265,1485491,15,
11845,454584,1960,1859318,15,
12980,643686,3162,1896625,15,
14032,617359,3159,1713509,15,
13126,574357,2518,1810225,15,
13449,555579,2890,1752662,15,
13002,614226,2829,1645213,14,
13362,518421,2571,1604544,14,
12509,467913,2517,1580796,14,
12630,465398,2071,1515263,14,
12040,594474,2564,2798865,14,
15140,713995,3377,1902083,14,
15132,630094,2855,2697502,12,
14008,664696,2893,2401738,12,
14526,672749,2552,2150173,12,
13998,657844,2891,2350399,12,
15248,835840,2854,2405148,12,
15072,677263,3215,1813498,13,
13361,724155,3038,2186760,13,
13367,671752,2696,2130601,13,
14090,678472,3176,1988029,13,
13297,611357,2984,2141036,13,
16509,820207,4322,2274546,13,
16332,796686,4513,2055035,13,
14677,649124,3414,1897813,13,
14238,589368,2766,1784396,13,
13033,509394,2478,1687939,13,
13155,587669,3035,1717082,13,
14155,524211,2619,1506982,12,
12185,510466,2880,1495792,13,
12477,448397,2206,1317463,12,
12779,821710,3316,2154957,11,
13125,724116,2601,2075639,11,
14133,644452,2654,1916254,11,
13913,599549,2225,1917008,11,
13078,578380,2483,1874663,11,
13568,591068,2342,1810205,11,
14235,657956,2618,2077795,11,
13701,677864,2766,2159679,11,
13002,647320,2610,2030451,11,
13745,645227,3018,2077319,11,
14439,654063,2780,2028447,11,
12911,717841,2695,2105891,11,
13871,613249,2558,1905302,11,
12874,504019,1962,1889118,11,
38571,494241,1836,1555147,10,
11884,524577,2132,1767991,10,
13395,574430,1883,1661222,10,
12131,501969,1729,1639749,10,
12092,656687,2852,1766273,12,
13002,565503,2170,1813980,11,
13112,679715,2309,3014864,10,
14630,905460,2657,3030914,9,
15338,862354,2922,2659258,9,
14406,815467,2484,2634393,9,
20093,763855,2668,2505722,10,
14559,810996,2525,2456276,10,
17332,733193,2033,2152836,10,
13209,609263,2209,2052492,10,
13795,977189,2352,3600301,8,
14504,1109711,2712,3578910,8,
15415,1161524,3058,3642280,8,
16483,1030687,3376,2708741,9,
15087,1205769,2713,3588279,7,
14053,1178729,2870,3315670,7,
14576,1091259,2644,3129794,7,
14686,1032326,2669,3155393,7,
14961,1034979,3199,3144646,7,
14785,1044618,2555,3166599,7,
14983,1023225,2425,3090324,7,
15017,1000974,2528,3045896,7,
15089,995587,3051,3042396,7,
15342,991138,2326,3059025,7,
15035,1038899,2703,3031271,7,
14613,707500,2528,1908461,8,
14359,745871,2140,2013386,7,
13212,574563,2117,1975452,7,
14277,597797,1966,1786617,7,
11901,546924,2047,1916630,7,
13156,649609,2147,1876838,7,
16017,741297,2190,1837199,7,
13473,575554,1915,1894463,7,
13468,578626,1826,1700667,7,
12972,510585,1691,1757058,7,
12242,522800,1682,1833273,7,
13637,600453,1983,1752775,7,
11905,615716,1799,1879367,6,
12687,598249,1959,1835829,6,
13224,568336,1627,1724250,6,
12438,508468,1795,1729326,6,
12084,562308,1702,1668252,6,
12313,521582,1445,1741761,6,
12290,525833,1356,1733507,6,
16122,524185,1566,1667625,6,
11964,506911,1706,1617944,6,
12018,503203,1856,1594986,6,
11677,495431,1518,1681183,6,
12932,565121,1545,1630782,6,
11835,516345,1591,1780565,6,
12419,625510,2394,1852836,7,
14622,638010,2291,1967678,7,
13087,585929,2003,1953984,7,
12777,667347,2170,2021151,7,
12670,644719,2020,1950228,7,
12963,605455,1883,1948466,7,
13309,605033,1956,1971869,7,
13049,668273,1879,1869023,7,
12350,576040,1903,1898077,7,
12733,615091,1856,1906281,7,
13235,637133,1776,1804407,7,
11916,610007,1723,1864226,7,
12883,715514,1933,2262275,6,
13698,753743,2235,2098401,6,
13600,660922,2189,2108256,6,
13047,630884,1773,2084865,5,
13406,639167,1724,2055225,5,
13107,637044,1951,1959531,5,
13396,712877,1982,2055207,5,
12081,591882,1721,1895422,5,
13365,673353,1992,1937887,5,
13104,687950,1934,2128520,5,
13185,668035,2046,2105964,5,
13488,690161,1700,2062138,5,
14285,698941,2159,2029551,6,
14109,690641,2297,2025973,6,
13990,630007,2184,1957053,6,
14756,639064,2042,1786805,6,
12298,539922,1990,1745966,6,
12390,522203,1391,1545556,6,
12096,487764,1262,1528311,6,
13099,476936,1708,1454565,6,
11506,474200,1276,1437809,6,
10585,409793,1241,1515333,6,
11627,479709,1541,1398028,6,
11271,418994,1252,1319292,6,
11196,418607,1255,1379696,6,
10881,410621,1493,1322983,6,
11058,437105,1074,1390457,6,
11908,484537,1373,1328537,6,
11015,551152,1381,1660744,5,
13154,681490,1848,2690087,5,
15010,874643,2085,2959518,5,
14343,850455,2213,2578791,5,
14671,785829,2154,2486632,5,
13610,814058,2041,2413146,5,
13877,827965,1928,2417009,5,
13282,856604,2063,4390541,5,
14912,644564,1767,1646157,6,
12832,533091,1616,1689964,6,
13459,500944,1370,1507371,6,
12184,803040,1490,2899939,4,
14041,856224,1630,2420043,4,
13615,761418,1854,2408818,4,
13907,762809,1750,2306437,4,
14494,816540,1587,2327152,4,
13312,733498,2427,2070178,6,
12961,702257,2220,1935033,6,
13722,563492,1761,1813198,6,
12619,545736,1547,1714287,6,
12289,500956,1581,1657770,6,
11728,560012,5123,1726183,6,
11746,498046,1544,1751941,6,
11623,519242,1516,1579051,6,
11946,505824,1456,1635399,6,
11310,502422,1597,1613987,6,
11992,497793,1423,1612589,6,
11413,490827,1382,1607960,6,
11840,533035,1652,1793831,6,
26054,602650,1868,1747298,6,
12824,550530,1689,1652578,6,
11888,540885,1681,1718117,6,
11689,534039,1630,1715804,6,
12239,519090,1572,1657693,6,
11703,476935,1549,1587678,6,
11641,512508,1526,1559260,6,
12246,523902,1682,1679500,6,
11793,542540,1887,1673873,6,
12046,535198,1731,1675542,6,
13042,966893,1883,2809126,3,
14309,993580,1927,3015851,3,
14003,949898,1804,2823447,3,
14568,871831,1670,2633094,3,
14207,899083,1650,2610351,3,
14449,795647,1726,2453392,3,
13974,785522,1591,2526961,3,
14474,811166,1540,2495107,3,
14517,826664,1740,2532916,3,
15073,909312,1960,2574708,3,
13909,789285,1630,2494959,3,
14626,797399,28139,2419428,3,
14116,779032,1588,2428379,3,
15348,835748,1629,2427903,3,
20620,810146,1603,2449261,3,
14092,841933,1870,2404907,3,
14217,787709,1761,2480679,3,
13986,798056,1807,2410837,3,
15002,837658,1791,2347894,3,
14474,795604,1451,2323144,3,
13173,745191,1425,2332765,3,
14195,781603,1760,2302550,3,
14226,772325,1828,2262948,3,
13165,740943,1873,2286663,3,
13503,737061,1440,2232375,3,
13649,737328,1492,2243198,3,
13887,738186,1728,2216714,3,
13902,749704,1532,2194886,3,
13376,717550,1622,2228285,3,
14187,735807,1480,2206578,3,
13569,727471,1801,2227825,3,
13162,719504,1286,2210368,3,
13247,722649,1271,2188360,3,
13975,720426,1144,2214155,3,
13179,689069,1583,2180625,3,
12873,701405,1656,2220877,3,
13695,749818,1557,2144607,3,
13342,701827,1397,2165384,3,
13266,732705,1622,2183929,3,
13068,695650,1716,2141965,3,
12270,682131,1450,2221332,3,
13016,703313,1689,2301221,3,
13969,715789,1584,2179243,3,
13555,692942,1519,2170642,3,
14285,755305,1697,2165835,3,
14134,811019,1605,2419250,3,
14474,818664,1974,2352343,3,
14533,777688,1856,2174323,3,
14112,815381,1766,2920933,3,
19369,955532,1907,3168801,3,
14610,962654,1974,2730180,3,
14510,1073817,2015,2730848,3,
13266,969551,2170,3373340,3,
15900,1141744,1858,3325982,3,
14897,1090131,1782,3276120,3,
15316,1225194,2227,3214337,3,
15276,1117736,1995,3158602,3,
15559,1092822,1622,3178452,3,
15216,1281450,2190,4867608,3,
14025,1453662,28442,4726534,3,
14409,1399714,1980,3774447,3,
14091,1309928,2155,3771963,3,
13904,1319831,2022,3880203,3,
14350,1368142,1986,3840804,3,
14825,1297583,2134,3755024,3,
14229,1302081,2066,3795688,3,
14329,1280599,2154,3806076,3,
14649,1289686,1915,3782261,3,
13971,1264454,1829,3751682,3,
13944,1360644,1906,3902033,3,
16575,1348817,2153,3869980,3,
15746,1307746,2140,3752215,3,
13803,1376372,2001,3801238,3,
14085,1274837,2060,3787491,3,
14878,1298546,1914,3690504,3,
14278,1287703,1846,3709086,3,
14453,1328980,2039,3733857,3,
14917,1344618,1799,3700059,3,
13847,1315364,2151,3674832,3,
15390,1326754,1942,3649918,3,
13736,1229649,2040,3707127,3,
14677,1291561,1954,3635604,3,
18905,1254784,1881,3600831,3,
14276,1252400,2036,3670770,3,
14101,1229763,1879,3607334,3,
18529,1284739,2031,3591585,3,
13729,1215287,2016,3494395,3,
14774,1372030,1995,3612509,3,
14063,1255471,1802,3718442,3,
15225,1369628,2216,3889642,3,
15892,1349984,2421,3713641,3,
14782,1274728,1776,3611843,3,
14264,1331019,1806,3587018,3,
18716,1209342,1961,3547546,3,
13783,1251822,2072,3473861,3,
14435,1310184,1989,3518773,3,
14028,1197016,1764,3593775,3,
14055,1252683,1850,3519045,3,
13992,1205793,1781,3515917,3,
14069,1247739,1943,3496229,3,
13789,1167779,2063,3451571,3,
13848,1166695,2076,3451558,3,
13566,1224637,1971,3593857,3,
14811,1289008,1991,3718856,3,
14630,1295880,1934,3506071,3,
15209,1215975,1781,3561355,3,
14027,1182130,1674,3391909,3,
14463,1293629,2036,3411801,3,
14053,1215980,1824,3452670,3,
14201,1193919,1649,3388862,3,
15205,1327785,2126,3493601,3,
14795,1215562,2123,3421507,3,
13692,1265842,2091,3510786,3,
14039,1287156,2018,3461306,3,
14070,1210885,2445,4006111,3,
14622,1338583,1945,4364260,3,
13967,1338172,2024,3667980,3,
13916,1235381,1802,3685132,3,
12756,1261689,2453,3676926,3,
14044,1223308,1923,3548059,3,
14705,1254253,2093,3548154,3,
14125,1230468,1881,3560174,3,
13671,1251937,1840,3543251,3,
13808,1238497,2068,3467479,3,
18216,1221604,1828,3472607,3,
13507,1239699,1895,3575766,3,
14120,1227989,1884,3461333,3,
14273,1381533,1733,5390294,2,
19297,1626276,2018,6548604,2,
13807,1664822,2178,4912654,2,
13633,1628285,1784,4854933,2,
14460,1673495,1702,5075932,2,
15796,1707591,2059,4768163,2,
15044,1641799,2234,4710924,2,
14997,1615837,1788,4759578,2,
13851,1580600,1881,4679524,2,
13748,1688571,1774,4659427,2,
13962,1554771,1841,4639516,2,
13724,1561769,1799,4632124,2,
13886,1546185,1877,4480711,2,
14320,1595469,1868,4466865,2,
13539,1627869,1928,4612804,2,
14425,1595065,1976,4493179,2,
14572,1551857,1869,4607098,2,
14327,1543575,2217,4421116,2,
14008,1601423,1970,4455567,2,
13774,1546354,1819,4445358,2,
13888,1571003,2120,4755292,2,
15791,1667837,1916,4624065,2,
14747,1608153,1921,4513765,2,
14747,1560831,1826,4401430,2,
14382,1591528,1749,4450180,2,
13286,1530247,1717,4431437,2,
13578,1506013,1628,4357159,2,
13796,1536373,1945,4418282,2,
14362,1527142,2180,4434228,2,
14598,1532250,1876,4396701,2,
14674,1524018,1812,4517264,2,
15601,1633126,1868,4458771,2,
15182,1602363,1696,4304224,2,
14121,1640641,3015,4434958,2,
13791,1515548,1925,4429722,2,
15536,1596772,1871,4351500,2,
