
fl_pl=,1
mode1:
set up=, 25731261
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
18543793,5675491791,27616,129787,6714,
8506,9533312,8635,105569,4594,
7432,5873827,5161,85173,2818,
257168,4070829,3675,72942,1781,
8106,2643770,3519,76560,1372,
7904,4119085,3531,69302,1028,
7621,3608827,17650,114020,830,
7809,31423605,4363,177674,678,
6157,104171480,7396,150156,579,
9458,26533484,5972,127405,469,
6696,80692658,6430,174566,415,
6836,95754604,5355,183013,345,
6407,31943195,380336,311094,303,
9086,20049902,372909,258939,270,
8578,16865611,317841,197395,240,
7650,4042488,4713649,4556859,217,
8080,3099285,339877,371751,180,
7542,9033972,215843,270798,170,
99157,1945116,218238,437227,147,
5621,1565080,228014,9487708,135,
17717274,6219375,216830,375238,132,
6359,3003322,227600,339168,114,
5712,17789542,211248,677980,108,
5678,2315162,230098,505765,93,
5863,1878211,291429,568618,93,
179013,1750454,207113,582941,89,
6324,1950472,349583,328145,76,
6879,2087730,314275,307764,74,
6705,1967627,219237,302357,65,
6151,1770761,203895,419295,63,
5682,1328870,198141,476003,59,
5912,1220081,206107,265292,58,
5609,1554496,214304,779037,55,
5720,1554775,213860,703346,54,
70626,1506277,211388,483413,51,
5839,1530459,201177,260958,47,
5760,1725772,9771338,1256782,48,
16565162,6300061,189999,837907,47,
272390,6386698,202360,286768,48,
5852,1826502,3436910,761849,46,
5617,2200510,141244,1573035,43,
5495,1946261,222834,680805,40,
5561,1780466,209303,255202,39,
5778,1287473,216651,194401,39,
5558,1341479,209197,307353,37,
5508,1650529,167485,545695,37,
5833,1731041,13136499,9023277,33,
17723093,6914505,163693,894267,32,
6709,1891221,4684617,377571,30,
2097291,1500096,194923,580987,26,
4307220,1538354,185970,257414,26,
38778,1878811,269309,602628,26,
39589,1635507,356848,1216286,26,
47068,1901700,221437,366428,27,
27303,1826381,238445,433978,25,
58805,1898783,287354,238026,26,
43455,1928137,261452,979790,25,
21516106,2093435,216014,435319,26,
43171,2174112,218848,925694,26,
45593,1828652,239862,475398,23,
79525,2128208,233313,436849,22,
93489,1876823,229028,1217589,21,
13163669,1575976,202161,1309732,19,
136791,1531465,195170,503212,19,
129730,1590963,32824,778668,17,
2794149,1600109,46657,763968,18,
17547365,15795259,78794,559508,17,
154940,1563921,88872,415243,19,
14768426,6037679,73331,614154,18,
140297,1482355,96545,342949,19,
126827,1821619,183425,810276,18,
149283,1771951,70191,721888,16,
187213,14739534,69388,404512,16,
180090,8101457,100878,484321,19,
134623,7662686,105037,646894,16,
132343,1425210,49640,359736,15,
182959,1498974,82210,330597,17,
164080,1573799,80605,288742,17,
162525,1337209,80550,280152,17,
156799,1461794,71892,825637,16,
170111,1915102,212166,1124505,17,
156959,1657135,2446,727568,16,
160540,19138689,157726,625232,22,
54682,1783237,2638,667904,19,
84185,1878187,110568,633321,19,
101417,1565833,167011,435406,19,
102528,1158170,154268,277829,17,
111086,1144919,58280,254627,16,
122810,1074567,42713,628152,15,
13214325,28704554,32294,890245,15,
121452,1337934,78553,1027264,15,
139015,1460146,87685,381403,15,
17344550,5788593,85383,391325,15,
140159,1486318,93251,387662,15,
134416,1093164,38163,617121,14,
144408,1308896,56163,510628,14,
175100,1306071,52973,481884,14,
199896,1242892,52468,480064,14,
206019,5492654,56833,1937307,14,
202694,1291532,2146,496325,14,
177576,1617060,2262,2178570,12,
208621,1458703,2129,1812859,12,
216823,1513783,2019,1112615,12,
199421,1536335,76621,716643,12,
13156822,6854146,69375,846319,12,
222481,2365326,135657,615701,13,
250953,1490088,43874,538125,13,
223033,12628138,96357,551225,13,
225398,5619365,66548,465055,13,
200499,1500432,48833,460626,13,
198803,1429422,76352,446834,13,
216137,1411495,105328,457918,13,
13268613,1398252,53100,407105,13,
209114,1418060,51755,383402,13,
209992,1596037,51289,369627,13,
240251,1790301,55891,530394,13,
4575331,1508876,1859,469399,12,
143660,1316667,30399,346094,13,
146509,1363224,2200,350068,12,
146527,1312133,2172,991420,11,
176264,1309008,1877,1059931,11,
162871,1398565,1921,771771,11,
223996,32117503,2356,794255,11,
224859,1671843,2221,750252,11,
219483,14613174,1899,751049,11,
155945,1244793,2001,704750,11,
159175,1258393,2046,717276,11,
159036,1297742,1916,702465,11,
159718,1505288,1893,704918,11,
157485,1311152,1989,696865,11,
154011,1402714,2022,717244,11,
1541435,1337064,2035,990666,11,
165431,1281360,1886,1059036,11,
225270,1193974,1919,475009,10,
4603036,971160,1638,441802,10,
173743,968716,1604,443509,10,
17479471,8757463,2120,533530,10,
184705,1265708,2418,732162,12,
152656,1157036,1876,572795,11,
20983901,30315862,2334,2594493,10,
4016293,2084986,2092,2022118,9,
271045,5835398,2051,1301282,9,
8977039,2596541,2055,1190864,9,
262885,1500810,2351,1764347,10,
255014,1660842,2103,1570070,10,
255502,1642027,2068,1200635,10,
17670323,1544916,2272,1251450,10,
3921138,5864839,2638,2701932,8,
209729,1769333,2475,2395891,8,
194078,1497322,2084,1742338,8,
196838,17373232,1968,1269150,9,
13533117,27526502,4286051,2124505,7,
314391,2232949,2237,1600215,7,
316614,2174240,1930,1528596,7,
311398,6014359,2053,1553497,7,
4752642,3272117,2179,1694134,7,
298017,1935939,669391,1524834,7,
303888,1595859,291604,1528323,7,
404726,1655449,1961,1496288,7,
285170,1596340,1930,1448073,7,
4664147,1641950,1872,1450553,7,
294412,36660935,4288532,1612217,7,
13728285,46612837,4291507,802255,8,
17586874,53061602,4288035,856565,7,
17460038,42232978,4285126,1183193,7,
17496681,57765344,4279372,835291,7,
46134762,50205546,4195677,1344485,7,
17617807,57359751,4300904,861692,7,
17510760,56229464,4346402,763963,7,
22075932,52760820,4290782,767056,7,
17522684,51730027,4286294,767340,7,
17693697,50971930,4442424,739061,7,
17582866,53016564,4289318,771960,7,
17505900,56042653,4289995,786286,7,
17459111,66775632,8776820,1432558,6,
38690862,62425406,4399767,1224499,6,
25914015,50016522,4244711,1005306,6,
15770851,49080599,4288929,1004911,6,
17594914,44139969,3615,845739,6,
17319460,45909323,4308844,721455,6,
17587270,43597425,4287070,828360,6,
14736083,55755645,10808,858398,6,
17605120,48620071,4287672,721633,6,
233472,22566673,1943,583056,6,
301129,828288,1590,510909,6,
295672,841751,1631,498013,6,
287437,837234,1888,668576,6,
310913,906014,1742,643571,7,
17554929,888646,2014,637773,7,
287214,45158234,4290720,778353,7,
287585,882383,1715,671564,7,
285298,895204,1741,619535,7,
282121,1029664,1679,611104,7,
276014,917893,1724,594182,7,
280475,3885324,1882,625082,7,
204669,920088,1845,614664,7,
195310,822116,1499,592660,7,
21764642,57437186,4322053,833013,7,
39130456,90779368,4291437,894523,7,
24324408,31364647,3235,1502667,6,
204210,1351434,2090,1356636,6,
210986,1113313,2468,1057771,6,
291401,644095,1624,641417,5,
315925,674521,1564,978339,5,
462643,674855,1522,666421,5,
312602,667980,1549,633314,5,
321664,682289,1759,633607,5,
321653,1270390,1895,626893,5,
328328,755243,1487,626244,5,
310987,681074,1780,805729,5,
323413,706500,1524,643988,5,
17666894,13556910,2125,690657,6,
230363,993683,1680,624825,6,
12154423,630087,2943,643872,6,
316027,626470,1509,613634,6,
249960,1686497,1693,612114,6,
201617,877138,1437,562206,6,
209102,803452,1439,509959,6,
209765,789837,1608,493176,6,
214066,793363,1361,498842,6,
200090,782397,1517,478987,6,
203422,781421,1725,473738,6,
204120,776197,1621,464802,6,
205312,780128,1885,467227,6,
202996,796386,1589,469585,6,
204473,796403,1431,479321,6,
20480706,38367535,1937,549750,6,
204021,1256405,1818,1160573,5,
213819,957549,1863,2642544,5,
21725263,15175983,2055,2592627,5,
220489,2120997,2132,1746844,5,
224243,1465634,2488,1628825,5,
223756,1980530,1929,1604500,5,
224648,1347771,1993,1569357,5,
227607,1293722,2109,4972978,5,
229435,1008058,2054,556175,6,
199435,5397027,1967,518272,6,
208164,854988,1386,481369,6,
13407637,16209745,1999,2480954,4,
13589158,1630062,1748,1646499,4,
238758,1443746,1836,1570027,4,
243941,1247041,1755,1475957,4,
219919,1238777,1652,1421789,4,
218088,764566,1982,742681,6,
218740,643000,1705,639456,6,
