
fl_pl=,1
mode1:
set up=, 18739480
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
124516,53410462,43555,89229,1692,
16952,236005150,5279,32136,1157,
5351,1588633,3016,24354,709,
5175,972677,2450,22135,445,
4888,689706,2817,20547,341,
5122,9909263,2555,18904,262,
5064,1436106,2620,20494,202,
5238,3546187,2808,20065,170,
5227,4704647,2373,27992,145,
5126,62702702,8833558,7749292,113,
17383976,8657128,220885,58431,89,
4881,18621980,359304,42107,90,
4865,21775968,2402,34976,79,
5272,20422940,2484,4545828,65,
12755536,3013417,250670,4486934,59,
4337053,717200,5894821,204319,49,
5161,1835569,5648196,54404,47,
5211,409991,220708,77604,43,
4639,581183,2415,38346,37,
4926,715146,10380716,11599159,34,
17469959,5506678,335113,47559,35,
4699,325018,12586605,8730829,29,
2867905,978108,174991,110318,25,
37030,433795,170730,99486,24,
41448,398813,192048,61161,26,
1208243,553782,143600,98956,21,
70514,421623,143595,80459,20,
87939,369346,152360,40142,21,
69317,361903,131892,40464,19,
21212747,5340645,123503,88382,15,
174355,721372,142983,247594,15,
13133243,5345887,151417,160446,15,
178659,466316,124700,40666,15,
956548,742831,129651,105464,14,
194185,496144,83552,194027,13,
20625287,5070149,73187,129239,13,
21846574,635966,221787,96720,13,
17621715,4915053,138846,60406,18,
105923,634107,167642,58037,17,
17554063,4862386,89505,175984,14,
136770,338818,90607,45639,14,
139439,422290,65095,59366,14,
138717,424650,90900,107201,14,
135622,485229,74939,67497,13,
1146258,472645,75688,62748,13,
139621,405713,26546,117182,11,
165124,341376,41571,159306,8,
21380001,5338143,51711,90066,8,
20336834,4772496,979854,65305,7,
207832,626367,56659,51303,7,
186752,472785,38139,227242,7,
186881,456198,35698,262571,7,
196081,446080,31188,150195,7,
204571,383660,26489,96372,9,
169649,526506,27960,244497,9,
179887,621536,68636,166874,9,
20547951,5144572,1674,485514,7,
5374935,2774612,1535,315479,7,
274209,704378,1672,197217,7,
264892,743804,1486,149000,7,
272743,724788,1637,112996,7,
264439,689802,1421,156762,7,
13209536,722147,1330,114325,7,
389356,694862,1313,110550,7,
255720,644160,106289,103444,8,
4609076,542946,92643,167738,8,
252086,565179,96160,128464,8,
270756,429677,60384,94006,6,
4507507,580045,1415,412185,6,
272194,323001,66629,172534,6,
204198,288889,73251,95277,6,
192327,295543,74583,93539,6,
195771,303263,89550,88416,6,
20906421,5190345,1156,143898,5,
210350,466891,1032,132079,5,
199014,375198,1061,575366,4,
200925,379099,1298,293699,4,
198304,542394,1333,332119,4,
306578,568590,1350,338005,4,
17577343,13520709,4362972,276411,4,
20034553,4897049,1202,343025,4,
208370,563116,1403,243192,4,
20738022,17753028,1732,324912,4,
17014461,1037821,1373,288488,4,
711429,12135572,5420785,301800,4,
24047342,5528519,1593,260622,4,
512580,513063,1176,721342,4,
1139894,718124,1609,683070,4,
217719,480899,1374,386979,4,
214590,469047,1506,373747,4,
210858,487157,1211,384254,4,
207268,373791,1333,476417,5,
208488,419829,1195,347898,5,
202038,449509,1259,309820,5,
194427,343730,1216,324702,3,
5067562,334648,1220,361977,3,
217574,342299,1300,425055,3,
216765,316329,1370,359656,3,
215551,334547,1134,333993,3,
220371,335702,1276,331507,3,
211623,343768,1258,335134,3,
213433,344103,1158,349366,3,
223921,357597,1082,340217,3,
205516,346960,1204,356682,3,
209354,354097,1305,334111,3,
217204,4353106,1416,333131,3,
218223,338297,1082,306376,3,
224850,346700,1011,298609,3,
208700,361864,1198,303606,3,
210513,358506,1094,303324,3,
211848,370005,1129,297350,3,
215443,348580,1286,298608,3,
7288680,290533,1247,292741,3,
214159,262438,1094,298917,3,
210625,255249,1209,294591,3,
207468,268475,19595,272031,3,
221294,296976,1254,289349,3,
220129,282270,1140,275101,3,
214611,280011,1074,280276,3,
215332,285658,1211,288877,3,
214511,279348,1212,288582,3,
211034,267104,1161,280554,3,
217034,282008,1152,269420,3,
218841,268805,1240,266928,3,
218492,297461,1096,269980,3,
8800633,316555,1202,279780,3,
211883,301862,1355,266312,3,
210922,292313,1144,278558,3,
216370,245251,1144,287561,3,
215362,277231,1035,268940,3,
215968,269569,1045,265037,3,
210373,275419,1196,261795,3,
216561,283884,1257,257024,3,
211316,264972,985,261066,3,
12108120,272459,989,254813,3,
214312,325263,1172,254021,3,
206309,299987,936,253491,3,
205609,9208201,4435527,294543,3,
304098,343122,22841,252453,3,
214250,286755,1112,252514,3,
209298,292566,1373,254980,3,
214903,280150,1485,251031,3,
206850,316648,1965,252971,3,
300745,325162,1656,254672,3,
306380,334817,1200,252951,3,
318579,265913,1243,250673,3,
308843,249238,1224,252751,3,
311241,269123,1228,248505,3,
318419,280445,1491,247810,3,
9022760,287108,1284,251817,3,
310127,268386,1627,246736,3,
320577,289075,1081,246772,3,
329074,291135,1392,244209,3,
312816,8957095,4332885,265032,3,
318496,299871,22849,228587,3,
309692,306348,1343,242231,3,
315462,280184,1140,236086,3,
309195,278063,1111,236446,3,
13364077,4614812,1496,235869,3,
289927,301574,1271,244927,3,
311110,298143,1247,238799,3,
306778,298522,1251,232780,3,
308607,300408,1280,233865,3,
319644,297621,1251,231108,3,
285103,284821,1278,230195,3,
308196,274888,1301,229321,3,
312918,13387947,7306,260365,3,
207991,293781,1328,229416,3,
22093539,9015956,4332036,301375,3,
217201,279692,1173,239441,3,
207406,259190,1464,237816,3,
214123,267564,1134,228574,3,
209895,272353,1143,229242,3,
234584,330364,1633,228745,3,
310350,321961,1812,219058,3,
207598,117792,1141,301826,4,
299953,133719,1511,460814,4,
306247,136302,3491,281433,4,
305753,129120,1557,281356,4,
297284,127453,1551,283836,4,
453046,122056,1474,281048,4,
301837,125075,1312,281689,4,
301880,130522,1930,278856,4,
9010464,120709,1401,186170,4,
209644,116535,933,182742,4,
204387,113326,977,182709,4,
205305,243447,1079,237046,3,
220815,235954,1215,247102,3,
218616,233409,1090,260550,3,
220776,240679,1058,303432,3,
223286,241775,1093,394746,3,
13184644,259208,1067,234333,3,
217536,172540,1114,542135,2,
232496,181099,1333,601164,2,
224096,191109,892,413677,2,
230672,1448756,1214,391046,2,
222541,188211,1302,395602,2,
224335,188568,958,386594,2,
220879,196150,1359,361998,2,
222774,194447,1418,365121,2,
216199,192714,915,360508,2,
214300,191941,1370,354247,2,
218968,185785,1008,347708,2,
226825,14094021,4346371,490495,2,
4463016,262791,1320,350015,2,
225797,198552,1129,338643,2,
221813,205051,1297,520954,2,
225126,213136,1262,542045,2,
230063,208065,1236,396109,2,
229441,203826,1459,397924,2,
216275,215524,1164,382079,2,
219767,235717,1132,379294,2,
215107,204397,1156,367352,2,
220181,209705,1092,360791,2,
218058,212370,1209,360562,2,
212764,206003,1253,362206,2,
222570,215075,1098,355946,2,
225628,227918,1099,358985,2,
221888,201434,1166,357113,2,
215613,210334,1236,361452,2,
223361,208511,1143,356505,2,
224966,213225,1123,349700,2,
19479223,223463,1288,360353,2,
708112,203141,1268,352347,2,
22728469,4617960,1347,337226,2,
6420348,232948,1054,337569,2,
1023974,208282,1260,349436,2,
212001,195317,1226,351505,2,
220595,189096,1204,347348,2,
213441,207588,1284,347414,2,
7594992,224901,994,338776,2,
618243,204566,1192,342882,2,
213074,206741,1108,341611,2,
215562,206830,871,337842,2,
211629,200464,1348,342948,2,
213977,207572,1338,339217,2,
217663,198215,1279,332868,2,
10717418,208973,1212,337190,2,
214283,207841,1232,337100,2,
221597,216653,1193,332431,2,
217586,210486,1055,329004,2,
220235,200425,1052,329581,2,
352316,211062,1270,330947,2,
221631,214641,1312,329398,2,
221043,179866,1434,1579009,2,
245100,218633,1025,754286,2,
225683,235947,1156,460882,2,
222740,219945,1215,432486,2,
219820,203545,1166,426123,2,
228402,243002,1079,424735,2,
276298,217164,1194,417658,2,
228011,324321,953,416658,2,
223155,220223,1172,422850,2,
229905,248702,1110,418031,2,
224186,220705,1200,415840,2,
225220,219975,964,416557,2,
226740,222203,1228,411022,2,
228725,217719,1213,409902,2,
231015,204973,921,410746,2,
226093,211823,1101,407393,2,
12573637,213257,1231,440114,2,
14200910,204511,1175,438487,2,
224595,206310,1014,410138,2,
219748,208704,1204,415975,2,
227388,212774,1161,404239,2,
217950,198745,1276,401673,2,
225671,209176,1114,399395,2,
224209,198290,1076,397942,2,
218764,210040,1026,397140,2,
230809,226247,1107,394884,2,
222163,207794,1162,394633,2,
214315,200070,1131,394538,2,
214761,207798,1101,393466,2,
3939957,204884,1392,386969,2,
224923,185604,1080,390638,2,
216129,208350,1012,390772,2,
219598,194703,1068,386920,2,
221355,212523,1111,388947,2,
219051,204297,1134,385836,2,
220883,200033,905,382272,2,
209930,196903,1224,382753,2,
221297,202340,1151,378943,2,
211751,193241,1325,378547,2,
221542,188791,1137,379402,2,
233199,188823,1130,375549,2,
215370,196556,1747,375181,2,
224318,192636,1429,373293,2,
233165,193777,1426,372218,2,
223278,182939,1143,373844,2,
229162,188031,1062,368828,2,
227208,182237,1105,369985,2,
222784,181192,1189,367948,2,
220036,182873,1553,367539,2,
219854,171831,1140,367734,2,
232060,188517,1059,367098,2,
216374,191633,1545,365152,2,
227424,189187,1155,365742,2,
217980,181344,1132,358501,2,
226020,182862,1216,361244,2,
218105,178830,999,360912,2,
217844,176600,1100,359198,2,
225567,179116,1127,353380,2,
217666,170819,1231,354096,2,
224990,181512,1296,352617,2,
225399,185588,1387,351717,2,
214491,174632,960,350164,2,
219216,171740,1062,350596,2,
218388,180855,1031,349979,2,
218917,177125,995,348001,2,
220883,166947,1001,352802,2,
220132,177415,1446,345323,2,
215569,177196,1208,342449,2,
219927,181557,1107,342282,2,
216631,166052,1045,340662,2,
225466,178856,1130,340735,2,
223020,180718,1183,338862,2,
212879,165743,1077,337997,2,
215352,173383,981,336840,2,
219993,167419,1608,336779,2,
213279,172286,1156,337732,2,
211166,170020,1003,333151,2,
211512,175817,1487,333478,2,
213304,171204,1162,334948,2,
213812,156621,972,330679,2,
222146,171352,1003,330073,2,
218490,147647,1053,331802,2,
213209,160403,1282,327170,2,
17484896,9069040,1455,379277,2,
358942,156243,912,348337,2,
224126,161240,1131,327922,2,
217417,162736,1086,328733,2,
224830,169307,1004,327527,2,
224127,165538,1453,325886,2,
225050,160048,923,326179,2,
218606,156646,1151,324366,2,
219216,161709,1122,319181,2,
17301165,165336,1119,320445,2,
219297,155054,1363,320429,2,
224844,163886,1268,320580,2,
212041,159488,1284,315512,2,
215012,158344,1378,313773,2,
215713,145071,1161,316017,2,
219123,155847,1140,314674,2,
222449,153605,1191,315786,2,
216116,154636,1425,311894,2,
223002,157586,984,310559,2,
213049,2309228,1215,308931,2,
217014,151246,1137,310098,2,
215028,148671,1327,304878,2,
223181,155258,1347,304320,2,
215876,152534,1387,305305,2,
225539,146915,1147,308093,2,
217133,141021,1101,301220,2,
226253,143757,1373,306430,2,
22040173,8494418,1129,367974,2,
1033504,150736,1448,337703,2,
2025096,724113,1316,305089,2,
17821656,8819359,1370,339306,2,
230160,140163,1148,301150,2,
231081,150195,1079,300835,2,
229921,151685,1105,298858,2,
10075259,142671,1399,315030,2,
208961,138518,1204,298747,2,
233862,142034,1096,294965,2,
225776,143578,1339,293747,2,
226210,147580,1109,290648,2,
234555,143832,1286,293761,2,
226826,140025,1138,290253,2,
224735,140493,1221,288095,2,
223599,139251,1258,288094,2,
222855,130938,1776,286114,2,
221920,134269,1047,284397,2,
230601,132575,1357,286456,2,
215911,133597,1506,282462,2,
215757,132182,1140,283010,2,
15595765,132233,1245,308496,2,
215833,136751,1244,280762,2,
219242,138513,1188,280192,2,
215469,135302,1073,278612,2,
9764502,251626,1238,268862,2,
219961,112090,0,0,1,-,

