
fl_pl=,0
mode1:
set up=, 104857
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
300,2523,320,4224,110,
234,3439,368,5401,74,
195,3794,449,8809,48,
167,3179,238,8629,26,
166,3430,271,10234,23,
148,3576,229,10823,18,
140,3077,190,10436,13,
134,2746,174,8512,11,
139,2419,92,8406,7,
119,2678,75,10378,6,
129,2653,83,8914,6,
116,2577,93,11581,5,
126,2770,73,10921,4,
115,2760,65,11473,4,
123,3031,68,10641,4,
112,2619,79,11616,4,
117,2527,52,8821,3,
112,2253,50,7205,3,
114,2238,50,7586,3,
105,2774,65,10318,3,
114,3201,60,16523,2,
112,3805,60,16233,2,
105,3770,54,10831,2,
112,3512,57,10017,2,
112,3495,54,9694,2,
106,3405,58,9747,2,
111,3505,73,8548,2,
110,3314,70,8178,2,
112,2108,51,9309,2,
99,2045,47,6918,2,
102,1851,51,5403,2,
96,1633,44,4779,2,
98,1489,36,4515,2,
93,1532,39,4091,2,
95,2265,60,9855,2,
98,2273,56,6425,2,
106,2091,48,6168,2,
96,2151,46,5635,2,
96,2010,40,5132,2,
92,1872,50,7829,2,
97,1933,49,4888,2,
93,1615,37,4741,2,
95,1101,0,0,1,-,

mode2; nds_td j iter
10441,3471,3357,2833,4225,3077,2916,2712,2681,2611,2634,2461,2427,2314,25897,13728,25139,7039,6760,6455,6337,6170,5988,5854,5645,5582,5407,5255,5104,4968,4844,5732,4231,4085,4005,3882,3770,3718,3572,3509,3359,3228,3081,3063,2990,4027,3312,3194,3025,4586,3916,3535,3436,3321,3175,3042,2907,2889,2742,2636,2540,2393,2332,2239,2157,2054,1975,1886,1838,1722,1657,1550,1459,1373,1317,1254,1231,

mode3; num_thr=,2
33220,
