
fl_pl=,0
mode1:
set up=, 36011160
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
1365003,4339908,970109,5991704,26740,
136111,1772506,233992,3415252,18302,
96052,2422556,157487,3436701,11259,
95499,1997871,136866,3216512,7096,
85156,1670132,110402,3734238,5488,
82364,1655341,89588,4058462,4169,
78402,2032540,95030,4586444,3338,
75727,2032725,89683,4677025,2750,
74698,2046541,83564,6919006,2251,
73662,1920268,76433,4607706,1871,
74168,1878038,72499,4987855,1610,
73202,2097594,66444,5226048,1384,
80885,2221417,84834,5339174,1198,
76178,1938806,63947,5469299,1063,
75128,1918391,57800,5468280,959,
68045,1897928,52766,5685852,849,
75002,2010091,53387,5589735,763,
72088,2001235,52448,5639997,685,
74894,1970886,44991,5627617,608,
72897,2052797,46236,5628215,558,
66506,2052594,43472,6081726,508,
79585,2185696,45222,5864859,482,
71648,2142414,41091,6335685,425,
74073,2193690,46413,6147509,410,
95363,2181179,38752,7341281,367,
68253,2261583,40506,6971807,351,
65001,2365492,42295,7260859,334,
66296,2470785,40985,7045961,314,
65837,2417667,38246,7356113,304,
66364,2451736,38249,7123725,275,
72238,2747013,42733,7066646,262,
68538,2559392,38979,6508570,264,
64637,2404970,39071,7806009,222,
68965,2593709,37270,7779573,223,
66503,2720629,49210,7349375,213,
72700,2869063,35496,7694323,197,
66972,2702094,33970,7880829,195,
95215,2783023,37825,7745485,192,
67552,2722679,43381,7589030,180,
68519,2713985,33505,7161016,171,
71337,2643947,38058,7675286,169,
65896,2683442,34572,8006126,158,
67416,2620567,30056,7285180,160,
69068,2633810,32041,7308542,149,
92720,2586236,34153,6969710,151,
65212,2592552,29579,7369798,146,
65232,2869763,30138,7135810,145,
67041,2902423,31209,7709408,140,
70281,2860109,32031,7380385,131,
69985,2943865,27748,7824344,126,
70036,2930067,29512,7712938,120,
68474,2815689,29522,7181046,123,
72364,2892824,28462,7379034,119,
66872,2923001,28205,8075730,114,
66925,2888837,27358,7681779,112,
67541,2872803,25229,7599323,105,
67585,3078367,26938,8099758,104,
68986,2873492,25661,7585318,100,
68337,2854868,25729,8032672,101,
66176,2840146,24522,8906980,94,
67069,3112959,25393,8747315,91,
68879,3064703,24365,8555744,91,
69704,3080449,24121,7598024,85,
65981,3037027,25450,8299561,84,
67578,3373712,23809,8155842,84,
68369,3175432,24574,7927333,75,
66374,3250022,21729,9076417,73,
70921,3314744,24165,8405234,72,
102363,3133523,21548,8160635,76,
71091,2919109,18506,7889504,73,
65180,3228384,21972,8288252,74,
80814,3203349,21195,8357133,73,
66667,3254506,20058,9007849,75,
68951,3297902,19877,8641371,72,
67620,3188749,19089,8232266,71,
73541,3056040,17835,8223535,70,
66664,3215245,20287,8024348,71,
66973,3236115,18797,7858826,69,
64793,3136176,19101,7520078,68,
64682,3141651,19152,7642913,66,
65258,3165143,18786,7998602,62,
64360,3497581,19443,9158026,62,
68453,3416935,18861,8949098,58,
68156,3364611,19702,9823701,59,
81693,3360036,21674,8480520,62,
66285,3182966,20095,8748951,62,
63557,3307918,17364,8462388,60,
65222,3146568,15542,8131273,58,
66243,3098334,15540,7904301,59,
65066,3281279,17725,8960662,54,
64309,3379891,15432,8768722,54,
63511,3384994,17793,8481174,55,
89823,3294650,16299,8479604,51,
65193,3302708,15544,8531455,51,
67733,3437152,15930,8365818,51,
65503,3311437,21148,9511919,50,
68627,3120421,29757,8355250,52,
65754,3221781,15670,7751363,51,
65308,3168404,13822,8097844,51,
95462,3311464,23401,8112128,50,
64380,3298934,16649,8555505,51,
64273,3268138,41953,8371128,51,
68472,3291198,16588,8365541,51,
64817,3283173,14192,8178777,50,
65270,3352532,16909,8052875,50,
63303,3338417,15020,8183529,48,
64015,3257971,14208,8078399,42,
69509,3489093,15506,10301285,44,
67088,3541090,13423,8931013,43,
64394,3336809,13740,8355727,43,
62990,3173048,13758,8520895,43,
66293,3327194,13361,8760619,42,
65292,3332418,14804,8511739,42,
66590,3427425,16511,8412502,42,
64941,3581598,14500,8793520,43,
65665,3493422,13756,8586615,43,
64288,3297809,15933,8259644,43,
63579,3430584,19478,8096484,43,
64452,3333330,13627,8511926,43,
65879,3292320,20744,8333488,41,
66588,3401101,14738,9404499,39,
64799,3459937,13591,9203882,39,
66187,3542889,16598,8547599,39,
63961,3795293,15099,9609554,39,
66500,3685217,14085,9115311,39,
62724,3428264,13520,8679528,37,
63578,3333193,12554,8631998,37,
65757,3525147,13735,8949792,37,
66707,3526242,12880,8692412,37,
66134,3389280,13584,8673685,37,
64904,3544189,13559,8433890,37,
62854,3457666,13589,8235414,37,
63945,3445900,12198,8215712,37,
62462,3559495,14491,9070881,37,
63327,3610855,11851,9276561,37,
63487,3579298,13025,9474103,37,
64706,3636597,14380,9071325,36,
62764,3667100,12557,9047337,36,
65714,3583891,14160,9150270,36,
64484,3582283,12737,9313649,37,
68839,3545722,12852,9760384,38,
62497,3642011,12539,9129478,38,
64207,3759139,12361,10747564,33,
63444,3845562,12268,10306266,33,
69158,3828619,16146,9828019,35,
65081,3668333,11534,9390115,31,
60539,3758224,13688,10119007,31,
67605,3957532,14648,9879432,31,
67357,3769731,14564,10139868,32,
69667,3895220,14505,10414621,30,
68886,4128007,15575,10510025,32,
66927,3615168,12781,9266941,28,
66541,3807270,14214,10271923,30,
67646,3851226,13256,9930710,30,
67821,4069193,13398,9692740,30,
68504,3629173,14486,9135774,28,
68885,3516819,13217,8654424,28,
62271,3435219,11275,8478162,28,
63496,3240949,10863,8632996,28,
73107,3904072,13530,9371393,30,
64357,3765790,12768,9243525,30,
64039,3860409,16979,9598104,31,
66326,3786497,12981,9271910,31,
61123,3754660,11867,9719702,31,
65299,3799499,11837,10266102,31,
68329,3659606,10970,9900919,30,
64533,4245825,12833,10887838,31,
64401,3927736,12584,9915023,29,
62157,3979133,10973,10239615,29,
63617,3983840,11694,10186241,29,
62963,3953472,11384,12010110,26,
64254,4253206,11246,13402393,27,
67942,4674276,13840,11415385,27,
67402,4439047,12276,11103840,27,
63010,4386290,12467,11083575,27,
64489,4392471,10742,11779837,27,
68779,4675635,13182,12134150,27,
69476,4516316,11030,11800837,27,
63330,4545012,10675,11995420,27,
66983,4597669,12006,11783080,25,
65995,3307784,10656,8724004,25,
62074,3431209,9809,9774443,25,
63863,3414627,8584,9095398,24,
61724,3395196,9480,9069046,24,
63569,3451449,10268,10253114,24,
64272,3603969,12063,9899095,25,
62893,3581850,10433,9229161,24,
60094,3599537,9990,8979877,24,
59183,3423278,9179,8901962,24,
60635,3382983,9481,8963133,25,
62127,4740981,11851,12310921,24,
67945,4462032,10703,11687240,24,
67304,4149397,13148,11424609,24,
63456,4209552,10208,11229685,24,
66492,4159341,10658,10492517,24,
62113,4009427,10685,10723956,24,
65228,3681080,10386,9827478,22,
62859,3780187,10162,9659579,22,
63892,3941185,9931,9724049,22,
65968,3778442,10122,9460598,22,
61421,3679111,9095,9433736,22,
64228,3707058,8631,10137597,21,
63482,3770867,9317,9995542,21,
60366,3870030,8435,10720580,21,
60833,3983421,9016,11436713,21,
62313,4385548,10037,12482090,19,
78959,4360925,9362,11870346,19,
61434,4316781,8650,11340040,19,
60829,4513706,8874,11270603,19,
61377,4490969,9356,12966809,19,
62208,4642857,9356,13624481,19,
64815,5139957,10883,13068296,19,
67021,4761482,10028,12372325,19,
63087,4853900,9734,12837146,19,
62667,4812985,9737,12508223,19,
67513,4746467,9341,12495695,19,
61842,4831077,9721,12473646,19,
69806,4713745,9328,12313452,19,
66769,4440015,9123,11903249,20,
67292,4456452,9672,11783623,20,
76492,4459449,9437,11586152,20,
62307,4388555,9362,11567505,19,
63211,4533770,9645,11728279,19,
65623,4829818,10042,16970032,19,
72618,5430759,11417,15683541,19,
64735,5563622,11047,16349131,19,
64326,5508743,10454,14542379,19,
62372,5430044,9179,14531329,19,
67700,5709429,10010,14664472,19,
76633,4811394,10779,13784194,20,
63324,5341083,9937,17316745,20,
64408,5386398,10079,14492950,20,
63782,4505393,10806,12224657,22,
62215,4159758,9303,11932763,21,
67139,4381015,10521,11605015,21,
63635,4286956,9757,11578067,20,
76031,4337951,8541,11380161,20,
62429,4602979,10080,12243783,20,
66528,4648233,9942,12180577,20,
62132,4903138,9142,12136596,20,
64063,4670597,8895,12168869,20,
60917,4548739,9363,12417999,19,
66313,4787892,9257,12440207,19,
61443,4755339,9570,12562155,19,
60486,4669936,8590,12403695,19,
70237,4954953,10341,12690204,19,
65570,4785180,8269,12400668,19,
60503,4855924,10634,12661186,19,
64108,4946375,9765,12599436,19,
65633,4872111,11074,12716047,19,
70661,4802375,9409,12680417,19,
61318,4706274,10084,12414333,19,
61606,4727080,8551,12607888,19,
65873,4867851,10952,12451698,19,
62733,4926918,9836,13185758,19,
87126,6076565,9696,18538950,17,
75379,6097884,11280,17856479,17,
72696,6214379,10277,21738066,16,
74838,6705561,10757,20753992,16,
72709,6608273,10324,19633614,16,
59674,4406727,11339,11186935,18,
58634,4186331,8721,11093109,18,
63956,4353546,9158,11740816,18,
67870,4576718,8846,13239576,17,
94636,4683161,9709,13346441,17,
64060,4688338,9558,12149179,17,
64258,4624462,9402,12330627,17,
65021,4577678,8763,12137388,17,
69168,4386307,7745,11780737,17,
60298,5134755,9681,14578748,17,
60742,5345995,9491,14488011,17,
61072,5422803,9113,14123418,17,
63438,5324122,9180,14100280,17,
62009,5171250,8406,14394682,17,
63836,5514386,10228,15082930,17,
65628,5584038,9945,14532579,17,
62118,5285707,8126,14010080,17,
60704,5297625,8206,14245655,17,
64565,5321329,10364,15293962,15,
62125,5460290,9227,14738433,15,
62170,5418943,9092,14819428,15,
63228,5336359,11213,14226378,17,
61390,5126506,7423,15813275,13,
62207,5597714,7997,15690617,13,
75047,5661349,8906,14901528,13,
71401,5368691,12690,14587709,13,
61974,5331707,14217,14685069,13,
61997,5472572,7406,14421283,13,
60461,5304679,7643,14308846,13,
61432,5195161,6698,14278069,13,
91677,5196249,7219,14156337,13,
65969,5322484,6838,13976787,13,
64918,5367658,8416,14630985,13,
65052,5657077,8603,17097712,13,
66142,5906623,10318,16289523,13,
62428,6073808,7771,16442218,12,
62839,6228317,7743,16743542,12,
62444,6131785,8241,16442692,12,
64841,5989299,8200,16419022,12,
68242,6120013,8055,16650195,12,
69807,6244084,10629,17718939,14,
69265,6070610,11244,16882631,14,
69962,5708065,10100,15921759,13,
67605,5743643,9676,15789367,13,
78321,6460529,9891,17495479,13,
67366,6729826,11103,19619161,13,
70512,7054799,10892,18896725,13,
68357,6858916,11205,18223072,13,
69345,6843919,10321,18179819,13,
71278,7347102,10940,18609173,13,
69840,5096457,8719,13126627,13,
67959,6096569,9747,16508180,13,
68111,6096638,9821,16048208,13,
67870,6209899,9452,16066865,13,
67504,6036140,9829,16393216,13,
70060,6308930,14057,16491245,13,
87334,6313372,9353,16679882,12,
97082,4313075,8817,11582955,14,
61416,3967205,7412,11003522,13,
65638,4406010,8400,10913925,13,
64843,4706433,8781,12767945,13,
66482,5153816,12884,13726394,13,
62673,4952542,8357,13220651,13,
61825,5031418,8545,13074471,13,
62539,5032968,9665,13008509,13,
63968,5492670,9165,14387852,13,
61980,5489155,9903,14578470,13,
66398,5483991,9066,14568418,13,
64769,5354998,7957,14313224,13,
62994,5790227,8840,15405218,13,
68459,6251208,10246,15218024,13,
68840,5779739,9302,15454211,13,
68091,5972222,10998,17461700,12,
70346,6266302,9712,18051425,12,
68268,6367048,9148,16396976,12,
69341,6298670,10214,17309578,12,
83268,6863405,11179,17508303,12,
78369,6757627,10442,17779297,12,
74008,6673107,11110,17227854,12,
72262,7137393,9078,16454722,12,
67264,6499459,10479,16979317,12,
72885,6457415,10485,16630972,12,
67745,6528601,9450,16431131,12,
69068,6111177,9790,16003645,11,
73446,5672059,7766,15155796,11,
63254,5620194,7387,15009327,11,
66400,5909706,8958,15623381,11,
68391,6110792,8812,15518841,11,
69378,5740267,9138,14474832,11,
67654,5557836,8476,14542855,11,
93081,5575465,9020,15069790,11,
69942,5867269,9032,15291217,11,
67662,6454826,9547,17782902,13,
65620,6555662,9569,17676484,13,
87095,6614047,11347,17841771,13,
89864,6547505,10406,17442790,13,
76172,6429438,9281,20036583,10,
70248,6647051,9166,20822788,10,
71608,6900308,9090,18636169,10,
70591,6905017,9334,18455870,10,
69469,7089724,8490,18559532,10,
89463,6536900,7285,18119918,10,
77708,6328858,9995,17477055,11,
66451,6739037,9472,18965857,12,
69608,6976587,9237,18765268,12,
73035,7161970,10540,19013025,12,
71595,7251809,10786,19388277,12,
73025,7399575,10426,19303200,12,
74785,7443066,10408,19001592,12,
78201,7704778,11603,19206408,12,
73542,7188898,11275,18492646,12,
68018,6989847,10635,18287303,12,
71747,6914389,8965,17965522,12,
66152,6937681,8469,18004898,12,
68458,7017957,10075,18073656,12,
69954,7026766,9236,18158143,12,
68807,6929110,10260,18290865,12,
75016,7559395,11071,18874181,12,
97978,7428532,11124,18077543,12,
68537,6579352,7923,17075547,12,
61111,6384100,7231,18804398,10,
61664,6645917,7280,18313969,10,
64536,6827476,7978,18135779,10,
60838,6900312,6937,20943346,10,
67642,7409873,7466,23435997,10,
71114,7580779,10902,21262636,10,
66611,7337585,8644,20553635,10,
63118,7192630,7088,20188077,10,
61047,7317021,7366,20335579,10,
62260,7325157,7142,19987679,10,
60454,7245360,6760,20048188,10,
61276,7548855,8120,20873476,10,
68699,7454237,8003,20170176,10,
65748,7216902,7954,20078825,10,
61012,7196820,7230,19810470,10,
62040,7174786,7071,19778358,10,
61194,7193093,7979,23172094,11,
62086,7725693,7992,24702830,11,
64305,7742006,8113,21617731,11,
65257,8090908,8811,21184389,11,
79954,7900269,8745,20876960,11,
63889,7714520,7606,21012600,11,
62111,7719659,8572,21159214,11,
77507,7642506,7167,21033616,10,
68175,7742996,7565,20348601,10,
61491,7607556,7208,21151793,10,
79089,7943522,13206,20590874,10,
63869,7691705,8019,20367044,10,
62334,7696152,7727,20281414,10,
61261,7620022,7339,20266547,10,
62623,7513089,7161,20301410,10,
61991,7657815,7931,20122548,10,
93020,7556134,7079,21044674,10,
66115,7641956,8016,20123494,10,
68042,7486159,8552,20197759,10,
61348,7536258,7613,20231993,10,
68971,7583085,7406,20192625,10,
61260,7428720,7548,20256586,10,
68160,7416365,7256,20209898,10,
66327,7669091,8314,20721996,10,
65435,7896905,8491,20473268,10,
64171,7529580,7777,19796356,10,
61649,7429225,7655,19891602,10,
62816,7545084,7868,20081983,10,
62578,7332773,7450,19739085,10,
60850,7415457,7822,20222133,10,
70733,7607573,8444,20005560,10,
66902,7586729,8514,19924849,10,
64832,7455520,8108,19567756,10,
59981,7392247,7830,19731046,10,
61574,7266450,7215,19517478,10,
59785,7251136,7585,19470973,10,
60588,7270837,7123,19408842,10,
60363,7261188,7140,20209140,10,
66681,7676679,9341,19962059,10,
65516,6387792,8098,19676119,9,
70329,6619304,6537,19609069,9,
61715,6733393,6582,18154397,9,
61695,6771070,6625,18208607,9,
61458,6419619,7600,18935989,10,
63374,6398041,6852,17738086,9,
63386,6615505,6720,18021193,9,
79411,6526772,6713,17413329,9,
60424,6435067,8784,17357813,9,
59843,6421953,6399,17394271,9,
59864,6287043,6299,17588682,9,
63839,6559651,7207,17524668,9,
66544,6340205,6404,17333044,9,
60196,6218296,7005,17399985,9,
61988,6545860,6915,18227215,9,
66491,6645196,7581,17207923,9,
66054,6287943,6356,16976231,9,
66770,6135333,6069,17076438,9,
62152,6380107,6583,17249711,9,
65011,6187992,6531,17269378,9,
62475,6369211,6733,17436923,9,
61293,6222375,6583,17340464,9,
64622,6290542,6997,17578265,9,
93612,6527485,7627,17696079,9,
66660,6231407,7992,17500289,9,
71673,7029264,8545,17900601,9,
75720,6504177,7678,17430605,9,
62701,6634729,8640,17315201,9,
67220,6234744,6746,16953494,9,
59751,6175221,5755,16943201,9,
68300,6500245,6789,17684543,9,
65204,6479593,7542,17110993,9,
62917,6206329,6657,16814233,9,
63527,6175178,7091,16591684,9,
57774,6188423,6724,16607561,9,
57718,5982364,6140,16426374,9,
59092,6068229,6235,16261230,9,
61275,6058615,6304,16405719,9,
60413,5982141,5689,16692077,9,
65233,6422278,7683,16866947,9,
62688,6124030,8244,16621341,9,
60950,6201230,6353,16445183,9,
60993,5971098,6526,16263665,9,
58613,6120108,6391,16352409,9,
