
fl_pl=,0
mode1:
set up=, 432053
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
1664,12560,1860,26424,110,
1290,19715,2205,37237,74,
1098,20203,2304,55270,48,
1013,17904,1511,53121,26,
923,18988,1440,63703,23,
896,18806,1324,81338,18,
862,16768,1100,63994,13,
884,15051,1070,52447,11,
754,13916,667,55615,7,
737,14414,579,65856,6,
725,13406,644,55336,6,
718,14477,515,71011,5,
681,14501,491,71108,4,
712,16080,546,76566,4,
666,15796,502,71911,4,
678,13796,459,73876,4,
663,13532,357,60678,3,
643,12910,381,50195,3,
623,12878,315,53376,3,
628,14528,486,69682,3,
626,16511,500,118399,2,
650,19584,517,117214,2,
629,19057,499,85192,2,
616,18300,496,79833,2,
625,18309,475,74995,2,
640,18908,512,76982,2,
610,18448,452,70670,2,
644,18828,458,67494,2,
592,12128,357,67200,2,
603,12754,370,53994,2,
585,12167,343,46380,2,
620,10905,282,39194,2,
581,10583,280,37274,2,
587,10277,280,34666,2,
581,13421,373,68603,2,
574,13485,366,53650,2,
566,13294,343,52798,2,
546,13462,330,50185,2,
576,11906,306,44296,2,
546,11622,320,42000,2,
557,11734,312,40568,2,
537,10120,293,39009,2,
535,7531,0,0,1,-,

mode2; nds_td j iter
31026,27762,25054,23746,31146,26305,25220,24134,23245,22448,21636,21079,20308,19782,82249,74651,60955,59182,57554,56244,76554,53396,52148,50801,49418,48192,46956,45866,44517,43269,42229,40851,39620,38636,37629,36344,35283,34329,33277,32262,31286,30359,29215,28370,27359,33455,29208,27714,26690,40746,34954,32510,31285,30391,29315,28234,26567,25620,25254,24240,23385,22467,21553,20616,19543,18977,18292,17318,16699,15793,15098,14165,13647,12915,12224,11669,10932,

mode3; num_thr=,2
227439,
