
fl_pl=,0
mode1:
set up=, 5881830
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
77069,285058,74064,653204,6714,
24216,262465,46751,533143,4594,
16263,347799,35214,505373,2818,
15084,286779,23467,597521,1781,
14289,307524,19960,677493,1372,
13830,290716,16201,700193,1028,
13443,278169,14291,683819,830,
13160,271419,12326,700578,678,
12929,270153,13072,886490,579,
12854,259874,12930,727021,469,
12704,255381,9753,743316,415,
12409,245812,8577,735752,345,
11848,254069,9672,793260,303,
12265,260203,7215,822679,270,
12266,256962,7650,828783,240,
12205,255098,7749,843088,217,
12124,243481,6324,843396,180,
12127,262770,6438,847164,170,
12091,253148,6091,876136,147,
11895,266421,5688,948617,135,
12102,278772,5480,925108,132,
12418,284254,5410,943428,114,
12243,274580,5070,933038,108,
11833,281567,4896,1180596,93,
11919,283292,4927,1308851,93,
11973,305147,5649,1362596,89,
12249,311108,4904,1307086,76,
12383,310046,5119,1122939,74,
12133,381775,5224,1240824,65,
12701,343049,5039,1312817,63,
12564,372838,5021,1356380,59,
12725,351907,5227,1365780,58,
12548,363579,5426,1588453,55,
12482,388461,5297,1523243,54,
13065,374165,5767,1450385,51,
13818,395495,5384,1328265,47,
12883,413662,4923,1475216,48,
13025,393944,5356,1492206,47,
12765,412900,5373,1575589,48,
13771,427909,6078,1726575,46,
14449,459623,5873,1892221,43,
14047,427279,5065,1559745,40,
12867,440103,4669,1378537,39,
12591,350526,5290,1233173,39,
12466,359419,4510,1235869,37,
11990,434299,5300,1395322,37,
12597,490752,4842,1817473,33,
13919,562341,5263,2077466,32,
14177,501021,5175,1578077,30,
12990,461968,4117,1652683,26,
13728,440440,4348,1453660,26,
14058,420826,4436,1706893,26,
14291,423150,4369,1590961,26,
13380,450081,4174,1533848,27,
13111,478730,3937,1695797,25,
12984,462286,7842,1419967,26,
13776,560683,4549,2083989,25,
15086,597656,4743,1712537,26,
13047,576956,4812,1976366,26,
13218,570079,4543,1750943,23,
13050,565409,4245,1765931,22,
13308,543956,4190,2094564,21,
14113,595067,4841,2169143,19,
16949,634761,4791,1946441,19,
14857,619660,3966,2022620,17,
13533,529876,3987,1948527,18,
13913,493666,4182,1593758,17,
12860,465357,3552,1626369,19,
13866,499096,3463,1687495,18,
13849,480219,3752,1543610,19,
13751,552690,3904,1737639,18,
13358,543875,3977,1615350,16,
12812,486581,3188,1511111,16,
12547,451191,3802,1509049,19,
12078,546982,3393,1882968,16,
13632,544202,3300,1563790,15,
12513,499128,3709,1482804,17,
12370,479240,3344,1379544,17,
12283,385298,3023,1431447,17,
12148,432701,2993,1566016,16,
12708,561105,3708,1948387,17,
13752,585401,3507,2076734,16,
14311,712511,4486,1808231,22,
14125,680501,4050,2074871,19,
13981,740555,3978,2131110,19,
40825,650620,4131,1778024,19,
13910,600345,3780,1573691,17,
12244,499483,3128,1598322,16,
13605,488621,3671,1817818,15,
14379,575343,3620,2077917,15,
13992,714892,4026,2178991,15,
14929,691742,4037,2076937,15,
