
fl_pl=,0
mode1:
set up=, 1425705
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
18987,28461,8048,66189,1692,
5934,35117,4690,67511,1157,
5191,56996,5839,96088,709,
4909,53637,3842,124228,445,
4243,56135,3528,144402,341,
4283,52791,3140,157089,262,
3880,51424,2550,149406,202,
4039,49323,2189,144709,170,
3552,49586,2060,183544,145,
4003,48600,1767,159813,113,
3472,49671,1434,175127,89,
3826,48788,1490,159623,90,
3410,47152,1283,155708,79,
3733,46710,1108,172055,65,
3307,48780,1099,181125,59,
3700,50095,963,202925,49,
3366,52062,935,184790,47,
3700,50725,850,186829,43,
3344,48645,766,169153,37,
3523,48029,747,183757,34,
3267,45528,747,166214,35,
2556,59884,777,194050,29,
2673,52836,763,197312,25,
2722,50879,660,179544,24,
2615,52809,699,180389,26,
2729,52898,724,245147,21,
2648,55041,812,212078,20,
2708,50666,607,182535,21,
2582,54900,638,206410,19,
2687,55674,615,248380,15,
2590,60936,853,360057,15,
2655,64240,702,308642,15,
2564,50480,564,177696,15,
2597,61551,653,244865,14,
2586,67568,740,224859,13,
2599,58064,653,201177,13,
2523,56064,539,185339,13,
2617,48801,613,177177,18,
2486,60067,762,240400,17,
2614,53964,558,277714,14,
2509,48926,545,199440,14,
2561,51348,583,223975,14,
2511,58385,606,246552,14,
2577,54509,648,210664,13,
2477,57534,570,200329,13,
2560,51663,647,258520,11,
2471,46821,403,250721,8,
2504,49917,475,348182,8,
3580,51059,337,176691,7,
3517,46706,338,161604,7,
3033,51963,405,232351,7,
3372,58524,370,291695,7,
3207,58906,539,231896,7,
3370,61719,754,215886,9,
3154,61743,521,323380,9,
3393,75080,476,315550,9,
3231,73608,510,308128,7,
3363,78464,735,323502,7,
3180,76930,470,285779,7,
3352,75162,441,272810,7,
3173,74786,453,272711,7,
3330,74894,451,260721,7,
3179,73748,436,249873,7,
3307,72198,534,245566,7,
5329,91203,574,256914,8,
3280,74659,487,286832,8,
3134,77229,476,281347,8,
3279,51741,430,213315,6,
3047,67136,385,345547,6,
3255,83679,615,358734,6,
3085,80609,464,275322,6,
3266,79602,477,279009,6,
3111,78436,490,284778,6,
3231,74838,399,263033,5,
3081,73197,456,260134,5,
3284,79459,486,491247,4,
3104,96543,837,356477,4,
3201,103519,431,424954,4,
3044,104569,451,480494,4,
3189,104874,435,352586,4,
3076,103845,441,334992,4,
3219,103166,476,334772,4,
3055,101888,435,320416,4,
3189,101708,433,317345,4,
3050,101280,430,310199,4,
3174,100480,426,309955,4,
3053,112551,446,636396,4,
2369,119763,445,557731,4,
2312,120861,620,460131,4,
2353,145699,666,419962,4,
2262,118057,537,411812,4,
2371,109634,520,526640,5,
2290,120243,482,436805,5,
2324,124140,501,379694,5,
2306,97948,386,362625,3,
2319,110509,427,397692,3,
2234,112527,446,419038,3,
2260,110589,448,387291,3,
2279,109511,446,382236,3,
2325,129588,413,382568,3,
2274,108511,407,387194,3,
2337,106702,418,355593,3,
2260,105799,430,350141,3,
2286,105760,422,351690,3,
2212,105556,408,349005,3,
2291,105318,402,334934,3,
2256,104950,414,332340,3,
2308,104054,421,326642,3,
2229,103428,401,347952,3,
2293,120781,401,333100,3,
2205,105573,421,323955,3,
