
fl_pl=,0
mode1:
set up=, 3475134
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
47109,175711,26695,269173,1692,
15312,155169,17732,286533,1157,
12603,166618,16320,372288,709,
11190,168624,12383,458805,445,
10687,173544,10990,499810,341,
10421,165900,9742,492765,262,
10337,160657,8275,507435,202,
10159,153331,7012,487495,170,
9946,154046,6611,592860,145,
7495,101529,3462,367622,113,
6776,115759,2856,380236,89,
6675,92314,2666,343985,90,
6458,89447,2370,332821,79,
6287,88108,2095,365272,65,
6412,93011,2029,385963,59,
6691,96748,1968,480507,49,
7042,107669,2074,462799,47,
6860,107967,2039,439061,43,
7035,93513,1776,390732,37,
6898,91781,1662,407310,34,
6754,87968,1854,384527,35,
6334,97347,1557,443437,29,
6630,102491,2209,537789,25,
6976,107066,1624,467762,24,
7397,109423,1550,429336,26,
6829,104266,1459,545656,21,
6441,108168,1473,494026,20,
6408,99376,1404,411515,21,
6527,107165,1385,529840,19,
6916,119747,1523,611460,15,
6760,140161,1415,791481,15,
6637,129199,1772,667634,15,
6620,101062,1317,408586,15,
6735,124202,1353,576911,14,
7082,120666,1435,579346,13,
6851,127039,1387,488401,13,
6655,113855,1329,439619,13,
6530,105693,1206,408263,18,
6691,126882,1487,572831,17,
6555,114672,1246,673721,14,
6683,114037,1205,505183,14,
6858,130359,1203,520132,14,
6450,124447,1290,578567,14,
6596,119188,1239,489991,13,
6480,121495,1213,484459,13,
6443,132274,1262,639777,11,
6665,110081,1037,613657,8,
6466,105326,906,451134,8,
6297,101381,885,412296,7,
6384,102107,880,397121,7,
6275,114020,959,577892,7,
6488,160594,1043,766368,7,
6735,135335,1106,567998,7,
6482,136225,1307,502186,9,
6484,130965,1166,750023,9,
6273,155115,1428,788701,9,
6456,165687,1348,818010,7,
6356,159025,1203,774358,7,
6215,158157,1242,671173,7,
6351,158218,1173,704490,7,
6544,171283,1218,734402,7,
6849,179712,1224,638961,7,
6580,153951,1098,624326,7,
6420,155610,1163,606592,7,
6273,156453,1185,691907,8,
6558,173625,1324,788887,8,
6363,167333,1179,705861,8,
6381,125210,908,538051,6,
6208,159198,1150,862084,6,
6335,205890,2256,878441,6,
6139,176544,1113,707671,6,
6382,166795,1153,706513,6,
6234,166111,1059,720083,6,
6488,176955,1133,736576,5,
6622,183939,971,641195,5,
6636,170984,1091,1128455,4,
6239,202687,1403,901068,4,
6333,233350,1318,1125526,4,
6237,227342,1196,1081905,4,
6262,223262,1185,910762,4,
6418,216761,1111,888157,4,
6284,215588,1161,873346,4,
6166,220092,1189,871205,4,
6267,210607,1125,865580,4,
6311,209764,1090,846465,4,
6326,214405,1152,844186,4,
6310,247323,1233,1363150,4,
6180,265231,1306,1420093,4,
6375,265404,1449,1158521,4,
6225,266605,1358,1129892,4,
6290,258819,1296,1113306,4,
6186,258269,1809,1299723,5,
6416,281110,1185,1070765,5,
6200,244085,1225,1021556,5,
6121,219382,984,928288,3,
6433,242713,1090,1113856,3,
6534,256700,1097,1152884,3,
6330,245473,1192,1028401,3,
6435,248092,1048,1025118,3,
6451,246293,1100,1005784,3,
6190,236815,1071,1003453,3,
6408,237897,1213,1000502,3,
6443,242879,1128,992552,3,
6150,238740,1028,991981,3,
6259,237059,1095,984837,3,
6161,240900,1012,951898,3,
6204,234378,1024,952055,3,
6299,233849,994,938198,3,
6041,239289,993,931828,3,
6200,228423,990,931961,3,
6218,228129,1031,938591,3,
6340,233180,1042,924539,3,
6155,257487,1072,1044357,3,
6228,255847,1061,1017307,3,
6389,253560,1064,992248,3,
6242,248319,1084,982164,3,
6189,250266,1071,981065,3,
6132,246144,1052,970767,3,
6234,240826,1059,965894,3,
6245,237899,1055,969164,3,
6339,237433,1086,960996,3,
6231,235717,1026,956127,3,
6134,239015,1038,947709,3,
6270,241011,1064,943200,3,
6297,239435,1008,937687,3,
6252,235471,992,933212,3,
6199,237495,1058,935443,3,
6129,237395,1018,928245,3,
6299,238918,1038,945461,3,
6014,238139,1020,938275,3,
6053,234078,1023,926395,3,
6177,231796,1032,924431,3,
6040,228387,991,921975,3,
6288,233100,1057,916177,3,
6176,228175,1095,906019,3,
6254,227853,1010,908310,3,
6103,226396,1011,906758,3,
6278,226972,999,892491,3,
6008,224131,1015,903821,3,
6103,221660,958,898607,3,
6074,220085,1035,886225,3,
6167,223917,995,883538,3,
6075,220695,974,875342,3,
6082,221627,973,880013,3,
6158,218651,980,869590,3,
6145,229507,1015,952908,3,
6167,233435,1020,928227,3,
5937,231899,1029,914952,3,
6059,229908,989,904541,3,
6010,227894,970,893535,3,
6004,226957,986,893416,3,
6216,224549,985,886305,3,
5954,221358,980,879376,3,
6124,218129,992,896973,3,
5977,224714,969,872716,3,
6198,222402,990,864793,3,
6289,223416,962,866557,3,
6236,218706,994,862372,3,
6168,219230,968,850921,3,
6084,219284,971,849233,3,
5946,214675,947,850674,3,
5962,214799,959,838818,3,
6035,210183,979,843435,3,
6015,211327,985,838890,3,
6032,214128,944,830287,3,
6046,210831,958,824364,3,
5910,213493,960,823274,3,
6001,212056,904,819077,3,
6083,207417,891,815898,3,
5990,207579,992,810166,3,
5906,207647,943,809024,3,
5930,207551,986,804192,3,
5914,212339,956,799134,3,
6099,204771,953,793699,3,
5827,204034,932,788729,3,
5949,202134,1157,769440,4,
5884,185675,921,710201,4,
5831,158343,929,608393,4,
5767,152345,783,586795,4,
5823,148216,773,587784,4,
5814,146286,772,578357,4,
5685,146118,724,571415,4,
5736,145825,1106,566387,4,
5763,144640,795,563585,4,
5786,143105,892,553299,4,
5671,141748,757,553951,4,
6043,191294,814,700146,3,
5679,176733,815,692773,3,
5669,167437,853,665253,3,
5735,169793,834,684983,3,
5871,171720,884,714387,3,
5631,169697,894,663829,3,
5627,229312,1047,1103340,2,
5783,262563,937,1182220,2,
5895,247250,937,1097877,2,
5746,241091,1326,1057147,2,
5815,242321,968,1059384,2,
6091,245614,913,1029314,2,
5949,241786,966,1026168,2,
5676,244167,873,1016017,2,
5694,238405,892,1113245,2,
5712,246686,920,987014,2,
5782,244200,927,988626,2,
5611,284704,1050,1049411,2,
5777,232316,924,968110,2,
5833,235016,882,966163,2,
6001,274863,1114,1244750,2,
5702,268126,924,1241969,2,
5947,256739,927,1116092,2,
5854,260842,929,1076476,2,
5755,256711,948,1052550,2,
5720,261439,970,1110948,2,
5845,259014,963,1039706,2,
5783,251195,934,1038494,2,
5848,252719,946,1032530,2,
5873,251435,908,1075046,2,
5743,262152,957,1051924,2,
5969,261290,955,1062573,2,
5746,258413,951,1047716,2,
5821,252024,929,1037924,2,
5831,255076,920,1040533,2,
5807,252205,950,1032290,2,
5716,249829,901,1029817,2,
5874,251936,932,1026356,2,
5745,245077,897,1013384,2,
5603,245552,917,1008290,2,
5729,247356,932,1009138,2,
5693,246500,961,1006545,2,
5634,243741,920,1004695,2,
5706,248388,928,999389,2,
5744,241164,892,995338,2,
5682,246193,893,991671,2,
5676,243811,954,996192,2,
5555,237600,928,987380,2,
5706,243260,898,983370,2,
5785,242505,920,974854,2,
5573,242666,884,972515,2,
5665,244025,930,969908,2,
5610,239029,896,970567,2,
5812,233615,902,970922,2,
5539,235123,876,957638,2,
5533,232503,906,952066,2,
5615,232115,883,953651,2,
5553,236340,877,946081,2,
5691,393382,1127,2465610,2,
5261,401760,1007,1757516,2,
5360,302608,1081,1334742,2,
5467,288442,1027,1269143,2,
5504,287013,1018,1258590,2,
5345,286977,1011,1250893,2,
5531,288339,1039,1234940,2,
5594,286989,996,1238040,2,
5459,284586,1029,1227529,2,
5710,280779,1007,1216491,2,
5620,282033,1050,1212014,2,
5765,281933,1014,1213060,2,
5660,280101,1010,1200190,2,
5744,281585,1005,1195937,2,
5500,277649,1006,1189535,2,
5403,278169,982,1189162,2,
5692,276400,980,1182884,2,
5652,275821,1121,1177312,2,
5583,275082,970,1177482,2,
5498,274564,969,1166421,2,
5578,273771,995,1161237,2,
5495,275439,980,1159312,2,
5819,271430,993,1152018,2,
5627,270445,994,1152938,2,
5510,268231,984,1150315,2,
5764,267526,1129,1142694,2,
5660,267725,975,1146481,2,
5591,265909,1076,1134619,2,
5500,266026,985,1132665,2,
5616,265636,1019,1135250,2,
5535,267354,970,1121895,2,
5490,263712,1057,1122970,2,
5535,268210,1237,1114086,2,
5544,261752,960,1110325,2,
5439,259613,937,1114031,2,
5529,260217,947,1104574,2,
5617,259805,1018,1096809,2,
5517,258864,929,1104809,2,
5693,257485,943,1090036,2,
5643,257440,942,1088712,2,
5463,255465,931,1087113,2,
5336,253154,924,1079459,2,
5613,253576,915,1072797,2,
5525,252336,911,1080570,2,
5344,251943,944,1067784,2,
5768,250478,909,1069494,2,
5486,249413,909,1065601,2,
5592,251619,911,1055229,2,
5395,246865,890,1052381,2,
5433,246715,908,1052282,2,
5473,245729,898,1044506,2,
5297,246307,901,1039693,2,
5382,244350,915,1041032,2,
5449,244809,908,1039846,2,
5444,242772,906,1033581,2,
5422,241559,884,1034253,2,
5443,240620,920,1022811,2,
5475,239081,935,1025815,2,
5421,238753,877,1018745,2,
5379,238652,900,1009201,2,
5347,239186,921,1006863,2,
5379,237859,877,1007079,2,
5441,236738,945,999387,2,
