
fl_pl=,0
mode1:
set up=, 108123
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
685,6786,849,9790,29,
492,5553,693,10690,19,
334,5213,702,12152,12,
364,4293,497,12047,7,
273,3861,386,11869,6,
305,3988,425,12764,5,
244,2860,292,10680,3,
286,3095,225,9352,2,
228,3128,261,13170,2,
256,3474,248,14390,2,
236,1746,236,5308,2,
254,2212,248,9404,2,
198,2697,281,10670,2,
260,1720,0,0,1,-,

mode2; nds_td j iter
12727,11670,10391,19241,11072,9003,7226,6606,6021,16259,9962,9685,7996,7390,6825,6440,6120,5794,5590,5120,4764,7454,4862,4244,3811,4000,3248,

mode3; num_thr=,2
62037,
