
fl_pl=,0
mode1:
set up=, 19705963
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
212942,1387619,210233,1691694,6714,
60097,876234,119964,1475298,4594,
48171,761251,95021,1487257,2818,
44103,799236,70427,1720459,1781,
43395,784894,60571,1890054,1372,
41549,776780,53731,1927224,1028,
41457,765661,48089,1920589,830,
39622,767867,41671,1932034,678,
39511,755188,38263,2633910,579,
38876,748098,32782,2078805,469,
38262,737856,30719,2120678,415,
38557,716561,27340,2180377,345,
37844,730132,25669,2458796,303,
37247,766921,23421,2512691,270,
38327,754905,23408,2568691,240,
36552,762799,21983,2578704,217,
36737,732147,19502,2587071,180,
36842,737937,18731,2578479,170,
36422,740445,17080,2730979,147,
36124,780167,16497,2815170,135,
36884,788717,16261,2789800,132,
36218,811462,16560,2888753,114,
36316,810257,15703,2907431,108,
35935,835937,15510,3439771,93,
36028,865114,14700,3424160,93,
25916,703382,13897,2737575,89,
26338,696791,11950,2742327,76,
25997,648632,11048,2388624,74,
25478,658331,10914,2559974,65,
25396,687264,10220,2594090,63,
25680,686534,10338,2498571,59,
27181,747990,9727,2689534,58,
27281,808488,10619,3038672,55,
25278,801494,9847,2957618,54,
25971,737765,9157,2470183,51,
25469,762851,9339,2529760,47,
25460,793267,9463,2793272,48,
24895,774022,9715,2846281,47,
25151,827407,10184,3029122,48,
27090,885981,9228,3198571,46,
25181,827251,8868,3560951,43,
27379,872609,9967,2919392,40,
25505,814204,9100,2568951,39,
25119,779836,9464,2287120,39,
25411,754689,9108,2375630,37,
25011,866460,9406,2786919,37,
25725,1000348,8449,3484266,33,
25317,989952,8711,3857411,32,
26127,954535,8191,3119409,30,
25026,932193,7449,3037977,26,
25583,851850,6742,2684277,26,
25377,804265,7153,2919133,26,
25269,835172,7467,3198604,26,
25329,920783,8005,2987208,27,
25544,863339,6885,3173179,25,
25471,860860,6289,2654110,26,
25112,1033809,8827,3856769,25,
25839,1149381,9720,3327586,26,
26863,1146931,8877,3765148,26,
25503,1132472,8409,3405167,23,
26035,1041440,7420,3323418,22,
24810,921783,7538,3866039,21,
25966,1053681,7364,4031478,19,
26266,993817,6011,3343390,19,
25870,1014101,5567,3706431,17,
26272,980814,6662,3726477,18,
27000,1004855,6704,3193160,17,
25661,963336,5777,2944590,19,
24875,889654,5741,3059676,18,
24692,878746,5779,2899431,19,
25376,1046560,6690,3322418,18,
25746,974465,6138,3308701,16,
25487,945610,6708,2838037,16,
25157,992501,6994,3096754,19,
25079,1090081,6163,3476985,16,
25922,1089840,6282,3189130,15,
29477,1120662,7178,2810587,17,
24800,886997,6639,2591268,17,
24819,783324,4976,2454501,17,
24943,879172,4776,3202065,16,
25443,1150040,7521,3760829,17,
28233,1311624,6004,4110074,16,
26288,1356829,8933,3639611,22,
26161,1250123,7291,3957144,19,
25722,1391408,7059,4118561,19,
25506,1201436,6546,3416796,19,
25474,992016,6417,3007166,17,
24734,838699,5545,2732179,16,
24739,913762,6133,3223563,15,
24895,1022959,5708,3732344,15,
25873,1310901,7077,4001758,15,
26144,1255980,6661,3714192,15,
26752,1191317,6439,3832456,15,
26287,1163995,5955,3834494,15,
26278,1209655,6156,3632325,14,
26511,1156903,5627,3453273,14,
25656,1050622,6104,3347484,14,
24581,1009423,5417,3277171,14,
26301,1264592,8104,5848532,14,
27530,1423325,7554,3970244,14,
26843,1438705,6288,5942973,12,
26066,1495560,5822,5520022,12,
28125,1444632,6634,4659503,12,
26440,1474838,6713,4981647,12,
27920,1469244,6880,5184734,12,
27451,1408732,7528,4044895,13,
27589,1549694,7541,4729695,13,
25314,1415429,7681,4592587,13,
26269,1338957,6881,4463173,13,
26878,1297524,6093,4397787,13,
27293,1269993,6172,4324866,13,
27477,1250832,6555,4401117,13,
28043,1207897,7865,4009647,13,
27692,1172746,6418,3895859,13,
26006,1075535,6473,3660500,13,
25329,1245387,7414,3660356,13,
26001,1132928,4656,3391549,12,
26034,1085219,6511,3216373,13,
25637,956799,5632,3031267,12,
24151,1577371,6703,4835775,11,
27483,1627117,5195,4645100,11,
25599,1457249,7473,4439716,11,
26694,1325341,6458,4255007,11,
25658,1321294,5362,4326881,11,
29345,1336453,5438,4250329,11,
26150,1386118,6121,4724182,11,
30381,1441499,7524,4675898,11,
27415,1440203,7629,4608200,11,
30319,1329723,6457,4494701,11,
26129,1343406,7106,4476990,11,
40259,1422935,6264,4740271,11,
26602,1383281,6627,4397245,11,
27085,1238883,5590,4441572,11,
25197,1307741,6465,3838114,10,
27432,1236763,4936,3921252,10,
25422,1152134,5179,3913957,10,
26357,1121596,5555,3748370,10,
26191,1345684,6492,3905757,12,
26449,1303436,4912,4159111,11,
26524,1568940,5117,6961829,10,
28548,1843133,5448,6614513,9,
29705,1832432,5290,6148108,9,
29275,1756065,6550,5664292,9,
27692,1554932,7111,5605784,10,
28169,1646386,5211,5724031,10,
27178,1639952,6557,5193500,10,
27791,1511786,6599,4791521,10,
26615,2116947,6951,8550213,8,
32327,2393065,6594,8226784,8,
31877,2363443,6053,8132192,8,
31492,1991971,6170,6212003,9,
28699,2460424,7177,8341154,7,
29563,2370970,5721,7536473,7,
29402,2300605,6137,7427141,7,
30448,2225328,6761,7240316,7,
29737,2181560,6733,7204262,7,
28949,2154365,6946,7207026,7,
29238,2191830,5843,7131624,7,
30586,2077450,6538,7054414,7,
27699,2049120,6831,6992315,7,
29229,2048680,6666,6949122,7,
28728,2028363,5498,6882459,7,
29702,1534515,5932,4317052,8,
25873,1599419,5416,4721897,7,
24067,1452757,5032,4656156,7,
23473,1305997,5084,4182374,7,
24906,1220825,4520,4135999,7,
25517,1192998,4684,4067762,7,
25351,1175748,4719,3952468,7,
25327,1155893,4247,3899581,7,
25355,1139079,4411,3886229,7,
24927,1128125,4680,3835554,7,
24914,1130712,3620,3881482,7,
24602,1120644,4243,3815304,7,
25714,1284275,4466,3952563,6,
25069,1241382,4109,3877468,6,
24613,1148188,3648,3774598,6,
24274,1136947,3969,3718016,6,
25402,1109655,3339,3681178,6,
25137,1106017,4443,3644485,6,
25632,1103335,3148,3627309,6,
25130,1108955,4636,3627269,6,
25684,1097694,3351,3605479,6,
24668,1093369,3603,3606727,6,
26630,1092943,4139,3611199,6,
25236,1092455,3311,3547537,6,
26242,1140449,4241,3879059,6,
25094,1364077,4626,4056573,7,
25408,1343660,4963,4310755,7,
25035,1325985,5424,4228470,7,
25711,1326067,4218,4429110,7,
25697,1322575,5352,4398182,7,
26813,1301717,5077,4302465,7,
25105,1276393,5124,4256423,7,
25819,1258368,4118,4213235,7,
25619,1253335,4860,4197451,7,
25436,1250170,4113,4174845,7,
25727,1244492,3644,4145608,7,
25291,1235998,4452,4082157,7,
25598,1450598,5050,4941634,6,
27259,1500455,4644,4808961,6,
26181,1449538,3703,4670702,6,
26455,1357241,4494,4569204,5,
25768,1383173,4565,4687372,5,
26202,1349176,3988,4503596,5,
25661,1323065,3945,4455512,5,
26525,1294266,4038,4407420,5,
25701,1293879,4322,4336145,5,
26227,1306753,3850,4603985,5,
25840,1332300,4794,4690872,5,
25994,1327582,4390,4469602,5,
27070,1416894,5186,4313336,6,
27056,1471053,4748,4476654,6,
26635,1406682,4228,4208203,6,
25574,1236706,3883,4036127,6,
25217,1270312,4535,4014094,6,
25632,1208076,2976,3847403,6,
24592,1091741,3384,3483758,6,
24698,1009049,3099,3421952,6,
24734,980325,3090,3245665,6,
24903,1038677,3960,3244522,6,
24324,965348,3711,3084335,6,
25500,1060677,3203,3002438,6,
24930,943072,2716,3000050,6,
24457,937121,2692,2967248,6,
24541,937494,3385,2968960,6,
24219,940606,3969,2944585,6,
