
fl_pl=,0
mode1:
set up=, 103628
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
747,5795,717,9264,29,
515,5448,656,11665,19,
379,5283,645,13449,12,
359,4215,470,12928,7,
283,4130,351,13133,6,
300,3941,406,14664,5,
299,3156,292,11610,3,
300,2656,256,11262,2,
265,2941,207,14658,2,
283,3516,210,16543,2,
280,1874,210,6336,2,
285,2177,280,10844,2,
187,2987,283,12110,2,
256,1851,0,0,1,-,

mode2; nds_td j iter
7161,10484,7668,15585,9633,8178,7465,6886,6380,14524,9706,9088,8164,7601,7080,6546,6090,5740,5294,4960,4451,7600,4754,4264,3727,4050,3220,

mode3; num_thr=,2
49453,
