
fl_pl=,0
mode1:
set up=, 86588
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
592,4133,822,6357,29,
300,3972,644,7957,19,
184,4191,650,10204,12,
220,3308,410,10455,7,
130,3288,320,9703,6,
215,3361,356,10792,5,
120,2871,221,8845,3,
152,2553,181,8242,2,
148,2845,183,10199,2,
159,3057,162,11698,2,
143,1663,140,4326,2,
114,1874,201,6963,2,
142,2577,208,7927,2,
102,1559,0,0,1,-,

mode2; nds_td j iter
5414,8284,4528,9844,5470,4484,3990,3582,3352,8634,5772,4976,4418,4168,3952,3649,3574,3262,3178,2873,2738,5139,3088,2688,2667,2898,2330,

mode3; num_thr=,2
61430,
