
fl_pl=,1
mode1:
set up=, 20062474
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
34558067,1209160296,11517815,11094351,110,
22883651,824559197,507190,25995,74,
23703274,529202769,5519969,155887,48,
21244639,286519260,5930960,22075,26,
28937171,214255376,5555181,22949,23,
28689728,143479991,5656605,18005,18,
41258963,96694164,266878,31190,13,
49047467,63750226,5567129,16878,11,
39902718,21284933,5294399,17806,7,
40181131,31894571,10741361,63653,6,
43992762,81179,6471740,62344,6,
27459270,5685035,4350066,24703,5,
48121204,11768028,511896,45056,4,
54946714,7996372,23878,44825,4,
48206046,11641139,1276565,36888,4,
53852547,41676848,5454470,51541,4,
48820965,11716077,2375,23338,3,
46844514,11539012,1900,19149,3,
49801218,11908073,1413,21991,3,
50583247,6476712,3378,62121,3,
45494387,12811117,4288,187267,2,
34628657,7962890,4282,185303,2,
31485442,4629106,4722,47375,2,
60563753,7476821,2831,46010,2,
55681004,10386765,3773,44688,2,
58890403,9593945,4152,60153,2,
54522171,2653341,2482,57327,2,
31959158,3329799,5034,78866,2,
54970048,5363089,3523,42684,2,
47525515,10693189,2750,72852,2,
52625405,5761422,3623,44200,2,
51457019,5129423,2894,36335,2,
47716728,9373014,2051,26393,2,
63201969,790347,4644,44900,2,
53877811,223907,1130,34477,2,
45860019,5732204,2640,53563,2,
38478280,5687156,1476,49605,2,
33635054,460918,1529,38934,2,
28111288,6664868,10385,51224,2,
38767268,5288250,4123,46271,2,
49149871,6364063,4542,70154,2,
29852777,5439630,5157,174008,2,
27102410,5371444,0,0,1,-,

mode2; nds_td j iter
13207312,10241393,10208700,1096370,125403,11878,13507,11515,12771,13469,23389,20050,11505,11295,11667082,85023,132347,22895,23604,26705,23011,26499,22376,24145,21143,25372,22591,21516,19810,23563,19404,21649,18753,20908,19637,18747,16948,15509,19553,15849,16242,16701,16080,16918,25083,2014952,14650,14379,12494,239643,15899,25668,15116,15080,14312,16353,17492,25180,15950,13556,23800,18040,23702,15979,18695,13653,18963,13127,19209,15458,16453,15962,14821,19736,13577,14071,15331,

mode3; num_thr=,2
131245,
