
fl_pl=,1
mode1:
set up=, 7423229
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
17418,873821,5911,10909,430,
4467,801561,2614,9074,291,
4253,516929,2261,7637,180,
4329,238026,2171,6658,115,
4390,162776,2154,6624,86,
4651,108139,2392,7437,64,
4654,93932,2227,8275,49,
4675,966397,2390,9536,44,
4315,3860335,3261,22696,34,
6894,4608610,3093,20504,31,
5110,12417950,12379,94190,25,
94227,1360092,10390,146113,22,
119557,676265,6754378,64102,17,
4796639,443431,217717,57801,15,
234298,1597652,2663,42663,13,
25673401,1310400,87407,50468,12,
23044060,5767075,38222,25335,9,
10477401,1024720,126617,29219,10,
171513,278410,49714,19918,10,
169684,199274,38292,22610,9,
175493,302460,15001,20257,8,
186315,196217,16113,23328,8,
183034,69481,143264,24336,7,
191003,41780,181780,19912,7,
277975,236346,63028,15501,7,
282620,228715,62988,19156,7,
278339,238100,19832,29570,6,
285122,219531,1230,34132,7,
279341,210141,21434,16262,6,
276212,112665,77441,14268,6,
287814,308070,53016,57401,5,
293280,294956,2036,198843,4,
300839,359592,1051,33492,4,
305978,328527,1092,28735,4,
6452584,304740,790,101406,4,
204198,274726,1154,112996,4,
200204,266853,69497,48202,4,
194601,248878,916,47829,4,
203592,252789,891,47260,4,
702906,276382,1467,51198,3,
199590,254289,888,222170,3,
211828,240949,956,144626,3,
217299,269429,937,46990,3,
22493197,4731583,1326,57431,3,
19824416,590693,1038,51274,3,
242332,272236,1010,50274,3,
189142,275268,1001,47994,3,
236909,280583,888,46320,3,
224356,265949,893,45080,3,
218314,22071,1033,25079,3,
310006,192836,911,49323,3,
204424,203865,854,50389,3,
205032,186259,834,45842,3,
202595,199081,869,26371,3,
207761,195049,871,30311,3,
204616,188633,817,26157,3,
24287894,4831213,974,24162,3,
785001,24852,968,33778,2,
439238,23343,769,28138,2,
317601,24140,800,20297,2,
323152,24532,1274,19537,2,
318886,24937,1275,23814,2,
307898,22628,675,22523,2,
324654,24550,812,18962,2,
311739,208813,1078,82470,2,
254418,225321,1179,177339,2,
218597,227628,998,84324,2,
245166,208337,1022,80241,2,
18849871,4634783,893,67778,2,
17948530,1071419,1145,84755,2,
769586,236374,1218,78851,2,
249866,238027,1411,79462,2,
221480,222799,930,76333,2,
224383,220858,1050,62718,2,
17426617,4670165,1566,76152,2,
310258,226772,1181,60092,2,
393485,264823,1159,74373,2,
343693,219440,1116,72579,2,
264940,197463,1003,73438,2,
241273,206627,1142,57516,2,
266933,245784,1811,59194,2,
321226,244391,1595,59073,2,
346705,251094,1196,59838,2,
363557,246330,1121,58292,2,
352728,284089,1176,58229,2,
297280,207172,1025,56228,2,
348106,230684,1233,56611,2,
379655,223944,1205,53199,2,
370333,236055,984,52394,2,
361889,242407,1184,53215,2,
360656,267532,1356,53565,2,
353899,276668,1345,52466,2,
340878,261014,1221,52707,2,
372161,270875,2386,52578,2,
359094,256426,1258,51591,2,
349044,250774,1213,51959,2,
343850,263718,1313,56449,2,
357348,247471,1245,49897,2,
341319,228995,1094,55100,2,
346317,230706,1278,49853,2,
17866710,215872,1070,48755,2,
240802,216960,990,48099,2,
226620,212069,825,47729,2,
238278,241261,997,46534,2,
233844,213239,991,46417,2,
239736,30984,0,0,1,-,

mode2; nds_td j iter
283305,50732,172248,26508,14381,23911,7767,21483,5159,4998,6704,5171,10845,4785,8324,4523,13262,4773,6379,4390,4572,4558,4453,4244,4324,4314,4861,4529,4229,4333,4102,4195,4481,4376,4323,4315,4474,4139,4393,4133,4204,4031,4145,3838,3968,4121,4384,4052,3876,4062,4132,3795,3790,3949,3725,3956,3601,3974,3842,3658,3628,7780,6410,4544,4500,4280,4397,4387,4202,4284,4379,4299,4276,4279,4400,4351,4190,4275,4343,4070,4058,4082,3836,3926,3817,3773,3768,3657,3784,3678,3741,3696,3754,3671,3625,3766,3694,3614,3649,3553,3546,3709,3625,3617,3688,3397,3370,3327,3389,45632,9083,44634,5374,5265,5330,5341,5199,5302,5182,5186,5055,5024,5150,4997,5193,5306,5049,5243,4950,4726,4893,34483,5033,4744,4569,4809,4775,4910,4557,4657,4649,4766,4556,4641,4261,4546,4449,4422,4445,4533,4631,4272,4355,4322,4321,4290,4210,4153,4206,4228,4110,4033,4190,4258,4158,4125,4044,4165,3935,3932,4114,4079,3889,4173,4174,3974,4077,3842,3880,3942,3881,4052,3719,4000,3859,3565,3681,3801,3508,3750,3648,3624,3725,3663,3702,3545,3626,3479,3337,3644,3367,3536,3430,3433,3599,3388,3582,3493,3342,3595,3114,3493,3373,3095,3278,3246,3199,3139,3163,3177,3298,3159,3061,3243,3175,3088,3006,3131,3157,3207,3185,3135,3219,3030,3066,3026,3281,3001,3088,2766,3047,3033,3077,2819,3059,2819,2901,2894,2898,2842,2708,2697,3099,2784,2837,2814,3107,2649,2864,2871,2775,2978,2652,2905,2832,2704,2833,2779,3026,2967,2822,2718,2679,2551,2664,2652,2961,2674,2586,2803,2536,2469,2597,2573,2764,2847,2899,2943,2640,2603,2690,2599,2615,2484,

mode3; num_thr=,2
143185,
