
fl_pl=,1
mode1:
set up=, 1212801
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
353345,157323,8072,8675,29,
10802,109640,10801,7684,19,
370378,69540,5237,13186,12,
3036972,87473,8107,21505,7,
2359908,14084,1433,2020,6,
1248144,9573,1250,3806,5,
1065786,4773,1257,5307,3,
672446,2193,1127,4123,2,
828357,2507,1164,4303,2,
872758,2855,795,5194,2,
604004,3466,865,2936,2,
584123,3455,994,3130,2,
552245,3362,1016,5052,2,
583892,1142,0,0,1,-,

mode2; nds_td j iter
78624,139149,4263,106119,5973,3646,2485,2334,2226,98789,5514,2757,2468,2439,3102,3183,2853,2884,2660,2443,1815,46851,2526,1960,1933,1796,1954,

mode3; num_thr=,2
18091,
