
fl_pl=,1
mode1:
set up=, 1071868
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
34940610,311536799,1986805,22090,29,
29625716,197176082,5439995,11313,19,
31642819,127212370,5434432,9311,12,
29532565,74064048,5432246,10126,7,
29283016,63587667,5312469,18397,6,
26450348,31757483,5496064,9689,5,
33772476,5363578,5467536,10148,3,
43613997,9995,75173,48223,2,
31411489,10074,5616058,16459,2,
39270500,191744,13475,16620,2,
32640774,10753442,5457959,8780,2,
31430272,10664720,5478251,10707,2,
37113776,5566471,5285954,117242,2,
46294970,8750,0,0,1,-,

mode2; nds_td j iter
10670513,2395290,14072,246614,14770,15564,6548,8590,9444,4563795,16930,31761,8897,9071,8500,9675,9105,8487,10509,12475,9779,118791,8416,15651,9361,11611,8998,

mode3; num_thr=,2
92685,
