
fl_pl=,0
mode1:
set up=, 65355539
mode1_loop
nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node
832648,8898518,1337404,11628914,26740,
286667,7765662,932186,12322393,18302,
210437,5775075,581596,10407272,11259,
181905,4644292,369952,8991058,7096,
165683,4076452,302687,8696484,5488,
152221,3852728,274739,8676428,4169,
162249,3842179,244205,8771385,3338,
152969,3743110,209272,8657622,2750,
148544,3472873,195620,13332787,2251,
166911,3806958,190660,9059570,1871,
154003,3678677,161205,9153662,1610,
140359,3674419,151645,9618677,1384,
147110,3563513,141106,10600389,1198,
134991,3756801,134930,11338358,1063,
160595,3953121,126655,11893030,959,
151665,4544258,133461,13033955,849,
172367,4802907,134212,13419082,763,
166207,5040894,143556,13970360,685,
215793,5270088,133847,13601900,608,
156870,5093384,120006,13459251,558,
167142,5303831,120085,14600654,508,
164183,5140415,100778,13313465,482,
164060,5030432,95590,13715053,425,
140299,4837562,90205,13095587,410,
153433,5007771,91472,15051474,367,
159803,5275774,95736,15140921,351,
159150,5359949,86216,15661435,334,
154156,5483192,88055,15147437,314,
168793,5805486,93482,16116264,304,
151950,5659706,86625,15698763,275,
163855,5859040,82552,15389297,262,
164289,5741006,83984,14769769,264,
157953,5705937,72900,17282744,222,
160430,6071691,81419,17169131,223,
183403,6292691,79311,17145123,213,
153050,6027203,73342,16738887,197,
171669,6437799,77195,17735677,195,
164191,6460018,73676,16879887,192,
161981,6406285,74529,16869461,180,
159608,6550836,71333,16752175,171,
167316,6348393,64993,17027484,169,
153473,6308751,66418,17568733,158,
174417,6450137,70326,16626363,160,
159208,6526498,66705,17504954,149,
185899,7079671,77793,17703271,151,
175440,7341136,76941,18598992,146,
167341,6982269,64689,17166749,145,
147458,6884663,66382,17351875,140,
156972,6794347,60592,17033534,131,
151334,6875525,58025,18233727,126,
161275,6713985,55214,17428435,120,
150855,6465740,58618,16529565,123,
156354,6855764,64567,17322468,119,
149378,6923771,53376,19061650,114,
167001,7060916,56739,18180048,112,
150354,6979551,51665,18040203,105,
156180,7296498,59309,18961697,104,
152021,6853226,51412,17525407,100,
157820,6901516,50474,18561380,101,
153192,6985136,52354,20577704,94,
171770,7418753,48017,21237763,91,
170696,7836026,59929,21590798,91,
180937,7690932,53693,19451573,85,
162609,7750906,51051,21194198,84,
179354,7938799,53450,19322957,84,
147221,7492105,50486,18771423,75,
154774,7310546,47210,20842813,73,
169681,7912668,49896,20656949,72,
170558,7337710,46856,19329985,76,
150207,6821952,41486,18851476,73,
158010,7494878,47361,21158316,74,
171093,7899825,48489,20774582,73,
181002,8013181,45767,21417746,75,
177329,8407430,49585,22652651,72,
196062,7870659,46920,21328988,71,
207291,8123672,51497,21227793,70,
164948,8020762,45341,20271287,71,
162048,7960139,44294,19694927,69,
158604,10466941,43113,18926205,68,
168123,7543661,42315,19064743,66,
163307,7605210,40229,20192293,62,
175881,8292369,42463,21759953,62,
168127,7984194,39217,22011035,58,
175356,8221187,41365,23486705,59,
179920,7845301,43606,21159882,62,
199660,8255906,43071,24766724,62,
207918,8548284,41243,22805353,60,
163747,7980894,37753,21499834,58,
174510,7891390,40602,19819158,59,
166767,7877764,33551,22785814,54,
199558,8787506,44623,22449614,54,
185028,8411605,40115,21310653,55,
166159,8118113,39692,21502767,51,
169871,8323092,40516,21801857,51,
197676,8517505,42885,21155493,51,
166792,8025987,37304,22853524,50,
169532,7583708,38254,20618663,52,
163141,7396104,34107,19602327,51,
164652,7347547,35540,19317005,51,
160175,7479191,39192,19827516,50,
159963,7601926,34378,21158177,51,
167552,7596884,34025,20444303,51,
158786,7557638,32530,20401017,51,
161981,7725898,34387,20732635,50,
176869,7662081,34627,20227360,50,
160014,7701631,36572,21024357,48,
176978,7612568,30391,20848786,42,
155550,7991539,36560,25167134,44,
184526,8293481,31943,22645657,43,
158700,7767282,34166,21456734,43,
176618,7567344,30705,25299746,43,
166487,7854606,38011,21632864,42,
168645,7885975,30916,21308344,42,
162634,7756174,34079,21125618,42,
176747,7881356,37089,21671665,43,
177344,8048733,34121,21386721,43,
173827,7970733,35185,20910311,43,
165186,7853909,36447,20933121,43,
167435,7708855,32776,20478483,43,
157016,7556149,34007,20342006,41,
168999,8025310,30845,23200734,39,
160104,8037856,33383,23190969,39,
183928,8107736,34555,21656841,39,
154776,8260905,32953,23789358,39,
179049,8277338,29860,23274058,39,
165578,7904925,32127,22718061,37,
182726,7986296,30521,22060107,37,
156351,7936555,31267,21850410,37,
177071,8009782,32648,21053951,37,
154596,7870486,29416,21090800,37,
176782,7925251,29131,20798610,37,
157394,7686271,29475,20605215,37,
167671,7730069,31060,20609657,37,
160227,8171537,28803,22827440,37,
174397,8363353,32653,23750035,37,
164796,8407844,31851,23761597,37,
180951,8492318,34013,23087436,36,
154925,8313305,31418,23082700,36,
180978,8523362,31678,23164844,36,
171604,8433757,32568,24316424,37,
195578,8784830,33066,24742261,38,
182957,8569090,32632,23464856,38,
162444,12779192,27947,26916273,33,
175907,8627482,31403,25134341,33,
181269,8510908,33204,24426977,35,
161774,8069744,26229,23742844,31,
179898,8535850,27561,24547511,31,
161174,8484028,28011,24186084,31,
172770,8269166,26980,24472852,32,
171055,8532339,26984,24951412,30,
180221,8890751,29170,25386185,32,
173644,7807241,32607,22479996,28,
162519,8345184,28049,24837076,30,
172210,8448350,26437,24029798,30,
173821,8305624,26422,23499925,30,
162664,7711270,26102,21864658,28,
173371,7673769,27607,21417052,28,
156301,7609283,23860,21129438,28,
174485,7543132,24727,21016976,28,
164359,8486989,28114,23638704,30,
181414,8529884,29087,22972445,30,
157705,8655585,33384,24148230,31,
174944,8602109,30115,24346269,31,
161659,8688112,31299,24718503,31,
169618,8695182,28145,25270763,31,
170671,8481786,29008,24449760,30,
161338,9446511,34307,27459516,31,
175839,8863258,31223,25217976,29,
171827,8941552,27956,25835346,29,
171725,9021133,25474,26065065,29,
171029,9042951,23698,30142583,26,
176353,9967476,28796,32771887,27,
192260,10172009,29216,28689021,27,
176314,10025495,28281,28512168,27,
188014,10163351,33318,34192055,27,
177757,10276426,31633,30261653,27,
176162,10439154,29115,30170079,27,
179581,10428542,25319,30539959,27,
185179,10384829,26918,30403495,27,
181745,10484690,29684,29995923,25,
178705,7677115,21403,22864464,25,
162838,8126250,24693,27194307,25,
193250,8893051,26365,26465599,24,
182565,8879260,24994,25558128,24,
202950,8885266,26881,27998702,24,
185787,8879509,28496,27479642,25,
198942,8972634,21930,26256649,24,
196312,8797702,21578,25994748,24,
189736,8840593,22953,25850392,24,
182323,8721335,23438,25497219,25,
191409,10677488,27766,34379934,24,
194045,11046209,36591,33118865,24,
198354,9874238,26244,31896581,24,
188138,10206038,27247,31957716,24,
197702,10117961,25595,30222515,24,
184565,17236907,60322,43307447,24,
374571,13024105,37962,39886728,22,
334264,13215796,34368,33727239,22,
300514,11027854,29931,27783760,22,
299700,10927366,31003,27677321,22,
315647,11207720,30043,27625205,22,
277530,11072455,28323,80798346,21,
337156,18908333,30211,38393041,21,
322874,19214602,51202,46445860,21,
334983,11011347,29812,38274495,21,
324310,27433960,40234,52013895,19,
338275,12306574,28064,36947036,19,
320739,11983299,26715,35537185,19,
331098,12086596,28765,34753293,19,
324528,14453588,31267,45544957,19,
330565,13065355,31182,41869251,19,
319328,13098338,27462,38203308,19,
323656,12965038,28739,37369820,19,
322329,12923204,29889,36826628,19,
329824,12920166,28514,36542083,19,
306031,12746829,26462,36321684,19,
314074,12773822,27119,36026170,19,
307209,12606343,25665,35927168,19,
311188,15911341,48348,38318737,20,
314567,12039105,26991,39786784,20,
341556,12438549,26318,35761503,20,
294942,12354713,29555,34600635,19,
275595,11671888,28972,33287553,19,
275972,13975343,28233,48853722,19,
327876,16084910,29928,48176207,19,
321658,15132557,31163,47173191,19,
323611,15265321,31256,41512125,19,
330357,15352024,30374,41681509,19,
332314,15351102,27680,41498963,19,
324368,13376160,35194,42328528,20,
328723,14723770,31131,50150473,20,
323500,14709858,26763,40991886,20,
332433,17713741,28843,39991798,22,
325077,11632398,25796,33463251,21,
