1301,1611,2102,1973,1900,2094,1862,1640,2086,2442,828,1434,1574,0,0,1
3664,4615,5769,5614,5226,5898,5065,4659,5807,6555,2249,4146,4437,0,0,1
1557,1752,2096,2049,1881,2188,1972,1698,5754,2499,876,1628,1827,0,0,1
4049,4372,5321,5160,5080,5715,4685,4732,5390,6427,2492,4163,4677,0,0,1
6306,8148,9799,9906,9483,10708,9431,8649,10990,12465,4248,7795,8529,0,0,1
6483,7460,8929,8997,8910,9619,7990,6953,9379,10651,3829,7306,8376,0,0,1
2865,3007,3609,3548,3498,3984,3133,2899,3895,4456,1626,2680,3394,0,0,1
2994,3504,3710,3772,3644,4031,3488,3039,4295,4844,1781,2934,3564,0,0,1
3133,3709,4359,4479,4384,4833,4142,3804,4695,5393,2017,3451,4125,0,0,1
1299,1650,2066,2025,1973,2146,1763,1651,2057,2372,852,1518,1691,0,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3365.1,3982.8,4776,4752.3,4597.9,5121.6,4353.1,3972.4,5434.8,5810.4,2079.8,3705.5,4219.4,,,
1860.92697629733,2292.2872032584,2750.95785338691,2797.68499735843,2724.3981374078,3010.77307163607,2592.60720125514,2353.64116022624,2857.75388878904,3427.44427623071,1191.73634295137,2262.33567850181,2502.02128066267,,,
