16085380,4468332,3206,2614,2556,3087,8431,2840,3505,4122,1303,1892,2014,0,0,1
12156279,4525264,7199,4003,4210,3720,2874,3071,3765,4186,1393,2276,2279,0,0,1
568065,12023,6418,5990,7029,7913,6789,7684,8821,10001,8863,5014,6487,0,0,1
1141946,31173,22637,12663,15141,13894,14654,13236,16468,14852,4470,6936,7077,0,0,1
838190,16232,28269,8840,9783,9902,8051,12472,16731,13222,4350,11659,5982,0,0,1
6437627,4932120,13655,2484,2862,2634,2131,2534,2926,3982,1211,1740,1828,0,0,1
278559,5720,3145,3122,3020,3673,3356,4393,3253,3459,1164,1807,1792,0,0,1
820501,69671,125830,17391,20390,10512,8406,16039,12509,13528,4077,6850,6733,0,0,1
309686,5098,2562,2451,3055,3157,2217,2741,3553,3523,1084,1922,1918,0,0,1
9433933,4484238,3483,3380,2493,3103,2653,2748,3427,4012,1223,1825,2345,0,0,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4807016.6,1854987.1,21640.4,6293.8,7053.9,6159.5,5956.2,6775.8,7495.8,7488.7,2913.8,4192.1,3845.5,,,
5860021.23238875,2368185.53134455,37682.9313739435,5130.63686321905,6233.04467156925,4058.02719584557,4064.00898949137,5230.27545057513,5710.69370761751,4812.78221798761,2545.28438926227,3373.81167392478,2366.07134531297,,,
