52938,69831,116799,164681,160608,154384,162318,155150,216383,154186,161671,153887,186800,186538,157064,188007,160822,123558,130836,160402,148138,132286,142568,121101,106563,112344,138954,144578,103966,98091,183811,309018,103419,91193,171428,195670,126596,130042,118471,149085,301315,208338,145166,137143,136328,131266,128582,127520,123046,52678,73749,62453,61659,56017,53681,63347,58584,53416,45307,48938,37132,30945,30711,29748,114985,133530,97064,93957,90884,84380,84037,83752,78812,77078,77351,76376,74770,78764,73921,74515,67617,66693,65942,65919,65706,74189,65312,59210,58135,57349,57162,54987,52747,51711,51429,50729,49918,49641,49371,47038,44309,45348,43413,55375,42156,0,0,1
18657,26215,40790,57624,54966,59578,64719,62431,77008,66918,66837,67687,80925,84739,74446,88588,81256,64430,69038,84862,79164,78789,84680,72501,66664,74067,92789,84948,64800,61280,114017,195984,78819,72444,142405,155940,107992,112254,111480,138119,260441,182770,134424,130602,126341,127401,120951,124573,117887,52234,71558,61513,58398,55052,53206,61752,57154,50750,44558,47272,35070,32156,31578,30017,115363,130465,96502,94356,92427,84581,84122,82821,82582,79433,79679,78560,77258,85054,78496,72581,71761,70824,68231,68078,67429,66156,68141,64438,63582,60044,58041,58154,57605,55156,54725,54054,53311,52681,52813,52224,51143,46347,46240,45435,44751,0,0,1
39533,53021,84886,116827,133364,133804,148675,138354,185882,159463,163710,161706,193500,195985,174320,208158,193077,171003,179774,220166,211644,181111,205461,189611,171588,184421,226183,231958,167034,160820,301555,642967,185060,159635,301697,344703,237003,263965,255879,318984,666304,438463,326965,316141,323692,323311,306931,313502,304029,160740,198400,168592,167405,156665,151001,177407,163496,148004,126127,123534,103029,94242,93238,90069,348001,396606,277140,264461,240184,228935,218202,214240,205179,196520,189997,181963,178150,185324,174270,174539,159124,156980,147256,146688,145667,128981,126304,120780,119598,118091,114131,112025,111093,104441,104729,98172,96354,95525,95793,88745,85895,85191,81097,79609,80716,0,0,1
38917,54235,87393,116501,117708,123716,122053,117701,137789,119645,126053,119109,137896,142937,119995,144208,145987,105106,107897,130024,118931,103706,115766,99760,89321,95051,113613,109528,83736,79925,138319,247851,88754,77424,149965,167287,112099,110285,104522,131676,268332,179259,129918,119680,120757,122134,110365,111692,106765,46995,66384,58754,54374,51009,49117,57770,52956,48461,41402,39301,33254,28940,28628,27575,110517,124324,91150,88908,85750,81509,77067,76376,74529,72648,73190,72186,70836,82434,68882,66996,66393,66491,61651,61606,60876,59843,59945,57004,56424,55557,55038,55096,54577,53544,48883,48260,47553,47057,45147,44483,43572,43066,42701,42099,41711,0,0,1
23820,32793,65918,75614,77279,80057,93092,84060,105145,90543,93552,93817,115031,125723,106705,131287,114584,88745,100276,122784,124229,112006,124546,107318,96435,100604,125900,122579,93954,104954,157697,287412,94723,86001,165730,188157,122530,119202,114635,142849,287159,201526,142105,136416,138386,142467,124576,128163,117164,60488,78411,67036,64865,60234,54003,61171,56566,55153,43073,41812,35226,33089,32808,31915,121346,145829,105301,98418,92133,90383,90251,88176,81390,79529,84125,79775,78846,89043,81930,80406,74700,73840,74138,68778,68537,67093,65028,63962,63790,65859,61827,62022,61407,60024,54725,53753,52504,52774,51413,50351,49292,48939,48475,47859,46926,0,0,1
55812,78018,124535,179975,187250,188414,195365,192313,225757,195294,197772,201606,240894,249246,208945,249117,223835,177857,189144,230744,219979,199989,217349,191273,272491,204354,233328,229760,168063,163206,296487,529256,188816,171335,332686,392966,256055,264412,251647,312752,634121,453957,330981,318836,332675,325300,308523,289266,278361,119382,164769,140269,132533,121234,118140,136975,118160,104699,94090,86008,72093,78971,68488,61662,241252,266049,192730,177478,172803,169458,151444,148911,150735,138581,139292,137578,123593,140804,124071,121239,131574,117862,111258,110364,109742,103127,98499,97599,96232,94948,87822,84762,84539,79629,79454,78060,76806,75996,69320,68452,67505,66933,63761,63001,62723,0,0,1
11621,16359,26188,34816,35749,40841,39751,40741,46775,40765,40412,39326,47042,50117,42334,51287,47624,35558,38140,46789,44777,40603,45577,39162,35066,36320,46116,46172,35001,33721,69581,153779,39543,34462,70250,86512,59654,51901,50881,64430,145981,110713,68564,63067,64288,64380,61107,62422,60344,29421,41609,33687,34282,32672,30781,34795,31410,28789,24607,24236,20200,18717,18634,18156,69494,103206,60961,58158,56320,55981,55060,54129,54634,53376,53358,52361,51926,57738,54592,53114,51914,51350,50771,50688,50742,49356,52191,49534,49879,47337,49816,46838,46013,45341,45350,44171,43754,43303,42967,42240,41705,41202,40909,50531,39742,0,0,1
46062,64004,110435,139723,136784,133797,138449,128176,156629,136452,139059,126615,152162,178948,135073,158422,140257,109745,119603,142645,138527,110976,121237,108362,98600,103067,125743,115403,89748,83117,152152,278176,96339,84345,153679,176332,122704,119848,110287,137761,276683,192129,127836,122579,122155,123266,116572,113613,107172,50818,71722,61754,57803,53299,51220,59757,55233,50159,43592,44968,33454,30511,30249,29232,111304,128392,91396,89845,87351,80552,80122,78720,77360,73281,73755,72826,71657,79273,72433,67464,66655,66064,62178,62134,61564,60340,59592,59018,58450,55673,53648,53209,52978,51780,49492,48834,48008,48174,45932,45351,44491,43940,43348,42913,42365,0,0,1
37126,58155,91565,130042,128584,154149,150312,150310,181077,153355,157454,150998,190382,206878,174831,210107,187539,153240,172870,211797,206172,203549,215599,189291,171571,182640,228056,228740,170998,156302,300801,530048,190437,170700,341298,372806,251081,234728,226219,286384,542348,363414,255987,231175,379022,245839,219691,223233,197423,93032,130246,117206,117141,113958,110398,126403,116507,126498,96437,93633,80428,80672,79190,76695,300717,372311,274265,276147,282057,276420,138976,54115,54390,52938,53381,52700,51770,57775,54580,54387,52991,51868,50650,50465,50210,49197,48771,48025,47397,48760,46463,46565,46062,45205,44712,44049,43424,42981,43046,42316,41908,41119,40582,40215,40935,0,0,1
34530,46596,79409,99222,102230,107084,107101,102636,136639,112724,106409,112815,128811,139296,108891,129940,119557,90848,93041,113015,108201,95366,103308,89668,80255,82379,100579,98771,76379,72447,123947,204557,77120,69980,133966,173561,97422,99749,96602,113737,232691,162112,113076,108683,110302,108646,102497,104935,99037,44969,63974,53440,51042,47264,45288,52428,48666,43421,38688,36629,32222,27650,27314,26569,99013,114744,84908,84647,78316,76723,78955,73150,73125,71131,66263,65485,64471,73842,67196,65215,64451,63423,62839,62861,62290,56425,55456,54787,54942,52187,51524,51379,51012,50340,49776,49081,48301,47691,47789,47061,46510,44388,42196,41547,40916,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35901.6,49922.7,82791.8,111502.5,113452.2,117582.4,122183.5,117187.2,146908.4,122934.5,125292.9,122756.6,147344.3,156040.7,130260.4,155912.1,141453.8,112009,120061.9,146322.8,139976.2,125838.1,137609.1,120804.7,118855.4,117524.7,143126.1,141243.7,105367.9,101386.3,183836.7,337904.8,114303,101751.9,196310.4,225393.4,149313.6,150638.6,144062.3,179577.7,361537.5,249268.1,177502.2,168432.2,185394.6,171401,159979.5,159891.9,151122.8,71075.7,96082.2,82470.4,79950.2,74740.4,71683.5,83180.5,75873.2,70935,59788.1,58633.1,48210.8,45589.3,44083.8,42163.8,163199.2,191545.6,137141.7,132637.5,127822.5,122892.2,105823.6,95439,93273.6,89451.5,89039.1,86981,84327.7,93005.1,85037.1,83045.6,80718,78539.5,75491.4,74758.1,74276.3,71470.7,69923.9,67435.7,66842.9,65580.5,63547.2,62503.7,61803.3,59717.1,58327.5,56916.3,55993.3,55582.3,54359.1,52826.1,51633,50647.3,49272.2,50858.4,48294.1,,,
14331.1845304024,19644.0717947623,31675.3786219588,45865.0051279719,46845.5875849346,46000.4699328653,47016.5321190324,45828.9607145719,58376.4753631308,46796.2175899102,48605.9268504252,47678.1059401949,57987.6221141681,59625.7339410687,50358.5287186899,59895.4035677567,53335.2441841019,45704.2682981214,49246.6472755027,60269.691068655,58165.3486933778,53689.681045492,58150.3042438778,52850.3259194197,68584.4939443312,54771.9330274792,64541.3720448623,66470.2960511101,47518.9643299272,44984.3275474915,85312.0632215763,167823.943096991,53813.6373380908,47838.6953381419,93647.98850447,104826.656900491,70871.7664693698,75025.5386654734,72302.6765157725,90806.2174793114,182028.633474242,122046.427091815,92471.2036591813,88795.7155883348,112988.149803616,92389.5500981217,87186.665224359,84743.7394822375,81385.71236034,40916.9581498104,50815.7039283461,43788.025727995,43319.2106186415,40698.8470139716,39754.9877828067,46498.3383126035,41909.3610487098,40277.281851353,33208.0160752725,31482.499348227,26996.0565507055,27511.3690359701,25960.9066559702,24661.853786319,96545.1825183997,111391.602786645,80625.1848839224,78676.1730996819,76955.4028732804,75355.4434409206,49197.6824187662,49301.1099424299,47498.3286096586,44401.5291259459,42836.1380027295,40922.7020151678,38532.0966037118,39779.549060206,36900.5540863247,37349.0246375696,35414.9368581488,33168.0497140446,30427.0045927773,30264.7882950541,30047.3979611103,25462.3949953652,24085.9983782649,23288.2128842993,22922.9229348654,22881.4823638388,21127.6768707673,20515.3723071262,20520.6278713234,18523.302060138,19053.0360908118,17433.1352828138,17063.2702678394,16875.8598203996,16443.0291170588,14740.6294336436,14222.5962936917,14258.0569663456,13083.9822412326,12350.4245199192,13214.8773101464,,,
