11815,16136,28131,27178,38890,34008,33375,27062,29373,32680,28440,36410,35790,37937,34666,37557,29022,24102,25740,34239,58054,53287,38301,35621,33794,34184,30930,30319,38609,27538,22894,19363,18286,15461,30266,21520,20314,18887,17597,17058,16064,16837,0,0,1
4642,6911,10800,10109,11680,12279,11998,9559,9843,11681,10215,13112,12664,13256,12145,12572,10289,8049,8597,12136,20276,18708,12613,11816,10899,11239,10254,10413,11986,8055,6531,5653,5415,4754,10520,7696,7416,7053,6182,6023,5714,5619,0,0,1
8556,13862,21546,21557,26147,27266,27136,21702,22628,27440,24104,30383,30362,31407,26082,27092,20489,16505,17566,24127,41208,46693,27150,24275,22901,23387,20854,19960,24699,17844,14574,12882,11845,11042,22935,15737,15556,14818,12779,12860,12469,12110,0,0,1
3561,5222,8337,7886,9595,10064,9785,7834,12507,9591,8339,14386,10756,10987,10104,10674,8646,7166,7502,9959,17177,15972,10891,10088,9638,9669,8719,8339,10226,7784,5422,4583,4316,3887,8077,5880,5633,5281,4788,4675,4450,4355,0,0,1
15594,14520,23726,23182,29390,30524,29752,24370,25414,29129,31309,32862,32267,33488,29103,27243,21394,17085,18033,23676,40705,46537,26618,24217,22413,23217,20363,19826,24215,18037,14604,13048,11906,11466,23065,16311,16349,15802,13826,13752,13296,12533,0,0,1
9366,12690,20602,19705,24254,24931,24259,19677,20136,24394,26809,27017,26900,28308,26175,27942,22106,18409,19075,25891,44166,40003,32322,25126,23671,24634,22091,22214,26601,17219,13964,12218,11621,10270,22352,16246,15513,14720,12994,12629,12041,11980,0,0,1
8414,12404,19569,19309,23672,25281,23634,19125,18796,22275,18285,22935,22270,23549,22031,22849,18015,14502,15696,20519,35472,35058,23541,21532,20504,20645,18201,17469,21414,14840,12564,10929,10386,10054,20524,14517,14271,13392,11823,11316,10642,10336,0,0,1
13934,18898,29479,29023,35707,37206,37929,29859,31210,37295,31987,40713,40711,42947,39580,42435,33286,27325,28426,39799,65661,63160,41865,38867,35762,37601,33356,33992,42323,30021,26113,22864,20507,19284,60784,32260,30658,28250,22224,20335,19486,18288,0,0,1
9888,14152,22496,21739,25863,29213,26906,21488,22410,24531,21548,27887,27182,29177,26014,28433,22300,18483,18503,25787,44005,40821,28344,26178,24464,24917,22678,21199,23707,16262,13566,11843,10936,9956,21049,15739,15084,14126,12660,12209,11771,11555,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9530,12755,20520.6666666667,19965.3333333333,25022,25641.3333333333,24974.8888888889,20075.1111111111,21368.5555555556,24335.1111111111,22337.3333333333,27300.5555555556,26544.6666666667,27895.1111111111,25100,26310.7777777778,20616.3333333333,16847.3333333333,17682,24014.7777777778,40747.1111111111,40026.5555555556,26849.4444444444,24191.1111111111,22671.7777777778,23277,20827.3333333333,20414.5555555556,24864.4444444444,17511.1111111111,14470.2222222222,12598.1111111111,11690.8888888889,10686,24396.8888888889,16211.7777777778,15643.7777777778,14703.2222222222,12763.6666666667,12317.4444444444,11770.3333333333,11512.5555555556,,,
3925.22664950701,4279.10247598723,7046.64547852381,7014.68347468366,9656.32303208628,9116.0509816477,9158.56220217514,7323.97423610372,7066.33232503098,9027.86543769407,8616.22798851098,9293.07552846622,9963.92526818623,10558.7810310239,9501.90054673274,10249.1393270091,7854.61754320349,6560.66923034533,6830.35383417287,9429.71002706045,15593.2293836495,15232.5461685753,10351.4829748098,9420.49306624187,8750.46198462941,9122.1221900389,8136.14036260437,8226.31328590018,10550.8434273179,7501.98611109825,6672.25701651581,5781.56956293973,5212.27604901267,4743.17628282989,15213.7905569622,7651.13540230758,7227.29080945581,6629.44769150828,5266.23743767787,4850.83866746543,4642.14026608417,4516.96510699139,,,
