,,,,,,,,,,
mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,
2480.381293,2576.197796,2001.517873,2229.602472,2171.921656,2419.033065,1859.176944,2442.622878,910.185433,1859.156688,
1587.506748,1262.451241,1930.391162,3577.689377,1890.115368,1901.716369,284.382455,1905.324771,690.726818,297.280583,
1843.078779,286.739886,3094.688432,3150.607878,3069.879347,3094.003903,864.366217,3079.481902,302.793471,291.843506,
3946.118473,413.767546,2452.310500,5006.390792,1753.469961,4894.590679,417.014037,7722.182482,426.045480,414.611454,
1489.223761,520.453353,533.804665,6519.081633,533.935131,7787.390671,538.336735,6542.647230,538.459913,528.366618,
778.237354,657.605058,667.354086,7002.662451,661.342412,7194.771401,663.091440,8724.096304,672.965953,650.107977,
803.679518,896.279518,794.919277,10637.687952,778.601205,10792.483133,5745.926506,10591.555422,788.810843,772.634940,
942.575221,923.435103,926.946903,13001.293510,925.070796,12935.250737,1925.128319,12965.289086,940.238938,933.501475,
1424.839378,1396.894646,1400.101900,11114.397237,1386.454231,15144.692573,1459.960276,15141.065630,1420.884283,1390.001727,
2816.586354,10955.490405,1287.166311,51262.123667,1341.464819,18809.081023,1286.526652,18760.707889,3678.554371,10487.912580,
12003.527711,11916.800000,2009.202410,25801.250602,2206.477108,21286.166265,2645.985542,21198.096386,2098.414458,21178.489157,
14829.617391,14766.095652,3000.533333,56756.805797,2374.944928,40390.663768,1942.243478,2117.397101,1955.168116,26350.165217,
26639.891089,37974.052805,2919.735974,29474.181518,2834.617162,46668.445545,2945.808581,25051.234323,16324.633663,15677.033003,
4142.003704,18112.437037,3337.885185,32858.640741,18381.940741,3504.481481,3468.033333,17676.881481,17677.740741,3505.611111,
4304.875000,4892.466667,4042.950000,66157.608333,20017.033333,6087.800000,23051.137500,4101.108333,4163.162500,23582.037500,
4342.691244,5306.986175,4333.682028,51380.511521,4285.741935,5769.635945,75387.894009,24152.073733,4287.359447,4576.258065,
5291.294444,6244.272222,5122.866667,5926.716667,5120.811111,5345.605556,38232.911111,26809.827778,5138.111111,5263.227778,
5254.005882,6418.082353,5314.147059,5729.917647,5333.452941,5309.423529,41873.570588,5544.988235,5300.670588,5775.252941,
6852.680272,7884.734694,6620.503401,72440.489796,6874.986395,6421.272109,7355.877551,7083.904762,6623.448980,6952.489796,
7339.570370,8957.192593,7553.037037,118692.955556,7454.807407,8570.148148,7760.577778,7798.081481,7493.600000,7536.318519,
7027.128788,77218.098485,7049.272727,115387.227273,7227.348485,7301.909091,7207.219697,7179.000000,6945.962121,7175.340909,
49421.982456,19290.350877,9019.587719,112379.649123,8931.587719,8847.561404,8843.236842,9096.184211,8672.631579,8895.280702,
87997.703704,11908.759259,11120.925926,18927.203704,10608.833333,10162.851852,36185.138889,10418.694444,9905.703704,10005.203704,
54422.537634,13548.612903,11652.268817,13997.204301,11664.913978,12232.268817,47377.612903,11995.795699,43440.741935,11875.290323,
10676.956989,12423.849462,10532.569892,12502.150538,10537.946237,10287.548387,82390.978495,11598.086022,10423.333333,10415.849462,
11087.348315,12621.438202,10853.134831,13641.483146,10741.337079,11295.741573,11707.516854,11566.460674,10698.752809,11110.247191,
67561.644737,17746.210526,12987.184211,15774.894737,13161.513158,13127.815789,13470.881579,12907.539474,12549.605263,12673.973684,
194141.067568,13770.337838,11720.418919,13989.202703,12594.959459,11137.905405,11631.472973,11527.310811,11508.135135,11214.418919,
25536.215385,16190.230769,163145.461538,17135.338462,14008.369231,14141.861538,14158.000000,13795.538462,14513.815385,14246.138462,
17815.460317,16909.682540,18248.444444,19628.984127,14496.619048,14681.031746,14100.476190,14293.587302,15959.412698,14622.698413,
18096.033898,17707.372881,18605.152542,19044.389831,16644.610169,15387.830508,14560.627119,15714.542373,14826.847458,15819.728814,
23124.000000,24515.896552,24944.344828,23016.879310,21314.103448,20134.500000,19970.517241,21580.086207,19118.172414,20511.172414,
106409.218182,24095.872727,26097.290909,24988.509091,22934.272727,22827.636364,95210.290909,22208.763636,22214.509091,22235.018182,
264689.629630,22198.740741,24863.074074,142035.851852,18801.796296,18278.666667,163372.351852,20293.777778,17954.407407,18718.685185,
276026.058824,21039.568627,21824.529412,176207.803922,17806.784314,18706.529412,172309.901961,17910.549020,18666.176471,20020.019608,
238179.723404,21461.595745,22255.680851,23771.808511,18046.872340,18132.191489,316333.319149,17945.787234,18107.702128,18570.978723,
180803.750000,27612.583333,28404.770833,123593.729167,22915.583333,24148.333333,170413.187500,23707.500000,24251.833333,23105.854167,
305438.340426,29010.723404,32469.723404,106160.765957,26730.553191,25136.702128,285691.319149,25031.638298,28567.702128,26207.382979,
110776.583333,26471.833333,221544.979167,26478.812500,218156.812500,23405.395833,109788.416667,22707.416667,22438.208333,123417.958333,
109262.673913,127758.391304,29767.500000,30463.282609,424405.173913,24552.478261,28828.869565,26311.260870,123482.782609,194118.739130,
124051.139535,207584.744186,37392.302326,42496.860465,455321.093023,37174.930233,47679.930233,38639.279070,38688.697674,126142.767442,
123933.775000,31291.300000,127529.575000,30889.350000,234692.950000,26033.925000,137215.550000,25407.450000,28007.450000,26510.250000,
158206.846154,27689.102564,231240.666667,134815.564103,121291.230769,23087.871795,40097.974359,20354.923077,110268.717949,22774.410256,
122150.974359,27143.153846,232575.282051,104018.743590,135290.897436,18117.333333,22483.307692,18139.153846,18597.051282,18018.769231,
280570.540541,28312.702703,236558.756757,28703.432432,243510.027027,23423.324324,29802.054054,82217.567568,23932.756757,135420.567568,
27492.000000,127353.702703,211124.621622,31367.108108,235947.135135,26100.054054,30141.513514,28609.108108,26244.918919,236855.891892,
160275.969697,355633.303030,268996.939394,48437.212121,265513.878788,39768.424242,43661.212121,75585.333333,40276.636364,614979.030303,
274026.218750,132230.812500,283359.437500,42412.031250,272764.437500,36517.312500,44131.375000,40367.343750,39736.687500,170950.781250,
270659.300000,39093.100000,223997.933333,39100.933333,298090.066667,32220.066667,40924.700000,32691.733333,31581.800000,252273.633333,
77418.230769,43013.615385,281478.576923,65786.230769,221707.769231,34911.961538,78247.615385,36020.961538,34967.115385,208984.538462,
31786.269231,30535.000000,32527.923077,40981.807692,40244.961538,30136.730769,38914.423077,30025.115385,31197.538462,47928.500000,
55064.384615,38176.038462,41294.923077,45849.000000,45060.961538,37033.807692,45189.076923,40826.769231,37800.461538,46449.653846,
53822.576923,58135.884615,54870.538462,76195.346154,64691.346154,58303.000000,66686.192308,69224.038462,66386.730769,65431.846154,
35591.370370,37252.888889,34349.222222,46792.407407,42360.074074,35511.851852,45355.518519,36430.370370,37444.592593,43187.518519,
47914.200000,49113.960000,42868.880000,53966.000000,49386.280000,43660.400000,50813.320000,41211.080000,43309.160000,48464.160000,
31586.961538,40092.846154,32001.346154,41912.576923,40207.038462,31628.000000,41318.923077,176666.384615,31963.000000,40416.961538,
75381.080000,59810.840000,51544.640000,64785.280000,61920.320000,55620.960000,65008.160000,52174.880000,51158.440000,60726.160000,
788224.538462,49054.730769,181717.115385,51207.269231,133169.423077,38951.807692,49546.346154,40828.461538,41999.384615,48735.923077,
203626.500000,61032.653846,55116.538462,67123.423077,67426.153846,49097.038462,54757.384615,49972.615385,52411.384615,61975.961538,
384631.304348,57247.565217,44362.565217,53317.782609,57639.391304,44547.304348,58660.956522,45608.000000,48053.217391,54002.869565,
45341.545455,56241.636364,46627.272727,57706.772727,57086.500000,44166.681818,58559.181818,45834.318182,46452.227273,55570.545455,
90902.190476,96380.047619,97767.333333,220595.761905,96315.904762,95640.714286,94383.857143,73260.380952,96108.619048,95110.952381,
117179.368421,106805.000000,100860.578947,299494.157895,104020.210526,94077.210526,104288.789474,82613.526316,105430.947368,96611.210526,
67750.631579,81140.157895,71885.894737,87022.736842,201651.473684,67624.052632,79061.526316,58927.578947,69895.210526,71155.631579,
97288.882353,93497.823529,88070.176471,99817.352941,96483.000000,85459.235294,115952.705882,81267.352941,86067.588235,103016.705882,
91847.000000,95044.388889,80454.388889,110353.555556,101124.388889,89963.222222,111597.833333,94857.166667,74330.777778,93098.111111,
78845.823529,78096.588235,63076.294118,92052.647059,88816.588235,75484.411765,93247.176471,75344.000000,64364.941176,78862.470588,
60570.526316,66469.263158,48042.842105,76809.842105,72018.842105,60644.684211,78316.210526,60449.421053,49185.210526,65910.473684,
63301.166667,79260.888889,67301.666667,82421.555556,79869.277778,61153.055556,79542.500000,62997.444444,55238.222222,79478.444444,
62130.842105,64841.526316,47082.894737,76240.157895,71220.157895,57167.315789,77752.052632,57440.000000,49923.736842,64348.421053,
66775.722222,78967.833333,60745.444444,97500.944444,86313.722222,79368.888889,80768.111111,77441.500000,77952.388889,77798.666667,
80828.187500,100113.125000,61358.062500,95161.812500,83164.625000,66139.312500,96147.375000,73328.812500,77281.812500,81925.500000,
